UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,173342277,11/30/2017,2350 REBEL FOREST DR SE,308,Rebel Valley Forest,Z,33.68809,-84.3601,
ROBBERY-PEDESTRIAN,173341397,11/30/2017,1379 BOULEVARD SE,305,Chosewood Park,Y,33.7168,-84.36865,
AGG ASSAULT,173340837,11/30/2017,332 PIEDMONT AVE NE,509,Downtown,M,33.76354,-84.3824,
AGG ASSAULT,173341690,11/30/2017,568 ENGLISH AVE NW,103,English Avenue,L,33.77025,-84.41362,
AGG ASSAULT,173341214,11/30/2017,970 CONFEDERATE AVE SE,607,Ormewood Park,W,33.72799,-84.3635,
AGG ASSAULT,173340590,11/30/2017,1245 CAMPBELLTON RD SW,403,Oakland City,S,33.71715,-84.42897,
BURGLARY-RESIDENCE,173342272,11/30/2017,914 COLLIER RD NW,205,Wildwood (NPU-C),C,33.80978,-84.41695,
BURGLARY-RESIDENCE,173341260,11/30/2017,1388 MAY AVE SE,612,East Atlanta,W,33.73927,-84.34189,
BURGLARY-RESIDENCE,173341658,11/30/2017,1086 NATHAM DR SE,308,Rebel Valley Forest,Z,33.68747,-84.35701,
BURGLARY-RESIDENCE,173341455,11/30/2017,2167 JERNIGAN DR SE,310,Lakewood,Z,33.69501,-84.37266,
BURGLARY-RESIDENCE,173252232,11/30/2017,872 MIDWAY ST,308,Leila Valley,Z,33.69009,-84.36104,
BURGLARY-NONRES,173342524,11/30/2017,55 MAPLE ST NW,102,Vine City,L,33.75569,-84.40528,
BURGLARY-NONRES,173341501,11/30/2017,125 TED TURNER DR SW,507,Castleberry Hill,M,33.75117,-84.39696,
BURGLARY-RESIDENCE,173251573,11/30/2017,1317 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68755,-84.35469,
LARCENY-NON VEHICLE,173340859,11/30/2017,2255 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81631,-84.35188,
LARCENY-NON VEHICLE,173341474,11/30/2017,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-NON VEHICLE,173341890,11/30/2017,2720 METROPOLITAN PKWY SW,311,Hammond Park,X,33.68067,-84.4072,
LARCENY-NON VEHICLE,173340900,11/30/2017,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,173342256,11/30/2017,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-NON VEHICLE,173342246,11/30/2017,675 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77324,-84.36513,
LARCENY-NON VEHICLE,173342034,11/30/2017,25 PEACHTREE ST SE,510,Downtown,M,33.75445,-84.38954,
LARCENY-NON VEHICLE,173342697,11/30/2017,634 WHITEHALL ST SW,303,Adair Park,V,33.74179,-84.40844,
LARCENY-FROM VEHICLE,173342674,11/30/2017,500 10TH ST NE @BELTLINE BUSINESS,502,,E,33.78223,-84.36922,
LARCENY-FROM VEHICLE,173342028,11/30/2017,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-FROM VEHICLE,173342036,11/30/2017,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-FROM VEHICLE,173342164,11/30/2017,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82494,-84.36684,
LARCENY-FROM VEHICLE,173342440,11/30/2017,753 EDGEWOOD AVE NE,602,Inman Park,N,33.75443,-84.36262,
