UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,153342987,11/30/2015,1924 SYLVAN RD SW,306,Sylvan Hills,X,33.70235,-84.41793,
ROBBERY-PEDESTRIAN,153342972,11/30/2015,29 PEACHTREE CIR NE @BOOTH ONE,502,Ansley Park,E,33.78977,-84.38225,
ROBBERY-PEDESTRIAN,153342794,11/30/2015,1981 JOSEPH E BOONE BLVD,107,Grove Park,J,33.76486,-84.45174,
ROBBERY-PEDESTRIAN,153341082,11/30/2015,823 DRUMMOND ST SW  ,101,Atlanta University Center,T,33.75295,-84.41448,
ROBBERY-PEDESTRIAN,153340235,11/30/2015,620 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.70794,-84.3621,
ROBBERY-PEDESTRIAN,153340752,11/30/2015,1056 WHITE OAK AVE SW,402,Oakland City,S,33.72504,-84.42253,
ROBBERY-COMMERCIAL,153342713,11/30/2015,226 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73675,-84.39489,
ROBBERY-PEDESTRIAN,153342534,11/30/2015,3350 MTGILEAD RD SW ,412,Southwest,R,33.69599,-84.49855,
AGG ASSAULT,153341993,11/30/2015,558 LINDSAY ST NW,103,English Avenue,L,33.76984,-84.41659,
AGG ASSAULT,153342897,11/30/2015,618 WAYNES CT SE,313,South River Gardens,Z,33.67205,-84.36938,
AGG ASSAULT,153340331,11/30/2015,3327 RENAULT RD SE,312,Orchard Knob,Z,33.66448,-84.37885,
AGG ASSAULT,153343008,11/30/2015,1483 ARTHUR LANGFORD JR PL SW,307,Joyland,Y,33.71097,-84.39789,
AGG ASSAULT,153342544,11/30/2015,1696 BROWNING ST NW,104,Mozley Park,K,33.75224,-84.44254,
AGG ASSAULT,153341224,11/30/2015,477 PEACHTREE ST NE,509,Downtown,M,33.76764,-84.38524,
AGG ASSAULT,153340098,11/30/2015,477 PEACHTREE ST NE,509,Downtown,M,33.76764,-84.38524,
BURGLARY-RESIDENCE,153342492,11/30/2015,49 PUTNAM CIR NE,209,East Chastain Park,B,33.85863,-84.38575,
BURGLARY-RESIDENCE,153342646,11/30/2015,2150 SOUTHWOOD CV SW,412,Ben Hill Terrace,P,33.69518,-84.51856,
BURGLARY-RESIDENCE,153343107,11/30/2015,1303 HOSEA L WILLIAMS DR SE,609,Edgewood,O,33.75317,-84.3449,
BURGLARY-RESIDENCE,153342986,11/30/2015,816 MAGNOLIA WAY NW,102,Vine City,L,33.75805,-84.41421,
BURGLARY-RESIDENCE,153340399,11/30/2015,803 MAGNOLIA WAY NW,102,Vine City,L,33.75823,-84.41403,
BURGLARY-RESIDENCE,153340072,11/30/2015,500 MCDANIEL ST SW,303,Mechanicsville,V,33.74121,-84.40268,
BURGLARY-RESIDENCE,153340106,11/30/2015,1005 BALDWIN ST SW,104,Ashview Heights,T,33.74647,-84.42057,
BURGLARY-RESIDENCE,153341210,11/30/2015,3460 KINGSBORO RD NE,210,Buckhead Heights,B,33.8512,-84.35751,
BURGLARY-RESIDENCE,153341514,11/30/2015,1051 MORELAND DR SE,607,Custer/McDonough/Guice,W,33.70882,-84.35414,
BURGLARY-RESIDENCE,153341639,11/30/2015,3164 CUSHMAN CIR SW,406,,I,33.74898,-84.49168,
BURGLARY-RESIDENCE,153341512,11/30/2015,2990 FORREST PARK RD SE,313,South River Gardens,Z,33.67289,-84.35667,
BURGLARY-RESIDENCE,153341715,11/30/2015,1475 MECASLIN ST NW,207,Loring Heights,E,33.79527,-84.3997,
BURGLARY-NONRES,153341129,11/30/2015,893 COMMONWEALTH AVE SE,605,Grant Park,W,33.73076,-84.36188,
BURGLARY-NONRES,153341067,11/30/2015,1126 PONCE DE LEON AVE NE,601,Atkins Park,F,33.77392,-84.35101,
BURGLARY-RESIDENCE,153341114,11/30/2015,1171 INDALE PL SW,403,Oakland City,S,33.72299,-84.42887,
BURGLARY-NONRES,153341615,11/30/2015,118 ATLANTA AVE SE,304,Peoplestown,V,33.73046,-84.384,
BURGLARY-RESIDENCE,153341722,11/30/2015,470 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70599,-84.35963,
LARCENY-NON VEHICLE,153341789,11/30/2015,506 MORELAND AVE NE,602,Inman Park,N,33.76813,-84.34952,
LARCENY-NON VEHICLE,153341732,11/30/2015,221 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68057,-84.38234,
LARCENY-NON VEHICLE,153340308,11/30/2015,642 COMMERCIAL AVE NW,109,Center Hill,J,33.77262,-84.47153,
LARCENY-NON VEHICLE,153342221,11/30/2015,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915,
LARCENY-NON VEHICLE,153342643,11/30/2015,230 18TH ST NW,501,Atlantic Station,E,33.79212,-84.39554,
LARCENY-NON VEHICLE,153340143,11/30/2015,1176 CHATTAHOOCHEE AVE NW;,203,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-FROM VEHICLE,153342879,11/30/2015,2537 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-FROM VEHICLE,153341762,11/30/2015,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017,
LARCENY-FROM VEHICLE,153341895,11/30/2015,888 RALPH D ABERNATHY BLVD SW,401,West End,T,33.738,-84.41691,
LARCENY-FROM VEHICLE,153342069,11/30/2015,850 OAK ST SW @WEST END MALL,401,West End,T,33.74057,-84.4168,
LARCENY-FROM VEHICLE,153342622,11/30/2015,1745 PEACHTREE ST NE,207,Brookwood Hills,E,33.8018,-84.39187,
LARCENY-FROM VEHICLE,153342776,11/30/2015,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,153341830,11/30/2015,1581 MELROSE DR SW,306,Sylvan Hills,X,33.71173,-84.42234,
LARCENY-FROM VEHICLE,153342659,11/30/2015,222 MERRITTS AVE NW,504,Downtown,M,33.76877,-84.3941,
LARCENY-FROM VEHICLE,153342672,11/30/2015,3005 PEACHTREE RD NE,206,Garden Hills,B,33.83683,-84.38117,
LARCENY-FROM VEHICLE,153348006,11/30/2015,2200 RENTAL CAR CENTER PKWY ,707,,,33.63871,-84.42884,
LARCENY-FROM VEHICLE,153342921,11/30/2015,931 MONROE DR NE @TRADER JOES - MONROE,506,Midtown,E,33.77976,-84.36763,
LARCENY-FROM VEHICLE,153341116,11/30/2015,1707 WILDWOOD RD NE,213,Morningside/Lenox Park,F,33.80127,-84.34901,
LARCENY-FROM VEHICLE,153341368,11/30/2015,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773,
LARCENY-FROM VEHICLE,153341703,11/30/2015,1156 RALPH D ABERNATHY BLVD SW,402,West End,T,33.73818,-84.42588,
LARCENY-FROM VEHICLE,153340936,11/30/2015,1212 JAMES JACKSON PKWY NW,113,Monroe Heights,G,33.79333,-84.47416,
LARCENY-FROM VEHICLE,153341390,11/30/2015,707 WOODLAND AVE SE,607,Ormewood Park,W,33.73473,-84.35124,
LARCENY-FROM VEHICLE,153341295,11/30/2015,935 BECKWITH ST SW,104,Ashview Heights,T,33.75265,-84.4181,
