UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,160312382,01/31/2016,356 5TH ST NE,506,Midtown,E,33.77556,-84.3757,
ROBBERY-PEDESTRIAN,160312291,01/31/2016,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
ROBBERY-PEDESTRIAN,160311797,01/31/2016,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85252,-84.36116,
ROBBERY-PEDESTRIAN,160312429,01/31/2016,1024 AVON AVE SW,301,Capitol View,X,33.72193,-84.42156,
ROBBERY-PEDESTRIAN,160310156,01/31/2016,200 MITCHELL ST SW,512,Downtown,M,33.75169,-84.39458,
ROBBERY-PEDESTRIAN,160310414,01/31/2016,1850 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70369,-84.40795,
ROBBERY-COMMERCIAL,160312205,01/31/2016,1120 RALPH D ABERNATHY BLVD SW,402,West End,T,33.73801,-84.42451,
ROBBERY-PEDESTRIAN,160312018,01/31/2016,477 WINDSOR ST SW @DUNBAR COMM CENTER,303,Mechanicsville,V,33.74129,-84.39941,
ROBBERY-PEDESTRIAN,160312500,01/31/2016,121 BAKER STREET,508,Downtown,M,33.7626,-84.39287,
ROBBERY-RESIDENCE,160311734,01/31/2016,3440 BOULDER PARK DR SW,407,Mays,H,33.75004,-84.50063,
AGG ASSAULT,160311994,01/31/2016,1687 THOMS DR NW,107,Grove Park,J,33.76918,-84.44312,
AGG ASSAULT,160312347,01/31/2016,I-75-85 NB EXPY SW / PRYOR ST SW,304,Peoplestown,V,33.72972,-84.39254,
AGG ASSAULT,160310295,01/31/2016,2479 ABNER TER,110,Scotts Crossing,G,33.80106,-84.46803,
AGG ASSAULT,160310260,01/31/2016,1813 SYLVAN RD SW,306,Sylvan Hills,X,33.70534,-84.41852,
AGG ASSAULT,160310885,01/31/2016,786 COOPER STREET,307,Lakewood Heights,Y,33.70026,-84.3942,
BURGLARY-RESIDENCE,160302910,01/31/2016,1997 E CEDAR LN SW          ,408,Venetian Hills,S,33.7121,-84.45416,
BURGLARY-RESIDENCE,160311639,01/31/2016,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299,
BURGLARY-RESIDENCE,160311548,01/31/2016,1627 JOBETH AVE,612,East Atlanta,W,33.73289,-84.33473,
