UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,162440223,08/31/2016,2740 DEERWOOD LN SW,414,Ben Hill,P,33.67237,-84.51522,
ROBBERY-PEDESTRIAN,162440236,08/31/2016,3150 FAIRBURN RD SW @MT GILEAD CEMETERY,414,Ben Hill,P,33.66903,-84.51522,
ROBBERY-PEDESTRIAN,162442636,08/31/2016,1308 MAYSON TURNER RD NW,106,Bankhead,K,33.76394,-84.43033,
AGG ASSAULT,162440439,08/31/2016,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184,
AGG ASSAULT,162443016,08/31/2016,625 JAMES P BRAWLEY DR NW,103,English Avenue,L,33.77173,-84.41225,
AGG ASSAULT,162443026,08/31/2016,1606 ARTHUR LANGFORD JR PL SW,307,Joyland,Y,33.71032,-84.39769,
AGG ASSAULT,162442764,08/31/2016,2253 ROSWELL ST SW ,413,Fairburn,P,33.6929,-84.51957,
AGG ASSAULT,162442911,08/31/2016,2030 BOLTON RD NW,203,Riverside,D,33.81145,-84.47546,
AGG ASSAULT,162441698,08/31/2016,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292,
BURGLARY-RESIDENCE,162422717,08/31/2016,1805 MARY GEORGE AVE NW,110,Scotts Crossing,G,33.80429,-84.46555,
BURGLARY-RESIDENCE,162440399,08/31/2016,3127 LENOX RD NE,210,Pine Hills,B,33.84005,-84.35799,
BURGLARY-RESIDENCE,162440123,08/31/2016,72 FINCH DR SE,310,Swallow Circle/Baywood,Z,33.69527,-84.3861,
BURGLARY-RESIDENCE,162441156,08/31/2016,696 CATHERINE STREET SW,301,Adair Park,V,33.72567,-84.41039,
BURGLARY-RESIDENCE,162441257,08/31/2016,2909 CAMPBELLTON RD SW @CASCADE PINES APTS,409,Southwest,R,33.69872,-84.48418,
BURGLARY-RESIDENCE,162442574,08/31/2016,368 LAKEMOORE DR NE,209,North Buckhead,B,33.86658,-84.37548,
BURGLARY-RESIDENCE,162443103,08/31/2016,527 CONSTELLATION OVERLO SW,407,Mays,H,33.74204,-84.50308,
BURGLARY-RESIDENCE,162442948,08/31/2016,740 PASLEY AVE SE,612,East Atlanta,W,33.73407,-84.33723,
BURGLARY-RESIDENCE,162442983,08/31/2016,1366 AKRIDGE ST NW,105,Hunter Hills,K,33.75807,-84.43264,
BURGLARY-RESIDENCE,162442156,08/31/2016,407 LINDSEY DR SE,310,Lakewood,Z,33.69444,-84.37577,
BURGLARY-RESIDENCE,162442143,08/31/2016,3 EMMA LN NE,209,North Buckhead,B,33.86473,-84.37432,
BURGLARY-NONRES,162440435,08/31/2016,290 14TH ST NW,501,Home Park,E,33.78616,-84.3966,
BURGLARY-NONRES,162440630,08/31/2016,80 WALNUT ST SW,101,Atlanta University Center,T,33.75248,-84.40594,
BURGLARY-NONRES,162440925,08/31/2016,1100 HOWELL MILL RD NW,501,Home Park,E,33.7858,-84.41208,
BURGLARY-RESIDENCE,162443106,08/31/2016,2473 RUTHERFORD ST NW,203,Riverside,D,33.81793,-84.46947,
BURGLARY-RESIDENCE,162441946,08/31/2016,964 JOSEPH E BOONE BLVD NW,105,Washington Park,K,33.76339,-84.41896,
BURGLARY-RESIDENCE,162441252,08/31/2016,875 HANK AARON DR SW;,304,Peoplestown,V,33.73078,-84.38821,
BURGLARY-RESIDENCE,162442355,08/31/2016,385 LEGACY DR SW,104,Harris Chiles,T,33.74494,-84.41937,
LARCENY-NON VEHICLE,162441178,08/31/2016,1280 CAROLINE ST NE,609,Edgewood,O,33.75957,-84.34602,
LARCENY-NON VEHICLE,162441214,08/31/2016,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,162442909,08/31/2016,1111 EUCLID AVE NE,602,Inman Park,N,33.764,-84.35057,
LARCENY-NON VEHICLE,162442693,08/31/2016,2539 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-NON VEHICLE,162441981,08/31/2016,824 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77282,-84.41423,
LARCENY-NON VEHICLE,162442093,08/31/2016,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY-NON VEHICLE,162442524,08/31/2016,1145 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73859,-84.42597,
LARCENY-NON VEHICLE,162442012,08/31/2016,3440 PEACHTREE RD NE,208,North Buckhead,B,33.85166,-84.36235,
LARCENY-NON VEHICLE,162442050,08/31/2016,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-FROM VEHICLE,162440762,08/31/2016,1925 MONROE DR,212,Piedmont Heights,F,33.80856,-84.37506,
LARCENY-FROM VEHICLE,162440006,08/31/2016,655 CLEVELAND AVE SW,309,Perkerson,X,33.6824,-84.41029,
LARCENY-FROM VEHICLE,162431569,08/31/2016,60 ANDREW INTERNATIONAL,509,Downtown,M,33.75969,-84.38606,
LARCENY-FROM VEHICLE,162440886,08/31/2016,1185 MOTON AVE SW,302,Pittsburgh,V,33.72251,-84.39694,
LARCENY-FROM VEHICLE,162441144,08/31/2016,2411 LAUREL CIR NW,111,Westhaven,I,33.75661,-84.47131,
LARCENY-FROM VEHICLE,162442731,08/31/2016,1150 AUSTIN AVE,608,Inman Park,N,33.76199,-84.35035,
LARCENY-FROM VEHICLE,162442401,08/31/2016,999 PEACHTREE ST NE,503,Midtown,E,33.78111,-84.3837,
LARCENY-FROM VEHICLE,162442405,08/31/2016,1159 MORELAND AVE SE,607,Woodland Hills,W,33.72261,-84.34979,
LARCENY-FROM VEHICLE,162441817,08/31/2016,1427 WOODMONT LN NW,203,Hills Park,D,33.80386,-84.43437,
LARCENY-FROM VEHICLE,162441347,08/31/2016,521 MORELAND AVE SE,607,Ormewood Park,W,33.74023,-84.34936,
LARCENY-FROM VEHICLE,162441266,08/31/2016,2025 MEADOR AVE SE,307,Lakewood Heights,Y,33.69888,-84.38054,
LARCENY-FROM VEHICLE,162441985,08/31/2016,566 HIGHLAND AVE NE,603,Old Fourth Ward,M,33.76154,-84.36872,
LARCENY-FROM VEHICLE,162441896,08/31/2016,590 WAYNES CT SE,313,South River Gardens,Z,33.67032,-84.3692,
LARCENY-FROM VEHICLE,162441966,08/31/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65777,-84.50877,
LARCENY-FROM VEHICLE,162442950,08/31/2016,871 WHEELER ST NW,103,English Avenue,L,33.77438,-84.41627,
LARCENY-FROM VEHICLE,162442760,08/31/2016,1657 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72609,-84.44231,
LARCENY-FROM VEHICLE,162442715,08/31/2016,1445 MACKLONE ST NE,609,Edgewood,O,33.75584,-84.34038,
LARCENY-FROM VEHICLE,162442685,08/31/2016,3756 MELVIN DR SW,412,Kings Forest,P,33.70794,-84.51184,
LARCENY-FROM VEHICLE,162442736,08/31/2016,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67339,-84.37144,
LARCENY-FROM VEHICLE,162441119,08/31/2016,999 LEE ST SW,402,Oakland City,S,33.72797,-84.41784,
LARCENY-NON VEHICLE,162440652,08/31/2016,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465,
LARCENY-NON VEHICLE,162441655,08/31/2016,1874 PIEDMONT AVE,212,Piedmont Heights,F,33.80721,-84.36643,
