UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,171202433,04/30/2017,43 INWOOD CIR NE,502,Midtown,E,33.79915,-84.3884,
ROBBERY-PEDESTRIAN,171200676,04/30/2017,548 N SIDE DR NW,103,English Avenue,L,33.77003,-84.40629,
ROBBERY-PEDESTRIAN,171200738,04/30/2017,25 PARK PL NE ,510,Downtown,M,33.7552,-84.38805,
ROBBERY-PEDESTRIAN,171200491,04/30/2017,170 AUBURN AVE NE @JOHN CALHOUN PARK,510,Downtown,M,33.75572,-84.382,
AGG ASSAULT,171202501,04/30/2017,1461 VENETIAN DR SW,403,Venetian Hills,S,33.71474,-84.4364,
AGG ASSAULT,171202093,04/30/2017,2937 CASCADE RD SW,406,Cascade Heights,I,33.72022,-84.48374,
AGG ASSAULT,171201296,04/30/2017,974 PARSONS ST SW,104,Ashview Heights,T,33.75093,-84.41945,
AGG ASSAULT,171200359,04/30/2017,486 AMAL DR SW,307,Amal Heights,Y,33.70895,-84.40146,
AGG ASSAULT,171200351,04/30/2017,91 BROAD ST ,511,Downtown,M,33.75243,-84.39198,
AGG ASSAULT,171201796,04/30/2017,1739 MARTIN LUTHER KING DR SW,104,Mozley Park,K,33.75144,-84.44382,
AGG ASSAULT,171202405,04/30/2017,1362 NASH RD NW,114,English Park,G,33.79252,-84.49113,
BURGLARY-RESIDENCE,171202342,04/30/2017,2385 PERKERSON RD SW,309,Perkerson,X,33.6896,-84.4115,
BURGLARY-RESIDENCE,171201696,04/30/2017,320 FAIRBURN RD SW,407,Fairburn Mays,H,33.7451,-84.50858,
BURGLARY-RESIDENCE,171200982,04/30/2017,778 MAGNOLIA WAY NW,102,Vine City,L,33.75804,-84.41371,
BURGLARY-RESIDENCE,171201352,04/30/2017,975 LYNHURST DR SW,406,East Ardley Road,I,33.72906,-84.4896,
BURGLARY-RESIDENCE,171201194,04/30/2017,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.8201,-84.36481,
BURGLARY-RESIDENCE,171200834,04/30/2017,220 26TH ST NW,207,Brookwood,E,33.80312,-84.4011,
BURGLARY-RESIDENCE,171200694,04/30/2017,2025 PEACHTREE RD NE,207,,E,33.80958,-84.39294,
BURGLARY-RESIDENCE,171201156,04/30/2017,250 FULTON ST SW,303,Mechanicsville,V,33.74182,-84.39607,
BURGLARY-NONRES,171200483,04/30/2017,3131 CAMPBELLTON RD SW @WESTGATE PLAZA,409,Southwest,R,33.69258,-84.49266,
LARCENY-NON VEHICLE,171201935,04/30/2017,1853 CHESHIRE BRIDGE RD NE,213,Morningside/Lenox Park,F,33.80935,-84.3617,
LARCENY-NON VEHICLE,171202435,04/30/2017,1801 HOWELL MILL RD NW;,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,171201146,04/30/2017,3393 PEACHTREE RD NE ,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,171201256,04/30/2017,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,171200395,04/30/2017,454 MARIETTA ST,504,Downtown,M,33.76594,-84.39612,
LARCENY-FROM VEHICLE,171200374,04/30/2017,230 LATIMER ST NW,508,Downtown,M,33.76208,-84.39638,
LARCENY-FROM VEHICLE,171200067,04/30/2017,1066 LENA ST NW,105,Washington Park,K,33.75642,-84.42462,
LARCENY-FROM VEHICLE,171200111,04/30/2017,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859,
LARCENY-FROM VEHICLE,171200551,04/30/2017,77 10TH ST NW,503,Midtown,E,33.78159,-84.38874,
LARCENY-FROM VEHICLE,171200993,04/30/2017,311 COURTLAND ST NE @TRAVELODGE CENTRAL,509,Downtown,M,33.76306,-84.38365,
LARCENY-FROM VEHICLE,171200524,04/30/2017,1016 HOWELL MILL RD NW,501,Home Park,E,33.78183,-84.41244,
LARCENY-FROM VEHICLE,171200728,04/30/2017,500 10TH ST NE @BELTLINE BUSINESS,502,,E,33.78223,-84.36922,
LARCENY-FROM VEHICLE,171200452,04/30/2017,3172 PEACHTREE RD NE,208,Buckhead Forest,B,33.84099,-84.37658,
LARCENY-FROM VEHICLE,171200902,04/30/2017,44 12TH ST NE,503,Midtown,E,33.78476,-84.38614,
LARCENY-FROM VEHICLE,171201880,04/30/2017,1492 PIEDMONT AVE NE @ANSLEY SQUARE,213,Piedmont Heights,F,33.79592,-84.37025,
LARCENY-FROM VEHICLE,171201980,04/30/2017,1779 MADONA DR,101,Grove Park,J,33.77074,-84.44512,
LARCENY-FROM VEHICLE,171202211,04/30/2017,739 JOSEPH E LOWERY BLVD SW,401,West End,T,33.7348,-84.41797,
LARCENY-FROM VEHICLE,171201680,04/30/2017,453 FREEDOM PKWY NE @Multiple,602,Poncey-Highland,N,33.76661,-84.35825,
LARCENY-FROM VEHICLE,171201681,04/30/2017,1240 EUCLID AVE NE,608,Candler Park,N,33.76706,-84.34789,
LARCENY-FROM VEHICLE,171201764,04/30/2017,716 GRESHAM AVE SE,612,East Atlanta,W,33.73464,-84.34566,
LARCENY-FROM VEHICLE,171201173,04/30/2017,35 14TH ST NE,503,Midtown,E,33.78626,-84.38639,
