UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,161210370,04/30/2016,448 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73642,-84.40248,
ROBBERY-PEDESTRIAN,161210563,04/30/2016,558 14TH ST,501,Home Park,E,33.78791,-84.39991,
ROBBERY-PEDESTRIAN,161210473,04/30/2016,249 PETERS ST SW,507,Castleberry Hill,M,33.74789,-84.40161,
ROBBERY-PEDESTRIAN,161210197,04/30/2016,74 NORTHSIDE DR SW,512,Downtown,M,33.74852,-84.39636,
ROBBERY-PEDESTRIAN,161210472,04/30/2016,168 CENTENNIAL OLYMPIC PARK DR  NW,508,Downtown,M,33.75906,-84.39221,
ROBBERY-PEDESTRIAN,161210337,04/30/2016,3639 PEACHTREE RD NE ,210,North Buckhead,B,33.85471,-84.3586,
ROBBERY-RESIDENCE,161211063,04/30/2016,175 FLORIDA AVE SW,405,Florida Heights,I,33.75109,-84.46432,
AGG ASSAULT,161212537,04/30/2016,143 MAYSON AVE NE,609,Edgewood,O,33.75754,-84.33836,
AGG ASSAULT,161212488,04/30/2016,387 HILL ST SE,605,Grant Park,W,33.74436,-84.37974,
AGG ASSAULT,161210208,04/30/2016,3534 MARTIN L KING JR DR SW,407,Adamsville,H,33.75771,-84.50344,
AGG ASSAULT,161212141,04/30/2016,252 FLORIDA AVE SW,405,Florida Heights,I,33.74855,-84.46303,
AGG ASSAULT,161212107,04/30/2016,585 MCWILLIAMS RD SE,310,Browns Mill Park,Z,33.6887,-84.36924,
AGG ASSAULT,161211513,04/30/2016,1981 MARTIN L KING JR DR NW,108,,I,33.75014,-84.45237,
AGG ASSAULT,161210508,04/30/2016,174 WYMAN ST SE,610,Kirkwood,O,33.74853,-84.33294,
BURGLARY-RESIDENCE,161210411,04/30/2016,3030 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68066,-84.49371,
BURGLARY-RESIDENCE,161210300,04/30/2016,180 JACKSON ST NE,604,Sweet Auburn,M,33.75932,-84.37442,
BURGLARY-RESIDENCE,161212775,04/30/2016,197 HAYGOOD AVE SE,304,Peoplestown,V,33.72604,-84.38154,
BURGLARY-RESIDENCE,161213042,04/30/2016,170 NORTHSIDE DR SW,507,Castleberry Hill,M,33.7499,-84.40371,
BURGLARY-RESIDENCE,161213044,04/30/2016,1195 WOODLAND AVE NE,213,Lindridge/Martin Manor,F,33.81476,-84.34905,
BURGLARY-RESIDENCE,161072849,04/30/2016,1475 WOODLAND CIR SE,607,Custer/McDonough/Guice,W,33.71376,-84.3519,
LARCENY-NON VEHICLE,161212437,04/30/2016,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,161211779,04/30/2016,898 OAK ST SW,401,West End,T,33.74057,-84.41738,
