UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,150311273,01/31/2015,1375 NORTHSIDE DR NW,207,Loring Heights,E,33.79215,-84.40774,
ROBBERY-PEDESTRIAN,150312601,01/31/2015,2431 SPRINGDALE RD SW,309,Perkerson,X,33.68827,-84.41475,
ROBBERY-PEDESTRIAN,150312591,01/31/2015,2902 OLD JONESBORO RD SW,311,Hammond Park,X,33.6755,-84.4076,
ROBBERY-PEDESTRIAN,150311766,01/31/2015,85 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75684,-84.38475,
ROBBERY-PEDESTRIAN,150312400,01/31/2015,2594 BURTON RD NW ,111,Westhaven,I,33.75581,-84.47292,
ROBBERY-RESIDENCE,150311447,01/31/2015,43 ALLEN TEMPLE CT NW,111,,I,33.75426,-84.49102,
ROBBERY-RESIDENCE,150312645,01/31/2015,3626 RANDALL MILL RD NW,202,Randall Mill,A,33.85418,-84.42286,
ROBBERY-RESIDENCE,150310399,01/31/2015,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,
ROBBERY-PEDESTRIAN,150310202,01/31/2015,903 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74369,-84.31476,
ROBBERY-PEDESTRIAN,150311900,01/31/2015,94 PRYOR ST SW,511,Downtown,M,33.75199,-84.39024,
ROBBERY-PEDESTRIAN,150310318,01/31/2015,MYRTLE DR SW / PLAZA LN SW,410,Campbellton Road,R,33.70527,-84.45421,
AGG ASSAULT,150311857,01/31/2015,651 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82344,-84.36643,
AGG ASSAULT,150311807,01/31/2015,1005 BALDWIN ST,104,Ashview Heights,T,33.74693,-84.42038,
AGG ASSAULT,150310056,01/31/2015,794 ORMEWOOD AVE SE,605,Grant Park,W,33.73376,-84.36182,
AGG ASSAULT,150311408,01/31/2015,2484 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75188,-84.46899,
AGG ASSAULT,150311774,01/31/2015,2281 POLAR ROCK TER SW,310,Polar Rock,Z,33.69216,-84.39508,
BURGLARY-RESIDENCE,150312837,01/31/2015,761 WYLIE ST SE,606,Cabbagetown,N,33.75234,-84.3623,
BURGLARY-RESIDENCE,150312058,01/31/2015,4151 CORNELL BLVD SW,407,Baker Hills,H,33.76134,-84.52256,
BURGLARY-RESIDENCE,150311958,01/31/2015,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059,
BURGLARY-RESIDENCE,150312320,01/31/2015,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315,
BURGLARY-RESIDENCE,150312352,01/31/2015,1689 N OLYMPIAN WAY SW,404,Westview,T,33.73646,-84.44308,
BURGLARY-RESIDENCE,150311159,01/31/2015,600 GARSON DR NE,211,Lindbergh/Morosgo,B,33.81907,-84.37069,
BURGLARY-NONRES,150311520,01/31/2015,890 CHATTAHOOCHEE AVE NW,204,Berkeley Park,D,33.79902,-84.41695,
LARCENY-NON VEHICLE,150312830,01/31/2015,464 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75448,-84.37234,
LARCENY-NON VEHICLE,150310609,01/31/2015,901 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76375,-84.41708,
LARCENY-NON VEHICLE,150310922,01/31/2015,3050 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75177,-84.4857,
LARCENY-NON VEHICLE,150311206,01/31/2015,231 18TH ST NW,501,Atlantic Station,E,33.79275,-84.39544,
LARCENY-NON VEHICLE,150310431,01/31/2015,548 NORTHSIDE DR NW,103,English Avenue,L,33.7697,-84.40508,
LARCENY-NON VEHICLE,150311780,01/31/2015,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,150312079,01/31/2015,2615 DONALD LEE HOLLOWELL PRKWY,109,Center Hill,J,33.7762,-84.47236,
LARCENY-FROM VEHICLE,150310354,01/31/2015,577 FORMWALT ST SW,303,Downtown,M,33.75179,-84.38301,
LARCENY-FROM VEHICLE,150311376,01/31/2015,1848 FLAT SHOALS RD SE,612,East Atlanta,W,33.729,-84.32719,
LARCENY-FROM VEHICLE,150312448,01/31/2015,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,
LARCENY-FROM VEHICLE,150312408,01/31/2015,105 VANIRA AVE SE,304,Peoplestown,V,33.72923,-84.38456,
LARCENY-FROM VEHICLE,150312222,01/31/2015,970 HANK AARON DR SE,304,Peoplestown,V,33.72807,-84.38769,
LARCENY-FROM VEHICLE,150312368,01/31/2015,1465 CHATTAHOOCHEE AVE NW,204,Underwood Hills,D,33.80787,-84.43494,
LARCENY-FROM VEHICLE,150312502,01/31/2015,1025 HOWELL MILL RD NW,501,Home Park,E,33.78285,-84.41126,
LARCENY-FROM VEHICLE,150311105,01/31/2015,1975 LENOX RD NE,213,Morningside/Lenox Park,F,33.80897,-84.35039,
LARCENY-FROM VEHICLE,150311413,01/31/2015,226 COURTLAND ST NE,509,Downtown,M,33.76051,-84.38429,
LARCENY-FROM VEHICLE,150311414,01/31/2015,2238 PARKVIEW CT NW,203,Bolton,D,33.81721,-84.46357,
LARCENY-FROM VEHICLE,150311522,01/31/2015,1272 W PACES FERRY RD NW,202,West Paces Ferry/Northside,A,33.84862,-84.42869,
LARCENY-FROM VEHICLE,150311523,01/31/2015,61 NORTH AVE NW @VARSITY DRIVE INN,505,Midtown,E,33.77138,-84.38943,
