UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,173041365,10/31/2017,195 ARIZONA AVE NE,609,Edgewood,O,33.75929,-84.3312,
ROBBERY-PEDESTRIAN,173042366,10/31/2017,2211 MAULDIN ST NW,203,Bolton,D,33.81596,-84.45609,
ROBBERY-COMMERCIAL,173042505,10/31/2017,1590 JOSEPH E BOONE BLVD NW,105,West Lake,J,33.76348,-84.43997,
ROBBERY-COMMERCIAL,173042464,10/31/2017,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,506,Midtown,E,33.77352,-84.36667,
ROBBERY-RESIDENCE,173042496,10/31/2017,79 ROSWELL CT NE,208,Buckhead Forest,B,33.84888,-84.3818,
AGG ASSAULT,173040862,10/31/2017,2266 BAYWOOD DR SE,310,Swallow Circle/Baywood,Z,33.69227,-84.38809,
AGG ASSAULT,173040331,10/31/2017,1000 NORTHSIDE DR NW,501,Home Park,E,33.78194,-84.40758,
AGG ASSAULT,173040259,10/31/2017,2462 MAIN ST NW,109,Carey Park,G,33.78275,-84.46808,
AGG ASSAULT,173041390,10/31/2017,566 CENTRAL PARK PL NE,603,Old Fourth Ward,M,33.76993,-84.37774,
AGG ASSAULT,173041402,10/31/2017,733 COOPER ST,303,Mechanicsville,V,33.73226,-84.39753,
BURGLARY-RESIDENCE,173040864,10/31/2017,1779 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70556,-84.38033,
BURGLARY-RESIDENCE,173040727,10/31/2017,2512 PERKERSON RD SW,309,Perkerson,X,33.68614,-84.4093,
BURGLARY-RESIDENCE,173041105,10/31/2017,984 CAMILLA ST SW,104,Ashview Heights,T,33.75032,-84.41988,
BURGLARY-RESIDENCE,173041239,10/31/2017,958 STONEWALL DR SE,308,Leila Valley,Z,33.69057,-84.35749,
BURGLARY-RESIDENCE,173040034,10/31/2017,565 SAINT JOHNS AVE SW,306,Sylvan Hills,X,33.69929,-84.40751,
BURGLARY-RESIDENCE,173042044,10/31/2017,1483 ARTHUR LANGFORD JR PL SW,307,Joyland,Y,33.71097,-84.39789,
BURGLARY-RESIDENCE,173042263,10/31/2017,2493 BUTNER RD SW,413,Butner/Tell,P,33.68661,-84.52982,
BURGLARY-RESIDENCE,173042516,10/31/2017,565 GREENSFERRY AVE SW,101,The Villages at Castleberry Hill,T,33.74651,-84.40675,
BURGLARY-RESIDENCE,173042012,10/31/2017,941 GILBERT ST SE,607,Ormewood Park,W,33.72881,-84.35089,
BURGLARY-RESIDENCE,173042375,10/31/2017,488 CLEVELAND AVE SW,311,Hammond Park,X,33.68117,-84.4044,
BURGLARY-RESIDENCE,173031852,10/31/2017,285 SPELLMAN ST SW,108,Dixie Hills,J,33.76296,-84.45251,
BURGLARY-RESIDENCE,173041942,10/31/2017,1725 CASCADE TER SW,404,Cascade Avenue/Road,S,33.72831,-84.44452,
BURGLARY-RESIDENCE,173041282,10/31/2017,2036 STANFIELD AVE NW,110,West Highlands,G,33.79727,-84.45342,
BURGLARY-RESIDENCE,173040921,10/31/2017,213 FAIRBURN RD NW,111,Adamsville,H,33.76136,-84.50424,
BURGLARY-RESIDENCE,173040592,10/31/2017,1324 WESTBORO DR SW,402,Oakland City,S,33.73194,-84.43088,
BURGLARY-RESIDENCE,173042422,10/31/2017,379 SAINT JOHNS AVE SW,307,Lakewood Heights,Y,33.69986,-84.40186,
BURGLARY-RESIDENCE,173042051,10/31/2017,3133 HICKMAN DR NW,111,,I,33.75489,-84.48948,
LARCENY-NON VEHICLE,173042305,10/31/2017,506 MORELAND AVE SE,602,Inman Park,N,33.76819,-84.34913,
LARCENY-NON VEHICLE,173040939,10/31/2017,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73856,-84.43407,
LARCENY-NON VEHICLE,173041448,10/31/2017,850 OAK ST SW @WEST END MALL,401,West End,T,33.74057,-84.4168,
LARCENY-NON VEHICLE,173041468,10/31/2017,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.82419,-84.36712,
LARCENY-NON VEHICLE,173041629,10/31/2017,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79239,-84.39982,
LARCENY-NON VEHICLE,173042458,10/31/2017,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82445,-84.36711,
LARCENY-FROM VEHICLE,173040455,10/31/2017,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805,
LARCENY-FROM VEHICLE,173040172,10/31/2017,495 TRABERT AVE NW,207,Loring Heights,E,33.79475,-84.40396,
LARCENY-FROM VEHICLE,173040536,10/31/2017,1750 COMMERCE DR NW,204,Berkeley Park,D,33.80174,-84.41093,
LARCENY-FROM VEHICLE,173042036,10/31/2017,17 BAKER ST NW,508,Downtown,M,33.76226,-84.38902,
LARCENY-FROM VEHICLE,173041877,10/31/2017,1778 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.80372,-84.42711,
LARCENY-FROM VEHICLE,173041799,10/31/2017,2720 METROPOLITAN PKWY SW,311,Hammond Park,X,33.68,-84.40773,
LARCENY-FROM VEHICLE,173041610,10/31/2017,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164,
LARCENY-FROM VEHICLE,173041142,10/31/2017,3481 LAKESIDE DR NE,210,Buckhead Heights,B,33.84899,-84.3574,
LARCENY-FROM VEHICLE,173040571,10/31/2017,133 CARNEGIE WAY NW @CARNEGIE BUILDING,508,Downtown,M,33.7582,-84.38852,
LARCENY-FROM VEHICLE,173042870,10/31/2017,87 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.75209,-84.37536,
LARCENY-FROM VEHICLE,173042868,10/31/2017,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80121,-84.40791,
LARCENY-FROM VEHICLE,173040726,10/31/2017,2000 MONROE PL NE,212,Piedmont Heights,F,33.8103,-84.37025,
LARCENY-FROM VEHICLE,173042795,10/31/2017,3660 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.65438,-84.50793,
LARCENY-FROM VEHICLE,173042638,10/31/2017,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.8426,-84.37329,
LARCENY-FROM VEHICLE,173041225,10/31/2017,3438 PEACHTREE RD NE,208,North Buckhead,B,33.8508,-84.36189,
LARCENY-FROM VEHICLE,173041181,10/31/2017,99 BROWN AVE SE,305,South Atlanta,Y,33.71361,-84.38494,
LARCENY-FROM VEHICLE,173042447,10/31/2017,3660 CAMP CREEK PKWY SW;,414,Princeton Lakes,P,33.65438,-84.50793,
LARCENY-FROM VEHICLE,173040774,10/31/2017,622 DELMAR AVE SE,605,Grant Park,W,33.73222,-84.36688,
LARCENY-FROM VEHICLE,173040805,10/31/2017,400 PHARR RD NE,206,Buckhead Village,B,33.8371,-84.3747,
LARCENY-FROM VEHICLE,173042272,10/31/2017,1380 ATLANTIC DR NW @PUBLIX - ATLANTIC,501,Atlantic Station,E,33.79293,-84.3975,
LARCENY-FROM VEHICLE,173042180,10/31/2017,757 CLEVELAND AVE SW,309,Perkerson,X,33.68133,-84.41363,
LARCENY-FROM VEHICLE,173042338,10/31/2017,349 EDGEWOOD AVE SE,604,Sweet Auburn,M,33.75425,-84.37649,
LARCENY-FROM VEHICLE,173040743,10/31/2017,360 PHARR RD NE,206,Buckhead Village,B,33.8371,-84.37588,
LARCENY-FROM VEHICLE,173041658,10/31/2017,1903 DREW DR NW,110,West Highlands,G,33.79335,-84.45089,
LARCENY-FROM VEHICLE,173041897,10/31/2017,1783 JOHNSON RD NW,110,Rockdale,G,33.78547,-84.44593,
LARCENY-FROM VEHICLE,173041126,10/31/2017,1369 BENNING PL NE,608,Candler Park,N,33.7685,-84.34275,
LARCENY-NON VEHICLE,173041442,10/31/2017,1015 GILBERT ST SE,607,Ormewood Park,W,33.72685,-84.35093,
LARCENY-NON VEHICLE,173048042,10/31/2017,10700 SPINE RD,706,,,33.64063,-84.43256,
LARCENY-NON VEHICLE,171721134,10/31/2017,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,
LARCENY-NON VEHICLE,173041323,10/31/2017,1590 JOSEPH E BOONE BLVD NW,105,West Lake,J,33.76348,-84.43997,
LARCENY-NON VEHICLE,173041366,10/31/2017,1231 COLLIER RD NW,204,Underwood Hills,D,33.81183,-84.42746,
LARCENY-NON VEHICLE,173041699,10/31/2017,439 WOODLAWN AVE NW,107,Grove Park,J,33.76701,-84.43607,
LARCENY-NON VEHICLE,173048078,10/31/2017,1030 DELTA BLVD ,701,,X,33.65747,-84.4231,
LARCENY-NON VEHICLE,173042568,10/31/2017,2970 LENOX RD NE,210,Pine Hills,B,33.8355,-84.35786,
LARCENY-NON VEHICLE,173048052,10/31/2017,6000 NORTH TERMINAL PKWY,706,,,33.64184,-84.4477,
LARCENY-NON VEHICLE,173042673,10/31/2017,1396 BENTEEN PARK DR SE,607,Benteen Park,W,33.71382,-84.3614,
AUTO THEFT,173041859,10/31/2017,3160 ABBEY DR SW;,414,Princeton Lakes,P,33.66623,-84.51159,
AUTO THEFT,173040526,10/31/2017,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315,
AUTO THEFT,173040670,10/31/2017,836 BROOKDALE DR SW,309,Perkerson,X,33.68638,-84.41674,
AUTO THEFT,173042048,10/31/2017,2841 GREENBRIAR PKWY SW @PLANET FITNESS,411,Greenbriar,R,33.68845,-84.49328,
AUTO THEFT,173042087,10/31/2017,633 EVANS ST SW,401,West End,T,33.73772,-84.41578,
AUTO THEFT,173042479,10/31/2017,950 SPRING ST NW,503,Midtown,E,33.78039,-84.38907,
AUTO THEFT,173042798,10/31/2017,818 BONNEVILLE TER NW,114,Bankhead/Bolton,H,33.77948,-84.49901,
AUTO THEFT,173042765,10/31/2017,3465 NORTHSIDE PKWY NW,202,Randall Mill,A,33.84967,-84.43004,
AUTO THEFT,173042641,10/31/2017,3393 PEACHTREE RD,210,Lenox,B,33.84756,-84.3598,
AUTO THEFT,173040496,10/31/2017,208 STANHOPE CIR NW,105,Hunter Hills,K,33.75903,-84.42575,
AUTO THEFT,173032300,10/31/2017,1148 LOOKOUT AVE ,108,Almond Park,G,33.78593,-84.4653,
AUTO THEFT,173041477,10/31/2017,3131 CAMPBELLTON RD SW @WESTGATE PLAZA,409,Southwest,R,33.69149,-84.49234,
AUTO THEFT,173040931,10/31/2017,282 PEACHTREE ST SW,512,Downtown,M,33.74702,-84.39666,
AUTO THEFT,173031048,10/30/2017,3281 KINGSDALE DR SW,406,Magnum Manor,I,33.72235,-84.49533,
AUTO THEFT,173031544,10/30/2017,693 LAWTON ST SW,402,West End,T,33.73611,-84.42348,
AUTO THEFT,173032000,10/30/2017,619 LINWOOD AVE NE,602,Poncey-Highland,N,33.77145,-84.35724,
AUTO THEFT,173032023,10/30/2017,1005 HEMPHILL AVE NW,504,Georgia Tech,E,33.7797,-84.40252,
AUTO THEFT,173032098,10/30/2017,441 16TH ST NW @IKEA,501,Atlantic Station,E,33.78874,-84.40468,
AUTO THEFT,173032150,10/30/2017,1176 CHATTAHOOCHEE AVE NW,203,Blandtown,D,33.80073,-84.4263,
AUTO THEFT,173030551,10/30/2017,3266 WARD DR SE,312,Glenrose Heights,Z,33.66667,-84.38843,
AUTO THEFT,173030776,10/30/2017,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299,
AUTO THEFT,173031374,10/30/2017,971 MATHEWS ST SW,401,West End,T,33.73471,-84.41966,
LARCENY-NON VEHICLE,173032425,10/30/2017,2015 RUTH ST NW,110,Grove Park,J,33.78558,-84.45356,
LARCENY-NON VEHICLE,173031100,10/30/2017,999 PALMETTO AVE SW,104,Ashview Heights,T,33.75189,-84.42029,
LARCENY-NON VEHICLE,173032412,10/30/2017,1987 SANDSTREAM CT SW,412,Sandlewood Estates,P,33.70142,-84.54008,
LARCENY-NON VEHICLE,173030917,10/30/2017,810 METROPOLITAN PKWY SW,302,Pittsburgh,V,33.73305,-84.40799,
LARCENY-NON VEHICLE,173032180,10/30/2017,800 GLENWOOD AVE SE,605,Grant Park,W,33.74059,-84.36172,
