UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,161520625,05/31/2016,1305 OAKLAND DR,403,Oakland City,S,33.71896,-84.42892,
ROBBERY-PEDESTRIAN,161522406,05/31/2016,738 MYRTLE ST NE,505,Midtown,E,33.77482,-84.3805,
ROBBERY-PEDESTRIAN,161523145,05/31/2016,1620 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79988,-84.47023,
ROBBERY-PEDESTRIAN,161522986,05/31/2016,1425 JOSEPH E BOONE BLVD NW,107,Hunter Hills,K,33.76355,-84.433,
ROBBERY-PEDESTRIAN,161522749,05/31/2016,863 OAK ST SW,410,Fort Valley,R,33.70055,-84.45149,
ROBBERY-PEDESTRIAN,161521886,05/31/2016,446 LINDSAY ST NW,103,English Avenue,L,33.76623,-84.41659,
ROBBERY-RESIDENCE,161521559,05/31/2016,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177,
ROBBERY-COMMERCIAL,161520843,05/31/2016,1053 CASCADE AVE,403,Cascade Avenue/Road,S,33.72653,-84.44555,
AGG ASSAULT,161521809,05/31/2016,2001 SYLVAN RD SW @CARIBU APTS,306,Sylvan Hills,X,33.69959,-84.41862,
AGG ASSAULT,161512252,05/31/2016,1140 DOLPHIN DR SW,406,Cascade Avenue/Road,S,33.72386,-84.46165,
AGG ASSAULT,161520072,05/31/2016,2306 CAREY DR SE,310,Lakewood,Z,33.69102,-84.36971,
AGG ASSAULT,161523119,05/31/2016,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265,
BURGLARY-RESIDENCE,161522026,05/31/2016,2637 BUTNER RD SW,413,Butner/Tell,P,33.68323,-84.5345,
BURGLARY-RESIDENCE,161521918,05/31/2016,3226 SAVILLE ST SW,414,Princeton Lakes,P,33.66542,-84.5161,
BURGLARY-RESIDENCE,161521776,05/31/2016,2411 SANDFALL CT SW,412,Sandlewood Estates,P,33.70497,-84.54322,
BURGLARY-RESIDENCE,161522926,05/31/2016,1005 BALDWIN ST SW,104,Ashview Heights,T,33.74647,-84.42057,
BURGLARY-RESIDENCE,161521684,05/31/2016,1355 BYRERE TER TERR,403,Venetian Hills,S,33.71798,-84.43162,
BURGLARY-RESIDENCE,161522378,05/31/2016,2318 HIGHVIEW RD SW,406,Beecher Hills,I,33.72926,-84.46371,
BURGLARY-RESIDENCE,161522809,05/31/2016,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164,
BURGLARY-RESIDENCE,161521455,05/31/2016,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67339,-84.37144,
BURGLARY-RESIDENCE,161520623,05/31/2016,778 MAGNOLIA WAY NW,102,Vine City,L,33.75804,-84.41371,
BURGLARY-RESIDENCE,161521603,05/31/2016,2827 CHERRY LAUREL LN SW,411,Greenbriar,R,33.69642,-84.48201,
BURGLARY-RESIDENCE,161520860,05/31/2016,595 ELMWOOD RD NW,107,Grove Park,J,33.77094,-84.43853,
BURGLARY-RESIDENCE,161521182,05/31/2016,28 GOULD ST SE,307,Lakewood Heights,Y,33.70716,-84.37759,
BURGLARY-NONRES,161520039,05/31/2016,929 CHARLES ALLEN DR,506,Midtown,E,33.78119,-84.37151,
BURGLARY-NONRES,161520398,05/31/2016,2081 BOLTON RD NW,203,Riverside,D,33.8124,-84.47223,
BURGLARY-NONRES,161520666,05/31/2016,1415 MECASLIN ST NW,501,Atlantic Station,E,33.79494,-84.39734,
BURGLARY-NONRES,161520935,05/31/2016,1820 MARIETTA BLVD NW,203,Hills Park,D,33.80431,-84.43779,
BURGLARY-NONRES,161521040,05/31/2016,937 SIMS ST SW,302,Pittsburgh,V,33.72957,-84.40329,
BURGLARY-NONRES,161521181,05/31/2016,3167 PEACHTREE RD NE,206,Buckhead Village,B,33.84031,-84.37588,
BURGLARY-NONRES,161520451,05/31/2016,349 DECATUR ST SE,604,Sweet Auburn,M,33.74988,-84.37788,
BURGLARY-RESIDENCE,161521187,05/31/2016,234 MEMORIAL DR SW,512,Downtown,M,33.7465,-84.39536,
BURGLARY-RESIDENCE,161522977,05/31/2016,820 MAGNA CARTA DR NW,112,Collier Heights,I,33.77644,-84.48151,
BURGLARY-NONRES,161522371,05/31/2016,30 IVAN ALLEN JR BLVD NW,508,Downtown,M,33.76444,-84.3884,
BURGLARY-NONRES,161520919,05/31/2016,543 10TH ST NW,501,Home Park,E,33.78166,-84.40511,
BURGLARY-RESIDENCE,161521228,05/31/2016,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177,
LARCENY-NON VEHICLE,161522930,05/31/2016,1974 SYLVAN RD SW,306,Sylvan Hills,X,33.70008,-84.41803,
LARCENY-NON VEHICLE,161521708,05/31/2016,507 JOSEPH E LOWERY BLVD SW,401,West End,T,33.74097,-84.41809,
LARCENY-NON VEHICLE,161521104,05/31/2016,1715 HOWELL MILL RD NW ,204,Berkeley Park,D,33.80089,-84.4157,
LARCENY-NON VEHICLE,161521818,05/31/2016,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,161520225,05/31/2016,1617 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76385,-84.44072,
LARCENY-NON VEHICLE,161522260,05/31/2016,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,161522922,05/31/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,161521495,05/31/2016,3730 CARMIA DR SW @PUBLIX - CARMIA,414,Princeton Lakes,P,33.65573,-84.5109,
LARCENY-FROM VEHICLE,161520817,05/31/2016,500 BISHOP ST NW,207,Loring Heights,E,33.7918,-84.40572,
LARCENY-FROM VEHICLE,161520742,05/31/2016,1544 PIEDMONT AVE NE ,213,Piedmont Heights,F,33.79789,-84.37101,
LARCENY-FROM VEHICLE,161520367,05/31/2016,735 PRINCE PL NW,109,Center Hill,J,33.77502,-84.4664,
LARCENY-FROM VEHICLE,161520101,05/31/2016,1871 HONEYSUCKLE LN SW,410,Campbellton Road,R,33.7068,-84.45326,
LARCENY-FROM VEHICLE,161520964,05/31/2016,115 W PEACHTREE PL NW,508,Downtown,M,33.7644,-84.39083,
LARCENY-FROM VEHICLE,161521070,05/31/2016,1220 MECASLIN ST NW,501,Home Park,E,33.78791,-84.39991,
LARCENY-FROM VEHICLE,161521007,05/31/2016,3850 JONESBORO RD SE @EXPOSITION CENTER,313,South River Gardens,Z,33.65088,-84.36362,
LARCENY-FROM VEHICLE,161520016,05/31/2016,46 4TH ST NW,505,Midtown,E,33.77502,-84.38903,
LARCENY-FROM VEHICLE,161520012,05/31/2016,437 MEMORIAL DR SE,605,Grant Park,W,33.74639,-84.37285,
LARCENY-FROM VEHICLE,161520098,05/31/2016,GLENWOOD AVE SE / BILL KENNEDY WAY SE,606,Ormewood Park,W,33.73976,-84.3582,
LARCENY-FROM VEHICLE,161522794,05/31/2016,801 GLENWOOD AVE SE @APS JACKSON HS,605,Grant Park,W,33.73958,-84.36161,
LARCENY-FROM VEHICLE,161522758,05/31/2016,2285 PEACHTREE RD NE @SHANGHAI RESTAURANT,211,,E,33.81637,-84.38954,
LARCENY-FROM VEHICLE,161522695,05/31/2016,1564 DEKALB AVE NE,608,Candler Park,N,33.76294,-84.33644,
LARCENY-FROM VEHICLE,161522934,05/31/2016,4371 POWERS FERRY RD,202,Chastain Park,A,33.87554,-84.39783,
LARCENY-FROM VEHICLE,161522851,05/31/2016,1120 CURRAN ST NW,501,Home Park,E,33.78551,-84.40617,
LARCENY-FROM VEHICLE,161522396,05/31/2016,1220 MECASLIN ST NW,501,Home Park,E,33.78791,-84.39991,
LARCENY-FROM VEHICLE,161522655,05/31/2016,850 OAK ST SW @WEST END MALL,401,West End,T,33.74057,-84.4168,
LARCENY-FROM VEHICLE,161522519,05/31/2016,3500 PEACHTREE RD NE,208,North Buckhead,B,33.85252,-84.36116,
LARCENY-FROM VEHICLE,161523101,05/31/2016,238 15TH ST NE,502,Ansley Park,E,33.78935,-84.37967,
LARCENY-FROM VEHICLE,161522941,05/31/2016,755 HANK AARON DR SW @TURNER FIELD,304,Summerhill,V,33.73624,-84.389,
LARCENY-FROM VEHICLE,161522966,05/31/2016,670 DALLAS ST NE,603,Old Fourth Ward,M,33.76949,-84.36363,
LARCENY-FROM VEHICLE,161523080,05/31/2016,140 WEST WIEUCA RD NW,201,West Paces Ferry/Northside,A,33.84907,-84.43003,
LARCENY-FROM VEHICLE,161522954,05/31/2016,753 EDGEWOOD AVE NE,602,Inman Park,N,33.75443,-84.36262,
LARCENY-FROM VEHICLE,161521770,05/31/2016,1220 MECASLIN ST NW,501,Home Park,E,33.78791,-84.39991,
LARCENY-FROM VEHICLE,161521829,05/31/2016,3211 MLK JR DR NW,111,,I,33.75392,-84.49196,
LARCENY-FROM VEHICLE,161521400,05/31/2016,840 MARIETTA ST NW,504,Marietta Street Artery,E,33.77522,-84.40691,
LARCENY-FROM VEHICLE,161521299,05/31/2016,742 CRESTWELL CIR SW,407,Mays,H,33.74467,-84.50391,
LARCENY-FROM VEHICLE,161521490,05/31/2016,907 MARIETTA ST NW,504,Marietta Street Artery,E,33.77697,-84.40787,
LARCENY-FROM VEHICLE,161521727,05/31/2016,734 LAKEVIEW AVE NE,506,Midtown,E,33.7748,-84.36731,
LARCENY-FROM VEHICLE,161521665,05/31/2016,126 BAKER ST NE,509,Downtown,M,33.76255,-84.38328,
LARCENY-FROM VEHICLE,161522105,05/31/2016,31 BAKER DR SW,311,Glenrose Heights,Z,33.67683,-84.3955,
LARCENY-FROM VEHICLE,161522134,05/31/2016,1505 CHATTAHOOCHEE AVE NW,204,Bolton,D,33.80986,-84.43736,
LARCENY-FROM VEHICLE,161521935,05/31/2016,2041 PRYOR RD SW,310,Polar Rock,Z,33.6978,-84.39912,
LARCENY-FROM VEHICLE,161521581,05/31/2016,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554,
LARCENY-FROM VEHICLE,161521597,05/31/2016,2289 PALMETTO ST SW,413,Fairburn,P,33.69217,-84.52537,
LARCENY-NON VEHICLE,161521925,05/31/2016,955 JUNIPER ST,503,Midtown,E,33.78083,-84.38246,
LARCENY-NON VEHICLE,161520992,05/31/2016,100 6TH ST NE,505,Midtown,E,33.77756,-84.38417,
LARCENY-NON VEHICLE,161521609,05/31/2016,125 10TH ST NE,503,Midtown,E,33.78163,-84.38311,
LARCENY-NON VEHICLE,161522047,05/31/2016,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184,
LARCENY-NON VEHICLE,161521815,05/31/2016,787 LORIDANS DR NE,209,North Buckhead,B,33.87324,-84.36155,
LARCENY-NON VEHICLE,161523087,05/31/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,161522819,05/31/2016,1073 PIEDMONT AVE NE @PIEDMONT PARK,502,Midtown,E,33.78381,-84.37904,
LARCENY-NON VEHICLE,161522621,05/31/2016,208 6TH ST NE,505,Midtown,E,33.77724,-84.38073,
