UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,172732282,09/30/2017,1770 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70695,-84.37414,
ROBBERY-PEDESTRIAN,172732341,09/30/2017,79 JACKSON ST SE,604,Sweet Auburn,M,33.75219,-84.37417,
ROBBERY-PEDESTRIAN,172732395,09/30/2017,37 LYNHURST DR SW,406,,I,33.75077,-84.48826,
ROBBERY-PEDESTRIAN,172732431,09/30/2017,683 CASCADE AVENUE SW,404,Westview,T,33.737,-84.43593,
ROBBERY-PEDESTRIAN,172731071,09/30/2017,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.8201,-84.36481,
AGG ASSAULT,172732332,09/30/2017,1770 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70695,-84.37414,
AGG ASSAULT,172731546,09/30/2017,1167 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.7636,-84.42601,
AGG ASSAULT,172730616,09/30/2017,2008 BEECHER RD SW,404,Cascade Avenue/Road,S,33.73391,-84.4536,
AGG ASSAULT,172730704,09/30/2017,1597 SYLVAN RD SW,306,Sylvan Hills,X,33.71137,-84.41826,
AGG ASSAULT,172732374,09/30/2017,183 MOUNT ZION RD SW,311,Glenrose Heights,Z,33.67299,-84.39626,
AGG ASSAULT,172731039,09/30/2017,201 DOANE ST SW,303,Mechanicsville,V,33.73117,-84.39455,
AGG ASSAULT,172732128,09/30/2017,303 PARKWAY DR NE @Multiple,604,Old Fourth Ward,M,33.76286,-84.37405,
AGG ASSAULT,172732042,09/30/2017,2479 ABNER TER NW,110,Carver Hills,G,33.80063,-84.46635,
AGG ASSAULT,172731030,09/30/2017,400 FAIRBURN RD SW @FAIRBURN TOWNHOUSES   ,407,Fairburn Mays,H,33.74366,-84.50936,
AGG ASSAULT,172730161,09/30/2017,2025 PEACHTREE RD NE ,207,,E,33.80958,-84.39294,
BURGLARY-RESIDENCE,172731064,09/30/2017,1105 CORDOVA ST SW,402,Oakland City,S,33.72749,-84.42488,
BURGLARY-RESIDENCE,172731311,09/30/2017,459 FAIRLANE CIR NW,114,Fairburn Heights,H,33.76738,-84.50112,
BURGLARY-RESIDENCE,172731490,09/30/2017,2940 GRAND AVE ,311,Hammond Park,X,33.67506,-84.40342,
BURGLARY-RESIDENCE,172732451,09/30/2017,2062 PINE CONE DR SW,412,Heritage Valley,P,33.69984,-84.5,
BURGLARY-RESIDENCE,172732242,09/30/2017,2158 CASCADE RD SW,409,Adams Park,R,33.72186,-84.45888,
BURGLARY-RESIDENCE,172732093,09/30/2017,901 MARGARET PL NW,110,Grove Park,J,33.77902,-84.44939,
BURGLARY-RESIDENCE,172731151,09/30/2017,974 PARSONS ST SW,104,Ashview Heights,T,33.75101,-84.41959,
BURGLARY-RESIDENCE,172732470,09/30/2017,600 GREENSFERRY AVE SW,101,The Villages at Castleberry Hill,T,33.74662,-84.40755,
LARCENY-NON VEHICLE,172731881,09/30/2017,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
LARCENY-NON VEHICLE,172732119,09/30/2017,3440 PEACHTREE RD NE,208,North Buckhead,B,33.85092,-84.36178,
LARCENY-NON VEHICLE,172731939,09/30/2017,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,506,Midtown,E,33.77352,-84.36667,
LARCENY-NON VEHICLE,172731927,09/30/2017,3050 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75237,-84.48653,
LARCENY-NON VEHICLE,172731839,09/30/2017,2886 MEMORIAL DR SE,611,East Lake,O,33.74718,-84.2924,
LARCENY-NON VEHICLE,172731610,09/30/2017,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79239,-84.39982,
LARCENY-NON VEHICLE,172732572,09/30/2017,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73815,-84.41717,
LARCENY-NON VEHICLE,172731174,09/30/2017,226 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73675,-84.39489,
LARCENY-NON VEHICLE,172732169,09/30/2017,2064 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70653,-84.45693,
LARCENY-NON VEHICLE,172732262,09/30/2017,1899 CHESHIRE BRIDGE RD NE,213,Morningside/Lenox Park,F,33.80966,-84.36085,
LARCENY-FROM VEHICLE,172730443,09/30/2017,410 14TH ST NW,501,Home Park,E,33.7861,-84.40045,
LARCENY-FROM VEHICLE,172731130,09/30/2017,1200 14TH PL NE,502,Midtown,E,33.78743,-84.37923,
LARCENY-FROM VEHICLE,172730507,09/30/2017,1140 CRESCENT AVE NE,503,Midtown,E,33.78585,-84.38435,
LARCENY-FROM VEHICLE,172731023,09/30/2017,259 14TH ST NE,503,Midtown,E,33.78639,-84.37844,
LARCENY-FROM VEHICLE,172730955,09/30/2017,263 POLAR ROCK RD SW,310,Polar Rock,Z,33.69622,-84.3978,
LARCENY-FROM VEHICLE,172730854,09/30/2017,600 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.70673,-84.36282,
LARCENY-FROM VEHICLE,172730675,09/30/2017,3633 SATURN DR NW,114,Carroll Heights,H,33.77689,-84.50657,
LARCENY-FROM VEHICLE,172731701,09/30/2017,1670 DEFOOR AVE NW,204,Underwood Hills,D,33.80039,-84.41766,
LARCENY-FROM VEHICLE,172732337,09/30/2017,850 NORTHSIDE DR NW,504,Marietta Street Artery,E,33.77805,-84.40753,
LARCENY-FROM VEHICLE,172731998,09/30/2017,32  MARIETTA ST NW,508,Downtown,M,33.75592,-84.39158,
LARCENY-FROM VEHICLE,172732354,09/30/2017,1587 HOWELL MILL RD NW,207,Berkeley Park,D,33.7983,-84.41598,
LARCENY-FROM VEHICLE,172732453,09/30/2017,401 17TH ST NW,501,Atlantic Station,E,33.7899,-84.40265,
LARCENY-FROM VEHICLE,172732315,09/30/2017,879 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7382,-84.41684,
LARCENY-FROM VEHICLE,172731686,09/30/2017,1784 PEACHTREE ST NW,207,Ardmore,E,33.80334,-84.39319,
LARCENY-FROM VEHICLE,172731337,09/30/2017,2351 ADAMS DR NW,203,Bolton,D,33.81985,-84.45472,
LARCENY-FROM VEHICLE,172731356,09/30/2017,191 14TH ST NW,501,Home Park,E,33.7867,-84.39347,
LARCENY-FROM VEHICLE,172731491,09/30/2017,3222 TELFORD TER SW,414,Princeton Lakes,P,33.66579,-84.51465,
LARCENY-FROM VEHICLE,172731532,09/30/2017,275 HUNNICUTT ST NW,504,Downtown,M,33.76673,-84.39587,
LARCENY-FROM VEHICLE,172731537,09/30/2017,225 BAKER ST NW @AQUARIUM,508,Downtown,M,33.76238,-84.39403,
LARCENY-FROM VEHICLE,172730003,09/30/2017,208 CARROLL ST SE,606,Cabbagetown,N,33.74897,-84.36797,
LARCENY-FROM VEHICLE,172731756,09/30/2017,2143 PEACHTREE RD NE,207,,E,33.81286,-84.39237,
LARCENY-FROM VEHICLE,172731781,09/30/2017,235 PHARR RD NE,206,Garden Hills,B,33.83698,-84.38004,
LARCENY-FROM VEHICLE,172731790,09/30/2017,811 BURCHILL ST SW,306,Sylvan Hills,X,33.71261,-84.4156,
LARCENY-FROM VEHICLE,172731879,09/30/2017,120 BISCAYNE DR NW,205,,C,33.81533,-84.39402,
LARCENY-FROM VEHICLE,172731540,09/30/2017,659 PEACHTREE ST NE @GEORGIAN TERRACE,505,Midtown,E,33.77258,-84.38449,
LARCENY-FROM VEHICLE,172731652,09/30/2017,1200 SPRING ST,502,Midtown,E,33.78767,-84.38937,
LARCENY-FROM VEHICLE,172731549,09/30/2017,209 EDGEWOOD AVE SE @MUNICIPAL MARKET,510,Downtown,M,33.75434,-84.38015,
LARCENY-FROM VEHICLE,172731925,09/30/2017,848 SPRING ST NW,505,Midtown,E,33.77781,-84.38888,
LARCENY-FROM VEHICLE,172730753,09/30/2017,3230 JAMAICA RD NW,112,Collier Heights,I,33.77857,-84.4934,
LARCENY-FROM VEHICLE,172730609,09/30/2017,1783 JOHNSON RD NW,110,Rockdale,G,33.78547,-84.44593,
LARCENY-NON VEHICLE,172731161,09/30/2017,1101 JUNIPER ST NE,503,Midtown,E,33.78465,-84.3821,
LARCENY-NON VEHICLE,172732517,09/30/2017,455 14TH ST NW,501,Home Park,E,33.78629,-84.40208,
LARCENY-NON VEHICLE,172731649,09/30/2017,543 BOULEVARD NE ,603,Old Fourth Ward,M,33.76924,-84.37174,
LARCENY-NON VEHICLE,172731260,09/30/2017,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75223,-84.38978,
LARCENY-NON VEHICLE,172730385,09/30/2017,: 565 Main St NE,211,Lindbergh/Morosgo,B,33.82243,-84.36735,
LARCENY-NON VEHICLE,172730759,09/30/2017,442 14TH ST NW,501,Home Park,E,33.78611,-84.40153,
LARCENY-NON VEHICLE,172730897,09/30/2017,1701 AUDREY PL NW,113,Lincoln Homes,G,33.80155,-84.47623,
