UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,152121987,07/31/2015,2300 CARVER DR NW,108,Dixie Hills,J,33.75973,-84.46293,
ROBBERY-PEDESTRIAN,152123062,07/31/2015,1073 PIEDMONT AVENUE,502,Midtown,E,33.78381,-84.37904,
ROBBERY-PEDESTRIAN,152120445,07/31/2015,2110 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77642,-84.45469,
ROBBERY-COMMERCIAL,152120981,07/31/2015,132 JOSEPH E LOWERY BLVD NW,105,Washington Park,K,33.75871,-84.41774,
ROBBERY-COMMERCIAL,152121915,07/31/2015,1892 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80673,-84.41316,
ROBBERY-RESIDENCE,152120513,07/31/2015,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265,
ROBBERY-RESIDENCE,152122991,07/31/2015,468 GREENWOOD AVE NE,506,Midtown,E,33.77725,-84.37191,
ROBBERY-COMMERCIAL,152121567,07/31/2015,411 FLAT SHOALS AVE,612,East Atlanta,W,33.74253,-84.34852,
ROBBERY-PEDESTRIAN,152122820,07/31/2015,1175 MORELAND AVE SE,607,Woodland Hills,W,33.72241,-84.34972,
ROBBERY-PEDESTRIAN,152122847,07/31/2015,339 WINDSOR ST SW,303,Castleberry Hill,M,33.74506,-84.39802,
ROBBERY-PEDESTRIAN,152122673,07/31/2015,900 JOSEPH E BOONE BLVD NW ,105,Vine City,L,33.76337,-84.41688,
ROBBERY-PEDESTRIAN,152120171,07/31/2015,1091 EUCLID AVE NE,602,Inman Park,N,33.7636,-84.35097,
ROBBERY-PEDESTRIAN,152122191,07/31/2015,1634 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70965,-84.37962,
ROBBERY-PEDESTRIAN,152122491,07/31/2015,180 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73656,-84.39376,
AGG ASSAULT,152122086,07/31/2015,3622 HAMPSHIRE PARK WAY SW;,413,Ben Hill Pines,P,33.68265,-84.5072,
AGG ASSAULT,152121423,07/31/2015,433 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76128,-84.37323,
AGG ASSAULT,152121798,07/31/2015,1870 CAMPBELLTON RD SW @QUALITY LIVING SERV,408,,R,33.7081,-84.4485,
AGG ASSAULT,152120373,07/31/2015,CAMPBELLTON RD SW / VENETIAN DR SW,403,Fort McPherson,S,33.7145,-84.4341,
AGG ASSAULT,152120295,07/31/2015,684 SMITH ST SW,303,Mechanicsville,V,33.73626,-84.40061,
AGG ASSAULT,152122131,07/31/2015,220 TROY ST NW,105,Hunter Hills,K,33.76087,-84.42639,
AGG ASSAULT,152121517,07/31/2015,650 IRA ST SW,303,Mechanicsville,V,33.73719,-84.39971,
BURGLARY-RESIDENCE,152121485,07/31/2015,1886 NORTHSIDE DR NW,205,Channing Valley,C,33.80633,-84.40823,
BURGLARY-RESIDENCE,152122322,07/31/2015,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80121,-84.40791,
BURGLARY-RESIDENCE,152121827,07/31/2015,960 E PACES FERRY RD NE,210,Buckhead Heights,B,33.84691,-84.35618,
BURGLARY-NONRES,152120648,07/31/2015,1017 WESTVIEW DR SW,104,Ashview Heights,T,33.7482,-84.42039,
BURGLARY-NONRES,152120742,07/31/2015,1888 HOLLYWOOD RD NW,203,Riverside,D,33.80726,-84.47158,
BURGLARY-NONRES,152122187,07/31/2015,1256 SYLVAN RD SW,301,Capitol View,X,33.72067,-84.41773,
BURGLARY-RESIDENCE,152121947,07/31/2015,3243 WELMINGHAM DR SW,414,Princeton Lakes,P,33.66248,-84.51879,
LARCENY-NON VEHICLE,152121462,07/31/2015,1641 PINEHURST DR SW,408,Venetian Hills,S,33.71078,-84.45228,
LARCENY-NON VEHICLE,152120970,07/31/2015,1850 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70369,-84.40795,
LARCENY-NON VEHICLE,152121033,07/31/2015,100 PEACHTREE ST NW,508,Downtown,M,33.75685,-84.3886,
LARCENY-NON VEHICLE,152121105,07/31/2015,2615 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7762,-84.47236,
LARCENY-NON VEHICLE,152121437,07/31/2015,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208,
LARCENY-NON VEHICLE,152121688,07/31/2015,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276,
LARCENY-NON VEHICLE,152121723,07/31/2015,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,152122358,07/31/2015,261 14TH ST NW,501,Home Park,E,33.78647,-84.39544,
LARCENY-FROM VEHICLE,152120857,07/31/2015,1876 DEFOOR AVE NW,204,Underwood Hills,D,33.80645,-84.42495,
LARCENY-FROM VEHICLE,152120921,07/31/2015,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65777,-84.50877,
LARCENY-FROM VEHICLE,152120299,07/31/2015,680 REED ST SE,304,Summerhill,V,33.7361,-84.38542,
LARCENY-FROM VEHICLE,152121421,07/31/2015,300 MARTIN L KING JR DR SE,605,Oakland,W,33.74803,-84.37875,
LARCENY-FROM VEHICLE,152121317,07/31/2015,2170 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70551,-84.45978,
LARCENY-FROM VEHICLE,152121308,07/31/2015,501 PULLIAM ST SW,303,Mechanicsville,V,33.74038,-84.39273,
LARCENY-FROM VEHICLE,152120995,07/31/2015,265 PEACHTREE CENTER AVE NE @MARIOTT MARQUIS,509,Downtown,M,33.76158,-84.38496,
LARCENY-FROM VEHICLE,152120952,07/31/2015,710 PROVINCE PL SE,605,Grant Park,W,33.73053,-84.36389,
LARCENY-FROM VEHICLE,152121196,07/31/2015,3534 MARTIN L KING JR DR SW,407,Adamsville,H,33.75771,-84.50344,
LARCENY-FROM VEHICLE,152122837,07/31/2015,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.8245,-84.366,
LARCENY-FROM VEHICLE,152122890,07/31/2015,3660 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.65486,-84.50787,
LARCENY-FROM VEHICLE,152122852,07/31/2015,158 SAMPSON ST NE,604,Old Fourth Ward,M,33.75842,-84.36571,
LARCENY-FROM VEHICLE,152122831,07/31/2015,608 EDGEWOOD AVE NE,604,Old Fourth Ward,M,33.75457,-84.36741,
LARCENY-FROM VEHICLE,152122791,07/31/2015,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-FROM VEHICLE,152122785,07/31/2015,498 SINCLAIR AVE NE,602,Inman Park,N,33.76741,-84.35079,
LARCENY-FROM VEHICLE,152122692,07/31/2015,465 BOULEVARD SE,605,Grant Park,W,33.74183,-84.3685,
LARCENY-FROM VEHICLE,152123017,07/31/2015,924 GARRETT ST SE,606,Ormewood Park,W,33.74074,-84.35787,
LARCENY-FROM VEHICLE,152121677,07/31/2015,1006 WESTMONT RD SW,402,Bush Mountain,S,33.72782,-84.43729,
LARCENY-FROM VEHICLE,152121956,07/31/2015,3565 MARTIN L KING JR DR NW @Multiple,111,Adamsville,H,33.7601,-84.50466,
