UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,171812662,06/30/2017,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079,
ROBBERY-PEDESTRIAN,171810992,06/30/2017,1974 SYLVAN RD SW,306,Sylvan Hills,X,33.70008,-84.41803,
ROBBERY-COMMERCIAL,171810642,06/30/2017,2075 ALISON CT SW;,410,Campbellton Road,R,33.70105,-84.45656,
ROBBERY-PEDESTRIAN,171810615,06/30/2017,2424 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.82191,-84.36858,
ROBBERY-RESIDENCE,171811970,06/30/2017,449 OLIVER ST NW,103,English Avenue,L,33.767,-84.41532,
ROBBERY-PEDESTRIAN,171810585,06/30/2017,3263 DONALD LEE HOLLOWELL PKWY NW,,English Park,G,33.78784,-84.49384,
AGG ASSAULT,171811897,06/30/2017,3362 COLLIER DR NW,114,Fairburn Heights,H,33.76803,-84.49799,
AGG ASSAULT,171810609,06/30/2017,320 FAIRBURN RD SW,407,Fairburn Mays,H,33.74437,-84.50705,
AGG ASSAULT,171811328,06/30/2017,378 BASS ST SW,303,Mechanicsville,V,33.73551,-84.40037,
AGG ASSAULT,171812671,06/30/2017,3000 STONE HOGAN CONN SW,411,Greenbriar,R,33.67424,-84.49697,
AGG ASSAULT,171811236,06/30/2017,1619 METROPOLITAN PKWY SW,301,Capitol View,X,33.71062,-84.40827,
AGG ASSAULT,171811147,06/30/2017,685 CEDAR AVE NW,109,Center Hill,J,33.77374,-84.46471,
AGG ASSAULT,171810392,06/30/2017,275 PRYOR ST SW,512,Downtown,M,33.74747,-84.39415,
AGG ASSAULT,171811502,06/30/2017,956 SPRING ST NW,503,Midtown,E,33.78079,-84.38915,
BURGLARY-RESIDENCE,171811633,06/30/2017,3200 STONE RD,411,Greenbriar,R,33.6697,-84.49403,
BURGLARY-RESIDENCE,171812577,06/30/2017,2423 MARTIN L KING JR DR SW,108,Florida Heights,I,33.75183,-84.46623,
BURGLARY-RESIDENCE,171812539,06/30/2017,2021 TIGER FLOWERS DR NW,108,Dixie Hills,J,33.76038,-84.45331,
BURGLARY-RESIDENCE,171811927,06/30/2017,2900 LANDRUM DR SW,409,Southwest,R,33.70623,-84.48372,
BURGLARY-RESIDENCE,171811637,06/30/2017,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,
BURGLARY-RESIDENCE,171812605,06/30/2017,468 GLENWOOD PL SE,606,Ormewood Park,W,33.74134,-84.35507,
BURGLARY-NONRES,171810004,06/30/2017,2636 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75379,-84.47417,
BURGLARY-RESIDENCE,171811692,06/30/2017,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425,
LARCENY-NON VEHICLE,171810597,06/30/2017,1350 JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76333,-84.43206,
LARCENY-NON VEHICLE,171811460,06/30/2017,2975 HEADLAND DR SW @BIG LOTS - HEADLAND,411,Greenbriar,R,33.69168,-84.4872,
