UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,162132226,07/31/2016,132 FAIRFIED PL,108,Dixie Hills,J,33.75756,-84.46344,
ROBBERY-PEDESTRIAN,162132158,07/31/2016,968 SAINT CHARLES AVE NE,601,Virginia Highland,F,33.77574,-84.35571,
ROBBERY-PEDESTRIAN,162132030,07/31/2016,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.765,-84.36578,
ROBBERY-PEDESTRIAN,162130033,07/31/2016,3669 MARTIN L KING JR DR NW,111,Adamsville,H,33.76252,-84.50842,
AGG ASSAULT,162131929,07/31/2016,2042 SYLVAN RD SW,306,Sylvan Hills,X,33.69897,-84.41785,
AGG ASSAULT,162132033,07/31/2016,75 HAMMOCK PL SE,304,Summerhill,V,33.74113,-84.38536,
AGG ASSAULT,162122672,07/31/2016,146 VINE ST NW,102,Vine City,L,33.75861,-84.40795,
AGG ASSAULT,162130072,07/31/2016,872 HOBSON ST SW,302,Pittsburgh,V,33.7313,-84.40582,
AGG ASSAULT,162130222,07/31/2016,798 ELOISE CT SE,605,Grant Park,W,33.7345,-84.36109,
AGG ASSAULT,162131493,07/31/2016,2601 BEELER DR SW,309,Perkerson,X,33.68383,-84.40142,
AGG ASSAULT,162130491,07/31/2016,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
BURGLARY-RESIDENCE,162132161,07/31/2016,3390 FAIRBURN RD SW,414,Ben Hill,P,33.6639,-84.52377,
BURGLARY-RESIDENCE,162130114,07/31/2016,2713 NOBLE CREEK DR NW,204,Cross Creek,C,33.81445,-84.42483,
BURGLARY-RESIDENCE,162130317,07/31/2016,1451 MECASLIN ST NW,207,Loring Heights,E,33.79459,-84.39969,
BURGLARY-RESIDENCE,162130861,07/31/2016,2884 CONNALLY DR SW,411,Greenbriar,R,33.69495,-84.48241,
BURGLARY-RESIDENCE,162131295,07/31/2016,814 MAGNOLIA WAY NW,102,Vine City,L,33.75805,-84.41419,
BURGLARY-RESIDENCE,162131836,07/31/2016,3432 PIEDMONT RD NE,208,Buckhead Forest,B,33.84898,-84.37567,
BURGLARY-RESIDENCE,162130411,07/31/2016,1204 PEACHTREE PARK DR NE,207,,E,33.81354,-84.38945,
BURGLARY-NONRES,162130691,07/31/2016,645 GRANT ST SE,605,Grant Park,W,33.73697,-84.3767,
LARCENY-NON VEHICLE,162130436,07/31/2016,2195 MONROE DR NE,212,Piedmont Heights,F,33.81034,-84.36852,
LARCENY-NON VEHICLE,162131213,07/31/2016,1960 PERKERSON RD SW,306,Sylvan Hills,X,33.70089,-84.4177,
LARCENY-NON VEHICLE,162132064,07/31/2016,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742,
LARCENY-FROM VEHICLE,162131781,07/31/2016,1213 ALLENE AVE SW,301,Capitol View,X,33.72187,-84.41325,
LARCENY-FROM VEHICLE,162131789,07/31/2016,1701 CHATTAHOOCHEE AVE NW,203,Bolton,D,33.81471,-84.44418,
LARCENY-FROM VEHICLE,162131963,07/31/2016,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554,
LARCENY-FROM VEHICLE,162131748,07/31/2016,850 OAK ST SW @WEST END MALL,401,West End,T,33.74053,-84.41671,
LARCENY-FROM VEHICLE,162132330,07/31/2016,675  W PEACHTREE ST NE,505,Midtown,E,33.773,-84.38723,
LARCENY-FROM VEHICLE,162132325,07/31/2016,3424 MARTIN L KING JR DR SW ,407,Adamsville,H,33.75503,-84.50014,
LARCENY-FROM VEHICLE,162132310,07/31/2016,1849 VENETIAN DR SW,408,Venetian Hills,S,33.71522,-84.44832,
LARCENY-FROM VEHICLE,162131680,07/31/2016,755 HANK AARON DR SW @TURNER FIELD,304,Summerhill,V,33.73624,-84.389,
LARCENY-FROM VEHICLE,162131352,07/31/2016,300 PEACHTREE STREET,508,Downtown,M,33.76226,-84.38755,
LARCENY-FROM VEHICLE,162131234,07/31/2016,898 OAK ST SW,401,West End,T,33.74057,-84.41738,
LARCENY-FROM VEHICLE,162131203,07/31/2016,1139 MORELAND AVE SE,607,Woodland Hills,W,33.72328,-84.34982,
LARCENY-FROM VEHICLE,162131188,07/31/2016,126 RENAISSANCE PKWY NE PKWY,509,Downtown,M,33.76872,-84.38303,
LARCENY-FROM VEHICLE,162131101,07/31/2016,227 COURTLAND ST NE,509,Downtown,M,33.76067,-84.38354,
LARCENY-FROM VEHICLE,162131176,07/31/2016,242 ROSEWOOD WAY LN ,111,Westhaven,I,33.75725,-84.47231,
LARCENY-FROM VEHICLE,162131625,07/31/2016,1061 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77244,-84.35368,
LARCENY-FROM VEHICLE,162131597,07/31/2016,35 14TH ST NE,503,Midtown,E,33.78626,-84.38639,
LARCENY-FROM VEHICLE,162131557,07/31/2016,2174 BEECHER RD SW,406,Beecher Hills,I,33.73132,-84.45933,
LARCENY-FROM VEHICLE,162131381,07/31/2016,675 NISKEY LAKE CIR SW,412,Midwest Cascade,Q,33.7278,-84.53436,
LARCENY-FROM VEHICLE,162131319,07/31/2016,131 PONCE DE LEON AVE NE,505,Midtown,E,33.77234,-84.38307,
LARCENY-FROM VEHICLE,162130223,07/31/2016,510 JONES AVE NW,103,English Avenue,L,33.76392,-84.4039,
LARCENY-FROM VEHICLE,162130164,07/31/2016,251 SWAN DR SE,310,Swallow Circle/Baywood,Z,33.69266,-84.38068,
LARCENY-FROM VEHICLE,162130348,07/31/2016,862 MARTIN L KING JR DR SW,101,Atlanta University Center,T,33.75462,-84.41596,
LARCENY-FROM VEHICLE,162130147,07/31/2016,1154 MECASLIN ST NW,501,Home Park,E,33.78594,-84.39992,
LARCENY-FROM VEHICLE,162130049,07/31/2016,3336 PEACHTREE RD NE,208,North Buckhead,B,33.84629,-84.36842,
LARCENY-FROM VEHICLE,162122675,07/31/2016,230 WESTVIEW PL SW,104,Mozley Park,K,33.74864,-84.43458,
LARCENY-FROM VEHICLE,162131660,07/31/2016,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-FROM VEHICLE,162130941,07/31/2016,921 SOCIETY CIR SW,407,Mays,H,33.74698,-84.50191,
LARCENY-FROM VEHICLE,162130936,07/31/2016,3242 PEACHTREE RD NE,208,Buckhead Forest,B,33.84425,-84.37311,
LARCENY-FROM VEHICLE,162130663,07/31/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.78956,-84.44919,
LARCENY-FROM VEHICLE,162131029,07/31/2016,978 MYRTLE ST NE,503,Midtown,E,33.78132,-84.37968,
LARCENY-FROM VEHICLE,162130813,07/31/2016,126 LAKELAND DR NW,206,South Tuxedo Park,B,33.84876,-84.38687,
LARCENY-NON VEHICLE,162131334,07/31/2016,1871 PLAZA LN SW,410,Campbellton Road,R,33.70518,-84.45336,
LARCENY-NON VEHICLE,162131441,07/31/2016,1000 BOULDERCREST DR SE,612,East Atlanta,W,33.72695,-84.33297,
LARCENY-NON VEHICLE,162130927,07/31/2016,1302 W PEACHTREE ST NW,502,Midtown,E,33.79009,-84.38789,
