UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,171511742,05/31/2017,1290 WILLIAMS ST NW,502,Midtown,E,33.7895,-84.39068,
ROBBERY-PEDESTRIAN,171511524,05/31/2017,2024 ARLINGTON CIR NW,107,Grove Park,J,33.77073,-84.45311,
ROBBERY-PEDESTRIAN,171512016,05/31/2017,360 MARIETTA ST NW,507,Downtown,M,33.76268,-84.39715,
ROBBERY-RESIDENCE,171511832,05/31/2017,1631 STANTON RD SW;,408,,R,33.71037,-84.44395,
AGG ASSAULT,171512560,05/31/2017,4340 BAKERS FERRY RD SW,407,Boulder Park,H,33.75143,-84.52937,
AGG ASSAULT,171512430,05/31/2017,2194 NELMS DR SW,310,Polar Rock,Z,33.69456,-84.40051,
AGG ASSAULT,171510623,05/31/2017,992 ALLENE AVE SW,301,Adair Park,V,33.72778,-84.41337,
AGG ASSAULT,171510029,05/31/2017,36  S PRADO NE,502,Ansley Park,E,33.79049,-84.37705,
AGG ASSAULT,171511002,05/31/2017,50 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67273,-84.39067,
BURGLARY-RESIDENCE,171512562,05/31/2017,112 COURTLAND ST NE,510,Downtown,M,33.75756,-84.38434,
BURGLARY-RESIDENCE,171512136,05/31/2017,309 GLENN ST SW,303,Mechanicsville,V,33.73832,-84.39766,
BURGLARY-NONRES,171512110,05/31/2017,388 ILLINOIS AVE NW,107,Grove Park,J,33.76584,-84.45209,
BURGLARY-NONRES,171511747,05/31/2017,600 VIRGINIA AVE NE,601,Virginia Highland,F,33.78151,-84.36713,
BURGLARY-RESIDENCE,171512362,05/31/2017,1835 HONEYSUCKLE LN SW,410,Campbellton Road,R,33.70635,-84.45354,
BURGLARY-RESIDENCE,171512186,05/31/2017,2240 PEACHTREE RD NW,205,,C,33.81559,-84.39129,
BURGLARY-RESIDENCE,171512188,05/31/2017,1273 PONTI MEWS NW,203,Blandtown,D,33.79245,-84.4286,
BURGLARY-RESIDENCE,171512511,05/31/2017,110 TURMAN AVE SE,305,Lakewood Heights,Y,33.70839,-84.38462,
BURGLARY-NONRES,171511346,05/31/2017,1305 OAKLAND DR SW @OAKLAND CITY PARK,403,Oakland City,S,33.71896,-84.42892,
BURGLARY-RESIDENCE,171510316,05/31/2017,2221 BERNARD RD NW,203,Riverside,D,33.81804,-84.4744,
LARCENY-NON VEHICLE,171511231,05/31/2017,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
LARCENY-NON VEHICLE,171511475,05/31/2017,689 BOULEVARD NE,603,Old Fourth Ward,M,33.77351,-84.37049,
LARCENY-NON VEHICLE,171512266,05/31/2017,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-NON VEHICLE,171512346,05/31/2017,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-FROM VEHICLE,171511944,05/31/2017,937 SIMS ST SW,302,Pittsburgh,V,33.72957,-84.40329,
LARCENY-FROM VEHICLE,171512736,05/31/2017,684 JOHN WESLEY DOBBS AVE NE ,604,Old Fourth Ward,M,33.7598,-84.36443,
LARCENY-FROM VEHICLE,171512601,05/31/2017,800 GLENWOOD AVE SE,605,Grant Park,W,33.74234,-84.36002,
LARCENY-FROM VEHICLE,171512523,05/31/2017,1968 PEACHTREE RD NW @PIEDMONT HOSPITAL,207,,E,33.80881,-84.3951,
LARCENY-FROM VEHICLE,171512417,05/31/2017,2331 BOLTON RD NW,203,Bolton,D,33.81909,-84.46179,
LARCENY-FROM VEHICLE,171512315,05/31/2017,239 GRANT ST SE,605,Oakland,W,33.74798,-84.37673,
LARCENY-FROM VEHICLE,171512845,05/31/2017,1176 CHATTAHOOCHEE AVE NW,203,Blandtown,D,33.80058,-84.42561,
LARCENY-FROM VEHICLE,171512158,05/31/2017,135 W WIEUCA RD NW @CHASTAIN CITY PARK,202,Chastain Park,A,33.87589,-84.39202,
LARCENY-FROM VEHICLE,171512150,05/31/2017,805 PEACHTREE ST NE,505,Midtown,E,33.77646,-84.38391,
LARCENY-FROM VEHICLE,171512787,05/31/2017,923 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.35715,
LARCENY-FROM VEHICLE,171512796,05/31/2017,650 PONCE DE LEON AVE NE ,506,Midtown,E,33.77469,-84.36561,
LARCENY-FROM VEHICLE,171511793,05/31/2017,3724 CRANFORD DR SW,412,Cascade Green,P,33.71493,-84.50577,
LARCENY-FROM VEHICLE,171511431,05/31/2017,1470 BOLTON RD NW,114,Atlanta Industrial Park,G,33.79583,-84.49216,
LARCENY-FROM VEHICLE,171511471,05/31/2017,318 GOLF VIEW RD NW ,205,Collier Hills North,C,33.8126,-84.39819,
