UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,173651193,12/31/2017,770 DECKNER AVE SW @PERKERSON PARK,301,Capitol View,X,33.71208,-84.41314,
ROBBERY-PEDESTRIAN,173650236,12/31/2017,351 CHEROKEE AVE SE,605,Grant Park,W,33.74505,-84.37373,
ROBBERY-PEDESTRIAN,173650208,12/31/2017,3604 BAKERS FERRY RD SW ,412,Adamsville,H,33.75894,-84.50586,
ROBBERY-PEDESTRIAN,173652324,12/31/2017,3777 AMBER RD NW,114,Carroll Heights,H,33.77593,-84.51213,
ROBBERY-RESIDENCE,173650573,12/31/2017,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,
AGG ASSAULT,173652362,12/31/2017,910 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.70836,-84.3598,
AGG ASSAULT,173652489,12/31/2017,35 NORTHSIDE DR SW,101,Atlanta University Center,T,33.75356,-84.40293,
AGG ASSAULT,173651265,12/31/2017,320 FAIRBURN RD SW,407,Fairburn Mays,H,33.7451,-84.50858,
AGG ASSAULT,173651874,12/31/2017,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
BURGLARY-RESIDENCE,173651103,12/31/2017,4127 BEECHWOOD DR NW,202,Mt. Paran/Northside,A,33.86758,-84.43212,
BURGLARY-RESIDENCE,173651239,12/31/2017,1635 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72522,-84.44144,
BURGLARY-RESIDENCE,173651154,12/31/2017,284 BARFIELD AVE SW,405,Florida Heights,I,33.74801,-84.46157,
BURGLARY-RESIDENCE,173652148,12/31/2017,3510 INGLEDALE DR SW,412,Heritage Valley,P,33.70486,-84.50133,
BURGLARY-RESIDENCE,173652440,12/31/2017,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507,
BURGLARY-RESIDENCE,173651474,12/31/2017,1572 HARDEE ST NE,609,Edgewood,O,33.75546,-84.33644,
BURGLARY-NONRES,173651348,12/31/2017,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425,
BURGLARY-NONRES,173651515,12/31/2017,1795 PEACHTREE ST NE,207,Brookwood Hills,E,33.8038,-84.39255,
BURGLARY-NONRES,173650568,12/31/2017,2640 METROPOLITAN PKWY SW,309,Perkerson,X,33.68243,-84.40766,
BURGLARY-RESIDENCE,173650389,12/31/2017,1053 LINAM ST SE,304,Peoplestown,V,33.72579,-84.38625,
LARCENY-NON VEHICLE,173650847,12/31/2017,1850 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70369,-84.40795,
LARCENY-NON VEHICLE,173650754,12/31/2017,1723 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70678,-84.38031,
LARCENY-NON VEHICLE,173650993,12/31/2017,3393 PEACHTREE RD NE ,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,173650815,12/31/2017,595 PIEDMONT AVE NE @PUBLIX - PIEDMONT,603,Old Fourth Ward,M,33.77067,-84.38023,
LARCENY-NON VEHICLE,173651192,12/31/2017,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,173651550,12/31/2017,492 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74085,-84.34586,
LARCENY-FROM VEHICLE,173651658,12/31/2017,2879 LAKEWOOD AVE SW,306,Sylvan Hills,X,33.69731,-84.41103,
LARCENY-FROM VEHICLE,173650938,12/31/2017,450 16TH ST NW,501,Home Park,E,33.78852,-84.40344,
LARCENY-FROM VEHICLE,173650943,12/31/2017,568 CHAPPELL RD NW,107,Grove Park,J,33.77075,-84.43407,
LARCENY-FROM VEHICLE,173650966,12/31/2017,387 LAWTON ST NW,104,West End,T,33.74447,-84.42354,
LARCENY-FROM VEHICLE,173651068,12/31/2017,390 STOVALL ST SE,606,Ormewood Park,W,33.7436,-84.35429,
