UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,150592901,02/28/2015,519 MAGNOLIA ST NW,102,Vine City,L,33.75812,-84.40453,
ROBBERY-PEDESTRIAN,150592093,02/28/2015,2980 DELMAR LN NW,111,,I,33.75509,-84.48491,
ROBBERY-PEDESTRIAN,150591611,02/28/2015,176 BROWNLEE RD SW,407,Adamsville,H,33.75179,-84.49988,
ROBBERY-COMMERCIAL,150590534,02/28/2015,3566 MARTIN L KING JR DR SW,407,Adamsville,H,33.75869,-84.50476,
ROBBERY-PEDESTRIAN,150592355,02/28/2015,65 ALABAMA ST SW @UNDERGROUND ATLANTA,511,Downtown,M,33.75247,-84.38983,
ROBBERY-PEDESTRIAN,150592853,02/28/2015,218 MARION PL NE,609,Edgewood,O,33.75968,-84.34527,
ROBBERY-PEDESTRIAN,150592020,02/28/2015,652 FOUNDRY ST NW,102,Vine City,L,33.75914,-84.40878,
AGG ASSAULT,150591846,02/28/2015,1988 BREWER BLVD SW ,306,Sylvan Hills,X,33.70015,-84.41164,
AGG ASSAULT,150592515,02/28/2015,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
AGG ASSAULT,150592078,02/28/2015,1370 GRAYMONT DR SW,403,Venetian Hills,S,33.71692,-84.43626,
AGG ASSAULT,150590328,02/28/2015,187 PEYTON PL SW,405,Harland Terrace,I,33.74992,-84.47565,
AGG ASSAULT,150590051,02/28/2015,80 JESSE HILL JR DR SE @GRADY HOSPITAL,510,Downtown,M,33.75168,-84.38198,
AGG ASSAULT,150590808,02/28/2015,1599 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72386,-84.44012,
BURGLARY-RESIDENCE,150591603,02/28/2015,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863,
BURGLARY-RESIDENCE,150591532,02/28/2015,2167 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75167,-84.46093,
BURGLARY-RESIDENCE,150591492,02/28/2015,1945 SYLVAN RD SW,306,Sylvan Hills,X,33.70164,-84.41859,
BURGLARY-RESIDENCE,150591484,02/28/2015,3270 AMHURST DR NW,112,Collier Heights,I,33.77346,-84.49459,
BURGLARY-RESIDENCE,150591531,02/28/2015,3378 GREENBRIAR PKWY SW,413,,P,33.68299,-84.50129,
BURGLARY-RESIDENCE,150591948,02/28/2015,1930 BROWNS MILL RD SE,307,Lakewood Heights,Y,33.70151,-84.37599,
BURGLARY-RESIDENCE,150591880,02/28/2015,3420 SOMERSET TRL SW,414,Huntington,P,33.66099,-84.52627,
BURGLARY-RESIDENCE,150591213,02/28/2015,723 WATERS DR SW,404,Westview,T,33.73502,-84.44406,
BURGLARY-RESIDENCE,150591389,02/28/2015,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,
BURGLARY-RESIDENCE,150592685,02/28/2015,1191 WINDSOR ST SW,302,Pittsburgh,V,33.72242,-84.3987,
BURGLARY-RESIDENCE,150592419,02/28/2015,2521 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82412,-84.36713,
BURGLARY-RESIDENCE,150592110,02/28/2015,515 FULTON ST SW,303,Mechanicsville,V,33.741,-84.40447,
BURGLARY-NONRES,150591446,02/28/2015,1067 MEMORIAL DR SE,606,Reynoldstown,N,33.74583,-84.35217,
BURGLARY-RESIDENCE,150591672,02/28/2015,122 LOGAN ST SE,605,Capitol Gateway,V,33.74473,-84.38354,
BURGLARY-RESIDENCE,150591930,02/28/2015,3270 AMHURST DRIVE NW,112,Collier Heights,I,33.77346,-84.49459,
BURGLARY-RESIDENCE,150591311,02/28/2015,3020 DELMAR LN NW,111,,I,33.75527,-84.48577,
BURGLARY-RESIDENCE,150591305,02/28/2015,1746 NORTH AVE NW,107,Grove Park,J,33.76816,-84.44494,
BURGLARY-RESIDENCE,150590230,02/28/2015,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507,
BURGLARY-RESIDENCE,150591005,02/28/2015,1001 SMITH ST SW,302,Pittsburgh,V,33.72742,-84.401,
LARCENY-NON VEHICLE,150591662,02/28/2015,2429 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75246,-84.46669,
LARCENY-NON VEHICLE,150592058,02/28/2015,1788 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.80415,-84.42757,
LARCENY-NON VEHICLE,150592228,02/28/2015,1275 CAROLINE ST NE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,150592199,02/28/2015,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
LARCENY-NON VEHICLE,150592542,02/28/2015,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,150591771,02/28/2015,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,150592608,02/28/2015,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,150591301,02/28/2015,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,150591012,02/28/2015,2690 METROPOLITAN PKWY SW,309,Perkerson,X,33.68169,-84.40737,
LARCENY-FROM VEHICLE,150593093,02/28/2015,342 PEACHTREE ST NE,508,Downtown,M,33.76384,-84.38658,
LARCENY-FROM VEHICLE,150592925,02/28/2015,1544 PIEDMONT AVE NE @ANSLEY MALL,213,Piedmont Heights,F,33.79789,-84.37101,
LARCENY-FROM VEHICLE,150592856,02/28/2015,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77363,-84.40468,
LARCENY-FROM VEHICLE,150592664,02/28/2015,1990 WELLBOURNE DR NE,213,Morningside/Lenox Park,F,33.80884,-84.36023,
LARCENY-FROM VEHICLE,150592618,02/28/2015,2020 PEACHTREE RD NW,207,,E,33.80991,-84.39361,
LARCENY-FROM VEHICLE,150592435,02/28/2015,1959 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7008,-84.41018,
LARCENY-FROM VEHICLE,150591351,02/28/2015,2900 LANDRUM DR SW,409,Southwest,R,33.70495,-84.48299,
LARCENY-FROM VEHICLE,150591799,02/28/2015,360 MARIETTA ST NW,507,Downtown,M,33.76269,-84.39702,
LARCENY-FROM VEHICLE,150591775,02/28/2015,1097 HARWELL RD NW @BLUE FLAME,112,Collier Heights,I,33.7852,-84.4911,
LARCENY-FROM VEHICLE,150591699,02/28/2015,400 17TH ST NW,501,Atlantic Station,E,33.78959,-84.40165,
LARCENY-FROM VEHICLE,150591645,02/28/2015,1551 METROPOLITAN PKWY SW,301,Capitol View,X,33.71274,-84.40824,
LARCENY-FROM VEHICLE,150591560,02/28/2015,1065 PEACHTREE ST NE,503,Midtown,E,33.78363,-84.38295,
LARCENY-FROM VEHICLE,150591533,02/28/2015,1222 MECASLIN ST NW,501,Home Park,E,33.78794,-84.39991,
LARCENY-FROM VEHICLE,150591508,02/28/2015,3443 KINGSBORO RD NE,210,Buckhead Heights,B,33.84984,-84.35795,
LARCENY-FROM VEHICLE,150591473,02/28/2015,433 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76128,-84.37323,
LARCENY-FROM VEHICLE,150591454,02/28/2015,390 17TH ST NW,501,Atlantic Station,E,33.7902,-84.4003,
LARCENY-FROM VEHICLE,150591404,02/28/2015,1400 GARMON FERRY RD NW,202,Mt. Paran/Northside,A,33.87047,-84.42723,
LARCENY-FROM VEHICLE,150590032,02/28/2015,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,
LARCENY-FROM VEHICLE,150591376,02/28/2015,456 HAROLD AVE NE,608,Lake Claire,N,33.76665,-84.33093,
LARCENY-FROM VEHICLE,150590383,02/28/2015,153 ELEANOR ST SE,610,Kirkwood,O,33.74878,-84.32447,
LARCENY-FROM VEHICLE,150590922,02/28/2015,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.7778,-84.40865,
LARCENY-FROM VEHICLE,150590938,02/28/2015,1230 PLAZA AVE SW,402,Bush Mountain,S,33.72795,-84.4281,
LARCENY-FROM VEHICLE,150590962,02/28/2015,759 POLLARD BLVD SW ,304,Summerhill,V,33.73405,-84.39127,
LARCENY-FROM VEHICLE,150591945,02/28/2015,3660 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.65486,-84.50787,
LARCENY-FROM VEHICLE,150592894,02/28/2015,146 PEACHTREE CENTER AVE NE,510,Downtown,M,33.7586,-84.38618,
LARCENY-FROM VEHICLE,150591544,02/28/2015,3218 ARDEN RD NW,205,Argonne Forest,C,33.84299,-84.39799,
LARCENY-FROM VEHICLE,150591343,02/28/2015,2327 PEACHTREE RD NE,211,Peachtree Hills,B,33.81842,-84.3887,
LARCENY-NON VEHICLE,150591369,02/28/2015,1120 RALPH D ABERNATHY BLVD SW,402,West End,T,33.73801,-84.42451,
LARCENY-NON VEHICLE,150590889,02/28/2015,427 EDGEWOOD AVE SE,604,Sweet Auburn,M,33.75413,-84.37361,
LARCENY-NON VEHICLE,150593018,02/28/2015,1660 JOHNSON RD NW,106,Rockdale,G,33.78533,-84.43909,
LARCENY-NON VEHICLE,150592900,02/28/2015,3566 PIEDMONT RD NE,208,Buckhead Forest,B,33.85134,-84.37963,
LARCENY-NON VEHICLE,150591666,02/28/2015,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,150591918,02/28/2015,3182 ROSWELL RD NW,206,South Tuxedo Park,B,33.84215,-84.37968,
AUTO THEFT,150591407,02/28/2015,1998 FAIRBURN RD SW,412,Briar Glen,P,33.69997,-84.50632,
AUTO THEFT,150590275,02/28/2015,670 MCDANIEL ST SW,303,Mechanicsville,V,33.73657,-84.40153,
AUTO THEFT,150590738,02/28/2015,1303 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74369,-84.31476,
AUTO THEFT,150590819,02/28/2015,3733 PEACHTREE RD NE,210,Ridgedale Park,B,33.85586,-84.35057,
AUTO THEFT,150590957,02/28/2015,445 CLEVELAND AVENUE SE,312,Rosedale Heights,Z,33.68149,-84.37152,
AUTO THEFT,150591625,02/28/2015,3660 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.65486,-84.50787,
AUTO THEFT,150591357,02/28/2015,815 LYNHURST DR SW @WEST MANOR BAPTIST,406,West Manor,I,33.73375,-84.48896,
AUTO THEFT,150592148,02/28/2015,630 CENTER HILL AVE NW,109,Center Hill,J,33.77226,-84.46451,
AUTO THEFT,150592389,02/28/2015,3526 HIGHWOOD DR SW,412,Briar Glen,P,33.69565,-84.50411,
AUTO THEFT,150592882,02/28/2015,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859,
AUTO THEFT,150592566,02/28/2015,48 NORTHSIDE DR NW,102,Vine City,L,33.75584,-84.4029,
AUTO THEFT,150580585,02/27/2015,641 JONES AVE NW,103,English Avenue,L,33.76434,-84.40839,
AUTO THEFT,150581432,02/27/2015,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042,
AUTO THEFT,150581580,02/27/2015,55 MAPLE ST NW,102,Vine City,L,33.75569,-84.40528,
AUTO THEFT,150583257,02/27/2015,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
AUTO THEFT,150582356,02/27/2015,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773,
AUTO THEFT,150582674,02/27/2015,130 W PEACHTREE ST,508,Downtown,M,33.76465,-84.39115,
AUTO THEFT,150582685,02/27/2015,1839 KIMBERLY RD SW,412,Ben Hill Terrace,P,33.70427,-84.52215,
