UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,153042748,10/31/2015,411 FLAT SHOALS AVE SE,606,East Atlanta,W,33.74253,-84.34852,
ROBBERY-PEDESTRIAN,153041625,10/31/2015,1754 HADLOCK ST SW,408,,R,33.70758,-84.44621,
ROBBERY-PEDESTRIAN,153042206,10/31/2015,126 JAMES P BRAWLEY DR NW,102,Vine City,L,33.75787,-84.41281,
ROBBERY-PEDESTRIAN,153040125,10/31/2015,426 TODD ST SE,604,Sweet Auburn,M,33.75183,-84.37294,
ROBBERY-COMMERCIAL,153040720,10/31/2015,2866 METROPOLITAN PKWY SW,311,Hammond Park,X,33.67677,-84.40829,
ROBBERY-PEDESTRIAN,153041959,10/31/2015,444 WINDSOR ST ,303,Mechanicsville,V,33.74275,-84.39808,
ROBBERY-PEDESTRIAN,153041365,10/31/2015,746 BECKWITH ST SW,101,Atlanta University Center,T,33.75204,-84.41209,
ROBBERY-COMMERCIAL,153040298,10/31/2015,3802 ROSWELL RD NE,209,East Chastain Park,B,33.85865,-84.38102,
ROBBERY-PEDESTRIAN,153040605,10/31/2015,1531 CAMPBELLTON RD NW,408,Venetian Hills,S,33.71334,-84.4387,
ROBBERY-COMMERCIAL,153041564,10/31/2015,231 18TH ST NW,501,Atlantic Station,E,33.79275,-84.39544,
AGG ASSAULT,153042791,10/31/2015,61 NORTH AVE NW ,505,Midtown,E,33.77138,-84.38943,
AGG ASSAULT,153040634,10/31/2015,1575 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.7118,-84.35004,
AGG ASSAULT,153040559,10/31/2015,620 PARKWAY DR NE,603,Old Fourth Ward,M,33.7714,-84.37313,
AGG ASSAULT,153042364,10/31/2015,1177 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.7636,-84.42619,
AGG ASSAULT,153041717,10/31/2015,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184,
AGG ASSAULT,153042849,10/31/2015,1267 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76398,-84.42895,
AGG ASSAULT,153040574,10/31/2015,196 WADLEY,108,Dixie Hills,J,33.7574,-84.45771,
BURGLARY-RESIDENCE,153043042,10/31/2015,479 WILLARD AVE SW,404,Westview,T,33.74202,-84.4369,
BURGLARY-RESIDENCE,153042734,10/31/2015,1770 MADRONA ST NW,107,Grove Park,J,33.77035,-84.44469,
BURGLARY-RESIDENCE,153042745,10/31/2015,1073 HOLLYWOOD RD NW,110,Almond Park,G,33.78421,-84.46026,
BURGLARY-RESIDENCE,153042673,10/31/2015,1614 PONTIAC PL SE,607,Custer/McDonough/Guice,W,33.71055,-84.35677,
BURGLARY-RESIDENCE,153041605,10/31/2015,149 WALTHALL ST SE,606,Reynoldstown,N,33.74968,-84.35187,
BURGLARY-RESIDENCE,153042361,10/31/2015,1871 PLAZA LN SW,410,Campbellton Road,R,33.70518,-84.45336,
BURGLARY-NONRES,153042935,10/31/2015,3722 ROSWELL RD NE,209,East Chastain Park,B,33.85684,-84.38236,
BURGLARY-NONRES,153042165,10/31/2015,890 CHATTAHOOCHEE AVE NW,203,Berkeley Park,D,33.79902,-84.41695,
BURGLARY-NONRES,153040817,10/31/2015,1455 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.79579,-84.42575,
BURGLARY-RESIDENCE,153042533,10/31/2015,2229 BURROUGHS AVE SE,310,Lakewood,Z,33.6933,-84.37148,
BURGLARY-RESIDENCE,153041973,10/31/2015,960 N HIGHLAND AVE NE,601,Virginia Highland,F,33.78082,-84.35403,
BURGLARY-RESIDENCE,153041465,10/31/2015,955 PALMETTO AVE SW,104,Ashview Heights,T,33.75196,-84.41885,
BURGLARY-RESIDENCE,153040941,10/31/2015,436 MACEDONIA RD SE,312,Orchard Knob,Z,33.66378,-84.37514,
LARCENY-NON VEHICLE,153041931,10/31/2015,3330 PIEDMONT RD NE @Multiple,208,Buckhead Forest,B,33.84564,-84.37462,
LARCENY-NON VEHICLE,153042487,10/31/2015,3393 PEACHTREE ROAD ,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,153041797,10/31/2015,2841 GREENBRIAR PKWY SW @Multiple,411,Greenbriar,R,33.68677,-84.49773,
LARCENY-NON VEHICLE,153041533,10/31/2015,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
