UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,151802811,06/30/2015,1983 ML KING JR DIRVE,108,,I,33.75014,-84.45241,
ROBBERY-PEDESTRIAN,151812385,06/30/2015,140 SHORT ST SE,606,Cabbagetown,N,33.75074,-84.36414,
ROBBERY-PEDESTRIAN,151810231,06/30/2015,2189 MARTIN LUTHER KING JR DR NW,108,Florida Heights,I,33.75264,-84.46356,
ROBBERY-COMMERCIAL,151811285,06/30/2015,196 MEMORIAL DRIVE,605,Capitol Gateway,V,33.74703,-84.38116,
ROBBERY-COMMERCIAL,151810915,06/30/2015,3761 CAMPBELLTON ROAD,412,Kings Forest,P,33.69087,-84.51166,
ROBBERY-COMMERCIAL,151811619,06/30/2015,1001 PONCE DE LEON AVE NE @PUBLIX - PONCE,602,Poncey-Highland,N,33.7734,-84.35467,
AGG ASSAULT,151810079,06/30/2015,1419 METROPOLITAN PKWY SW,301,Capitol View,X,33.71584,-84.40799,
AGG ASSAULT,151810635,06/30/2015,195 FAIRBURN ROAD NW ,111,Florida Heights,I,33.75183,-84.46623,
AGG ASSAULT,151810009,06/30/2015,3483 JONESBORO RD ,313,South River Gardens,Z,33.65199,-84.36701,
AGG ASSAULT,151753025,06/30/2015,770 DECKER AVE,301,Capitol View,X,33.71208,-84.41314,
AGG ASSAULT,151811277,06/30/2015,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059,
AGG ASSAULT,151812592,06/30/2015,518 ERIN AVE SW,301,Capitol View Manor,X,33.71949,-84.40461,
BURGLARY-RESIDENCE,151812731,06/30/2015,349 DECATUR ST SE,604,Sweet Auburn,M,33.74988,-84.37788,
BURGLARY-RESIDENCE,151812312,06/30/2015,1188 AVON AVE SW,403,Oakland City,S,33.72197,-84.42688,
BURGLARY-RESIDENCE,151812103,06/30/2015,349 DECATUR ST SE,604,Sweet Auburn,M,33.74993,-84.37706,
BURGLARY-RESIDENCE,151812878,06/30/2015,3212 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.76619,-84.37842,
BURGLARY-RESIDENCE,151810325,06/30/2015,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292,
BURGLARY-RESIDENCE,151810919,06/30/2015,2025 PEACHTREE RD NE,207,,E,33.80958,-84.39294,
BURGLARY-NONRES,151810532,06/30/2015,888 3RD ST NW,504,Marietta Street Artery,E,33.77918,-84.40915,
BURGLARY-NONRES,151812107,06/30/2015,512 PARK AVE SE,605,Grant Park,W,33.7405,-84.36935,
BURGLARY-RESIDENCE,151812876,06/30/2015,1207 LAVISTA CIR NE,212,Lindridge/Martin Manor,F,33.81687,-84.34945,
BURGLARY-RESIDENCE,151812612,06/30/2015,1500 AVON AVE SW,403,Venetian Hills,S,33.7222,-84.43713,
BURGLARY-RESIDENCE,151811110,06/30/2015,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
BURGLARY-RESIDENCE,151812480,06/30/2015,150 HUTCHINSON ST NE,609,Edgewood,O,33.75801,-84.34079,
BURGLARY-RESIDENCE,151811491,06/30/2015,615 KENNOLIA DR SW,404,Westwood Terrace,I,33.73852,-84.44927,
LARCENY-NON VEHICLE,151811799,06/30/2015,350 MORELAND AVE NE,602,Inman Park,N,33.76377,-84.3497,
LARCENY-NON VEHICLE,151811946,06/30/2015,1801 HOWELL MILL RD,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,151811998,06/30/2015,1371 MARKET ST NW,501,Atlantic Station,E,33.7921,-84.39466,
LARCENY-NON VEHICLE,151810646,06/30/2015,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,151811813,06/30/2015,231 18TH ST SW,501,Atlantic Station,E,33.79275,-84.39544,
LARCENY-NON VEHICLE,151810352,06/30/2015,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149,
LARCENY-NON VEHICLE,151742893,06/30/2015,3030 HEADLAND DR SW,411,Greenbriar,R,33.68947,-84.48798,
LARCENY-FROM VEHICLE,151810202,06/30/2015,3167 PEACHTREE RD NE,206,Buckhead Village,B,33.84031,-84.37588,
LARCENY-FROM VEHICLE,151810133,06/30/2015,794 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77614,-84.35269,
LARCENY-FROM VEHICLE,151812539,06/30/2015,135 W WIEUCA RD NW,202,Chastain Park,A,33.87589,-84.39202,
LARCENY-FROM VEHICLE,151810112,06/30/2015,420 14TH ST NW,501,Home Park,E,33.78593,-84.40086,
LARCENY-FROM VEHICLE,151810084,06/30/2015,676 NORTH HIGHLAND AVE NE,602,Poncey-Highland,N,33.77294,-84.35263,
LARCENY-FROM VEHICLE,151810492,06/30/2015,180 JACKSON ST NE @ATLANTA OVERLOOK AP,604,Sweet Auburn,M,33.75929,-84.37628,
LARCENY-FROM VEHICLE,151812289,06/30/2015,420 BOULEVARD NE,603,Old Fourth Ward,M,33.76586,-84.37233,
LARCENY-FROM VEHICLE,151810438,06/30/2015,369 S BEND AVE SE,307,Lakewood Heights,Y,33.70482,-84.37647,
LARCENY-FROM VEHICLE,151810332,06/30/2015,349 DECATUR ST SE,604,Sweet Auburn,M,33.74988,-84.37788,
LARCENY-FROM VEHICLE,151812540,06/30/2015,68 HAMILTON E HOLMES DR NW,111,Harland Terrace,I,33.75462,-84.46785,
LARCENY-FROM VEHICLE,151812277,06/30/2015,970 SPRING ST NW,503,Midtown,E,33.78123,-84.38946,
LARCENY-FROM VEHICLE,151812884,06/30/2015,300 HIGHLAND AVE NE,604,Inman Park,N,33.76284,-84.35859,
LARCENY-FROM VEHICLE,151812906,06/30/2015,300 MARTIN L KING JR DR SE,605,Oakland,W,33.74749,-84.37762,
LARCENY-FROM VEHICLE,151812924,06/30/2015,619 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75412,-84.36717,
LARCENY-FROM VEHICLE,151811470,06/30/2015,1718 PEACHTREE ST NW,207,Brookwood,E,33.80107,-84.39285,
LARCENY-FROM VEHICLE,151812838,06/30/2015,748 FRASER ST SE,304,Summerhill,V,33.73316,-84.38792,
LARCENY-FROM VEHICLE,151812831,06/30/2015,503 AMSTERDAM AVE NE,601,Virginia Highland,F,33.78813,-84.36969,
LARCENY-FROM VEHICLE,151811597,06/30/2015,3170 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78577,-84.49055,
LARCENY-FROM VEHICLE,151811670,06/30/2015,1530 DEKALB AVE,608,Candler Park,N,33.76282,-84.33768,
LARCENY-FROM VEHICLE,151811631,06/30/2015,929 CHARLES ALLEN DR NE,506,Midtown,E,33.78119,-84.37151,
LARCENY-FROM VEHICLE,151812679,06/30/2015,2399 PARKLAND DR,211,Lindbergh/Morosgo,B,33.8201,-84.36481,
LARCENY-FROM VEHICLE,151812274,06/30/2015,850 OAK ST SW @WEST END MALL,401,West End,T,33.74053,-84.41671,
LARCENY-FROM VEHICLE,151811048,06/30/2015,3128 ESPLANADE CIR SW,409,Southwest,R,33.70498,-84.49318,
LARCENY-FROM VEHICLE,151811091,06/30/2015,1301 EASTRIDGE RD SW,408,Venetian Hills,S,33.71983,-84.44527,
LARCENY-FROM VEHICLE,151812210,06/30/2015,402 JOHN WESLEY DOBBS AVE NE,604,Sweet Auburn,M,33.75896,-84.37401,
LARCENY-FROM VEHICLE,151810765,06/30/2015,441 WIMBLEDON RD NE,212,Piedmont Heights,F,33.80652,-84.37289,
LARCENY-FROM VEHICLE,151810631,06/30/2015,419 CHAMBERLAIN ST SE,604,Sweet Auburn,M,33.75369,-84.37375,
LARCENY-FROM VEHICLE,151811179,06/30/2015,3715 ADAMSVILLE DR SW,407,Adamsville,H,33.76207,-84.50918,
LARCENY-FROM VEHICLE,151811423,06/30/2015,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,
LARCENY-FROM VEHICLE,151812954,06/30/2015,419 CHAMBERLAIN ST SE,604,Sweet Auburn,M,33.7538,-84.37438,
LARCENY-FROM VEHICLE,151811207,06/30/2015,701 PENN AVE NE,505,Midtown,E,33.77363,-84.37882,
LARCENY-FROM VEHICLE,151811172,06/30/2015,381 VENABLE ST NW,504,Downtown,M,33.76519,-84.39502,
LARCENY-FROM VEHICLE,151818030,06/30/2015,6023 S TERMINAL BYWY,704,,,33.6397,-84.44398,
LARCENY-NON VEHICLE,151811010,06/30/2015,625 PIEDMONT AVE NE,502,Midtown,E,33.77153,-84.38144,
LARCENY-NON VEHICLE,151812588,06/30/2015,1311 EPWORTH ST SW,403,Venetian Hills,S,33.71924,-84.43109,
LARCENY-NON VEHICLE,151811761,06/30/2015,1016 HOWELL MILL RD NW,501,Home Park,E,33.78257,-84.41167,
LARCENY-NON VEHICLE,151810756,06/30/2015,255 COURTLAND ST NE @HILTON HOTEL,509,Downtown,M,33.76157,-84.38314,
LARCENY-NON VEHICLE,151810753,06/30/2015,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67291,-84.39153,
LARCENY-NON VEHICLE,151810191,06/30/2015,920 IRA ST SW,302,Pittsburgh,V,33.72969,-84.39978,
LARCENY-NON VEHICLE,151811993,06/30/2015,450 STONEWALL ST SW,507,Castleberry Hill,M,33.74954,-84.40249,
LARCENY-NON VEHICLE,151811574,06/30/2015,1030 CREW ST SW,304,Peoplestown,V,33.72677,-84.38918,
LARCENY-NON VEHICLE,151811680,06/30/2015,1050 TECHWOOD DR NW,501,Home Park,E,33.78344,-84.39246,
