UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,172121458,07/31/2017,208 WILLIS MILL RD SW,405,Florida Heights,I,33.74882,-84.46645,
ROBBERY-PEDESTRIAN,172120095,07/31/2017,270 9TH ST NE,503,Midtown,E,33.7808,-84.37849,
ROBBERY-PEDESTRIAN,172120635,07/31/2017,130 CHAPPELL RD NW,105,Hunter Hills,K,33.75825,-84.43361,
ROBBERY-PEDESTRIAN,172120980,07/31/2017,514 E ONTARIO AVE SW,404,Westview,T,33.74116,-84.4379,
ROBBERY-PEDESTRIAN,172120993,07/31/2017,1775 WESTWOOD AVE SW,404,Westview,T,33.7389,-84.44578,
ROBBERY-COMMERCIAL,172120823,07/31/2017,711 LEE ST SW,401,West End,T,33.73528,-84.41421,
AGG ASSAULT,172120341,07/31/2017,1033 ASHBY GRV SW,104,Ashview Heights,T,33.75006,-84.42174,
AGG ASSAULT,172120137,07/31/2017,179 TROY ST NW,105,Hunter Hills,K,33.76091,-84.4254,
AGG ASSAULT,172121310,07/31/2017,1177 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.7636,-84.42627,
AGG ASSAULT,172122192,07/31/2017,600 MARTIN ST SE,304,Summerhill,V,33.73831,-84.38396,
AGG ASSAULT,172120157,07/31/2017,2950 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75384,-84.48423,
BURGLARY-RESIDENCE,172121177,07/31/2017,691 14TH ST NW,501,Home Park,E,33.78603,-84.40967,
BURGLARY-RESIDENCE,172121073,07/31/2017,1747 AVON AVE SW,403,Cascade Avenue/Road,S,33.72276,-84.44494,
BURGLARY-NONRES,172120169,07/31/2017,968 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.77308,-84.4192,
LARCENY-NON VEHICLE,172120107,07/31/2017,2075 ALISON CT,410,Campbellton Road,R,33.70105,-84.45656,
LARCENY-NON VEHICLE,172121703,07/31/2017,720 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77276,-84.41089,
LARCENY-NON VEHICLE,172121354,07/31/2017,2561 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82561,-84.36464,
LARCENY-NON VEHICLE,172122290,07/31/2017,2075 ALISON CT SW,410,Campbellton Road,R,33.70105,-84.45656,
LARCENY-NON VEHICLE,172121793,07/31/2017,25 PEACHTREE ST SW,511,Downtown,M,33.75366,-84.39047,
LARCENY-NON VEHICLE,172120369,07/31/2017,840 MCDONOUGH BLVD SE,607,Custer/McDonough/Guice,W,33.70874,-84.35887,
LARCENY-NON VEHICLE,172121424,07/31/2017,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,172121414,07/31/2017,850 OAK ST SW @WEST END MALL,401,West End,T,33.74057,-84.4168,
LARCENY-NON VEHICLE,172121408,07/31/2017,2561 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82561,-84.36464,
LARCENY-NON VEHICLE,172121530,07/31/2017,2345 PEACHTREE RD NE,211,Peachtree Hills,B,33.81878,-84.38861,
LARCENY-FROM VEHICLE,172122140,07/31/2017,782 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36179,
LARCENY-FROM VEHICLE,172121532,07/31/2017,2852 CASCADE RD SW @CASCADE SPRINGS NATU,409,Cascade Heights,I,33.71785,-84.47959,
LARCENY-FROM VEHICLE,172121545,07/31/2017,2144 HILLS AVE NW,204,Underwood Hills,D,33.81395,-84.43107,
LARCENY-FROM VEHICLE,172121621,07/31/2017,848 OGLETHORPE AVE SW,401,West End,T,33.73545,-84.41562,
LARCENY-FROM VEHICLE,172121525,07/31/2017,76 TED TURNER DR NW,508,Downtown,M,33.75718,-84.39254,
LARCENY-FROM VEHICLE,172121709,07/31/2017,800 W MARIETTA ST NW,103,English Avenue,L,33.78022,-84.41514,
LARCENY-FROM VEHICLE,172121901,07/31/2017,3183 PEACHTREE RD NE,206,Buckhead Village,B,33.84063,-84.37497,
LARCENY-FROM VEHICLE,172122467,07/31/2017,941 VIRGINIA AVE NE,601,Virginia Highland,F,33.78193,-84.35655,
LARCENY-FROM VEHICLE,172122342,07/31/2017,842 N HIGHLAND AVE NE,601,Virginia Highland,F,33.7775,-84.3529,
LARCENY-FROM VEHICLE,172121252,07/31/2017,1740 DEFOOR PL NW,204,Underwood Hills,D,33.80272,-84.42158,
LARCENY-FROM VEHICLE,172121246,07/31/2017,226 COURTLAND AVE,509,Downtown,M,33.76051,-84.38429,
LARCENY-FROM VEHICLE,172121230,07/31/2017,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507,
