UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,151510252,05/31/2015,2285 METROPOLITAN PARKWAY,309,Perkerson,X,33.69195,-84.4086,
ROBBERY-PEDESTRIAN,151510798,05/31/2015,3991 WILDWOOD LAKE DR SW,407,Wildwood (NPU-H),H,33.74384,-84.5185,
ROBBERY-PEDESTRIAN,151512044,05/31/2015,424 NEW JERSEY AVENUE NW,108,Grove Park,J,33.76677,-84.4563,
ROBBERY-PEDESTRIAN,151512083,05/31/2015,960 CONFEDERATE CT SE,607,Ormewood Park,W,33.72946,-84.36137,
ROBBERY-PEDESTRIAN,151512440,05/31/2015,301 LAKESIDE VILLAGE DRIVE,611,The Villages at East Lake,O,33.74469,-84.31678,
ROBBERY-PEDESTRIAN,151510383,05/31/2015,477 PEACHTREE ST NE ,509,Downtown,M,33.76744,-84.38538,
ROBBERY-PEDESTRIAN,151512115,05/31/2015,283 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.76241,-84.41723,
ROBBERY-PEDESTRIAN,151510661,05/31/2015,1182 NORTHWEST DR NW,113,Brookview Heights,G,33.78754,-84.47681,
AGG ASSAULT,151512020,05/31/2015,3393 PEACHTREE RD,210,Lenox,B,33.84892,-84.36426,
AGG ASSAULT,151511011,05/31/2015,392 ELM ST NW,103,English Avenue,L,33.7653,-84.40914,
AGG ASSAULT,151510765,05/31/2015,134 JOSEPH E LOWERY BLVD SW,101,Atlanta University Center,T,33.75109,-84.41731,
AGG ASSAULT,151511159,05/31/2015,450 PIEDMONT AVE NE,509,Downtown,M,33.76657,-84.38214,
AGG ASSAULT,151512445,05/31/2015,595 PIEDMONT AVE ,603,Old Fourth Ward,M,33.77067,-84.38023,
AGG ASSAULT,151512082,05/31/2015,1273 LYNWAY LN SW,406,Cascade Heights,I,33.7208,-84.48674,
BURGLARY-RESIDENCE,151512395,05/31/2015,1101 N SHORE DR SW,406,Audobon Forest West,I,33.72591,-84.48392,
BURGLARY-RESIDENCE,151512023,05/31/2015,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805,
BURGLARY-RESIDENCE,151511952,05/31/2015,170 BOULEVARD SE,606,Grant Park,N,33.74865,-84.36887,
BURGLARY-RESIDENCE,151511586,05/31/2015,3296 FAIRBURN RD SW,414,Ben Hill,P,33.6645,-84.51961,
BURGLARY-RESIDENCE,151511026,05/31/2015,1807 CHARLESTON AVE SE,307,Lakewood Heights,Y,33.70475,-84.37584,
BURGLARY-RESIDENCE,151511181,05/31/2015,1395 WICHITA DR SW,408,Venetian Hills,S,33.71716,-84.44238,
BURGLARY-RESIDENCE,151510193,05/31/2015,1498 AKRIDGE ST NW,105,Hunter Hills,K,33.75816,-84.43701,
BURGLARY-RESIDENCE,151510833,05/31/2015,1695 CECILE AVE SE,612,East Atlanta,W,33.73379,-84.33223,
BURGLARY-RESIDENCE,151512478,05/31/2015,1125 NEW BRITAIN DR SW,412,Midwest Cascade,Q,33.72757,-84.54475,
BURGLARY-NONRES,151510401,05/31/2015,1047 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73849,-84.42215,
BURGLARY-NONRES,151510158,05/31/2015,2151 CAMPBELLTON RD SW,409,Adams Park,R,33.70602,-84.45942,
BURGLARY-RESIDENCE,151511391,05/31/2015,2059 HONEYSUCKLE LN SW,409,Adams Park,R,33.71191,-84.45588,
BURGLARY-RESIDENCE,151510434,05/31/2015,1851 LAKE COVE DR SW,412,Niskey Cove,P,33.71007,-84.52543,
BURGLARY-RESIDENCE,151511336,05/31/2015,1305 BENTEEN PARK DR SE,607,Benteen Park,W,33.71671,-84.36185,
LARCENY-NON VEHICLE,151511371,05/31/2015,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276,
LARCENY-NON VEHICLE,151511816,05/31/2015,2539 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-FROM VEHICLE,151510179,05/31/2015,398 14TH ST NW,501,Home Park,E,33.78589,-84.40047,
LARCENY-FROM VEHICLE,151510211,05/31/2015,3360 DALE LN SW,409,Southwest,R,33.69383,-84.49895,
LARCENY-FROM VEHICLE,151510399,05/31/2015,3050 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75177,-84.4857,
LARCENY-FROM VEHICLE,151510178,05/31/2015,2 BAKER ST NE ,508,Downtown,M,33.76226,-84.38755,
LARCENY-FROM VEHICLE,151512502,05/31/2015,860 PEACHTREE ST NE,505,Midtown,E,33.77831,-84.38533,
LARCENY-FROM VEHICLE,151511684,05/31/2015,112 DOGWOOD DR NW,112,Collier Heights,I,33.78147,-84.4949,
LARCENY-FROM VEHICLE,151510414,05/31/2015,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
LARCENY-FROM VEHICLE,151512102,05/31/2015,909 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77347,-84.35767,
LARCENY-FROM VEHICLE,151511395,05/31/2015,300 N HIGHLAND AVE NE,602,Inman Park,N,33.76284,-84.35859,
LARCENY-FROM VEHICLE,151512236,05/31/2015,840 MARIETTA ST NW,504,Marietta Street Artery,E,33.77522,-84.40691,
LARCENY-FROM VEHICLE,151512070,05/31/2015,3411 HAZELWOOD DR SW,406,Green Acres Valley,I,33.72796,-84.49997,
LARCENY-FROM VEHICLE,151512080,05/31/2015,656 SEMINOLE AVE NE,602,Poncey-Highland,N,33.77232,-84.35105,
LARCENY-FROM VEHICLE,151512281,05/31/2015,1776 CHESHIRE BRIDGE RD,212,Morningside/Lenox Park,F,33.80875,-84.36471,
LARCENY-FROM VEHICLE,151512284,05/31/2015,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974,
LARCENY-FROM VEHICLE,151512424,05/31/2015,239 PONCE DE LEON AVE NE ,505,Midtown,E,33.7725,-84.37952,
LARCENY-FROM VEHICLE,151512302,05/31/2015,1991 HOWELL MILL RD NW ,205,Channing Valley,C,33.80902,-84.41277,
LARCENY-FROM VEHICLE,151512392,05/31/2015,698 8TH ST NW,504,Marietta Street Artery,E,33.77957,-84.4105,
LARCENY-FROM VEHICLE,151510640,05/31/2015,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678,
LARCENY-FROM VEHICLE,151510966,05/31/2015,616 LOFTY LN SW,407,Mays,H,33.74285,-84.50345,
LARCENY-FROM VEHICLE,151511516,05/31/2015,55  MARIETTA ST NW,511,Downtown,M,33.75589,-84.39106,
LARCENY-FROM VEHICLE,151511049,05/31/2015,827 LAKE AVE NE,602,Inman Park,N,33.75913,-84.3604,
LARCENY-FROM VEHICLE,151511474,05/31/2015,855 WEST PEACHTREE ST NW,505,Downtown,M,33.7571,-84.38223,
LARCENY-FROM VEHICLE,151511173,05/31/2015,1008 BRADY AVE NW,501,Home Park,E,33.78251,-84.41436,
LARCENY-FROM VEHICLE,151511200,05/31/2015,1082 LUCILE AVE SW @WEST END PARK,401,West End,T,33.74213,-84.42329,
LARCENY-FROM VEHICLE,151511311,05/31/2015,563 MEMORIAL DR SE,605,Grant Park,W,33.74662,-84.36913,
LARCENY-FROM VEHICLE,151511364,05/31/2015,23 LARKIN PL SW,507,Castleberry Hill,M,33.74749,-84.40414,
LARCENY-FROM VEHICLE,151511376,05/31/2015,15 PEACHTREE ST NE,505,Midtown,E,33.77138,-84.38487,
LARCENY-FROM VEHICLE,151510834,05/31/2015,959 MARTIN ST SE,304,Peoplestown,V,33.72831,-84.38346,
LARCENY-FROM VEHICLE,151510913,05/31/2015,195 ARIZONA AVE NE,609,Edgewood,O,33.75902,-84.3312,
LARCENY-FROM VEHICLE,151512363,05/31/2015,1505 CHATTAHOOCHEE AVE NW,204,Bolton,D,33.8119,-84.43766,
LARCENY-FROM VEHICLE,151510926,05/31/2015,1258 HILL ST SE,305,Chosewood Park,Y,33.72023,-84.37847,
LARCENY-FROM VEHICLE,151512074,05/31/2015,1710 DEFOOR AVE,204,Underwood Hills,D,33.80164,-84.41968,
LARCENY-FROM VEHICLE,151511368,05/31/2015,192 RHODESIA AVE SE,307,Lakewood Heights,Y,33.70754,-84.38186,
LARCENY-FROM VEHICLE,151510870,05/31/2015,1296 MURPHY AVE SW,301,Capitol View,X,33.71984,-84.42301,
LARCENY-FROM VEHICLE,151510202,05/31/2015,360 MARIETTA ST NW,507,Downtown,M,33.76269,-84.39702,
LARCENY-NON VEHICLE,151501597,05/31/2015,1080 PEACHTREE ST NE,503,Midtown,E,33.78409,-84.38353,
LARCENY-NON VEHICLE,151511881,05/31/2015,215 NORTH AVE NE,603,Old Fourth Ward,M,33.77117,-84.38025,
LARCENY-NON VEHICLE,151501711,05/31/2015,77 12TH ST NE,503,Midtown,E,33.78424,-84.38496,
LARCENY-NON VEHICLE,151511435,05/31/2015,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-NON VEHICLE,151510743,05/31/2015,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156,
LARCENY-NON VEHICLE,151511983,05/31/2015,1081 WASHINGTON HEIGHTS TER NW,105,Washington Park,K,33.76168,-84.42303,
LARCENY-NON VEHICLE,151511641,05/31/2015,3539 NORTHSIDE PKWY NW,201,Randall Mill,A,33.8507,-84.43026,
LARCENY-NON VEHICLE,151510676,05/31/2015,3377 HAZELWOOD DR SW,406,Green Acres Valley,I,33.72796,-84.49891,
AUTO THEFT,151510161,05/31/2015,2236 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.69921,-84.39286,
AUTO THEFT,151510073,05/31/2015,140 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67346,-84.38436,
AUTO THEFT,151510637,05/31/2015,675 HOLDERNESS ST SW,402,West End,T,33.73669,-84.42804,
AUTO THEFT,151510329,05/31/2015,860 PEACHTREE ST NE,505,Midtown,E,33.77831,-84.38533,
AUTO THEFT,151511393,05/31/2015,248 TRINITY AVE SW,512,Downtown,M,33.75048,-84.39599,
AUTO THEFT,151510682,05/31/2015,860 PEACHTREE ST NE,505,Midtown,E,33.77813,-84.38445,
AUTO THEFT,151511280,05/31/2015,851 CONSTITUTION RD SE,308,Leila Valley,Z,33.69237,-84.36085,
AUTO THEFT,151512328,05/31/2015,403 HARPER RD SE,310,Lakewood,Z,33.69672,-84.37594,
AUTO THEFT,151510907,05/31/2015,2836 SPRINGDALE RD SW,311,Hammond Park,X,33.67742,-84.41494,
AUTO THEFT,151510862,05/31/2015,4647 IVYWOOD DR SW,413,Wildwood Forest,P,33.68359,-84.53991,
AUTO THEFT,151510801,05/31/2015,928 GARRETT ST SE,606,Ormewood Park,W,33.74066,-84.35788,
AUTO THEFT,151511036,05/31/2015,1023 DILL AVE SW,301,Capitol View,X,33.71859,-84.4217,
AUTO THEFT,151510924,05/31/2015,509 PARKWAY DR NE,601,Virginia Highland,F,33.78283,-84.34784,
AUTO THEFT,151510908,05/31/2015,524 FULTON ST SW,303,Mechanicsville,V,33.74085,-84.40433,
AUTO THEFT,151511087,05/31/2015,1142 BENTEEN AVE SE,607,Boulevard Heights,W,33.72353,-84.36709,
AUTO THEFT,151501309,05/30/2015,554 WILSON MILL RD SW,407,Wildwood (NPU-H),H,33.74519,-84.51713,
AUTO THEFT,151500866,05/30/2015,149 W LAKE AVE NW,105,West Lake,J,33.75802,-84.44398,
AUTO THEFT,151500910,05/30/2015,1870 CAMPBELLTON RD SW,408,,R,33.70939,-84.44964,
AUTO THEFT,151502505,05/30/2015,2308 NELMS DR SW,310,Polar Rock,Z,33.69151,-84.4004,
AUTO THEFT,151502554,05/30/2015,415 ARMOUR DR NE,212,,F,33.81267,-84.37412,
AUTO THEFT,151502249,05/30/2015,819 DELMAR CT SE,607,Ormewood Park,W,33.73288,-84.36001,
AUTO THEFT,151501987,05/30/2015,505 FULTON ST SW,303,Mechanicsville,V,33.74108,-84.40427,
AUTO THEFT,151502996,05/30/2015,263 WALKER ST,507,Castleberry Hill,M,33.74745,-84.40311,
LARCENY-NON VEHICLE,151502533,05/30/2015,198 ATLANTA AVE,304,Peoplestown,V,33.73059,-84.38142,
LARCENY-NON VEHICLE,151501731,05/30/2015,956 GLENWOOD PARK DR SE,606,Ormewood Park,W,33.74273,-84.35629,
LARCENY-NON VEHICLE,151501716,05/30/2015,1424 CARROLL DRIVE,203,Hills Park,D,33.80226,-84.43421,
LARCENY-NON VEHICLE,151501707,05/30/2015,2508 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68603,-84.39152,
LARCENY-NON VEHICLE,151501156,05/30/2015,705 JUNIPER ST NE,503,Midtown,E,33.77385,-84.38274,
LARCENY-NON VEHICLE,151500893,05/30/2015,1783 CHESHIRE BRIDGE RD NE,213,Morningside/Lenox Park,F,33.80814,-84.36397,
LARCENY-NON VEHICLE,151500225,05/30/2015,385 HOLLY ST NW,107,Grove Park,J,33.76541,-84.43756,
LARCENY-NON VEHICLE,151502930,05/30/2015,1050 CRESCENT AVE NE,503,Midtown,E,33.78387,-84.38458,
LARCENY-NON VEHICLE,151501209,05/30/2015,351 MORELAND AVE NE,608,Candler Park,N,33.76393,-84.34873,
LARCENY-NON VEHICLE,151501148,05/30/2015,1515 OLYMPIAN WAY SW,404,Westview,T,33.73574,-84.4372,
LARCENY-NON VEHICLE,151502448,05/30/2015,563 MEMORIAL DR,605,Grant Park,W,33.7464,-84.36911,
LARCENY-NON VEHICLE,151501640,05/30/2015,433 PARK AVE SE,605,Grant Park,W,33.74232,-84.36986,
LARCENY-NON VEHICLE,151503004,05/30/2015,641 NORTH AVE NE,603,Old Fourth Ward,M,33.77103,-84.36618,
LARCENY-FROM VEHICLE,151492267,05/30/2015,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773,
LARCENY-FROM VEHICLE,151501709,05/30/2015,676 PEARCE ST SW,301,Adair Park,V,33.72936,-84.40982,
LARCENY-FROM VEHICLE,151501381,05/30/2015,2020 CAMPBELLTON RD SW,410,Adams Park,R,33.70653,-84.45745,
LARCENY-FROM VEHICLE,151500912,05/30/2015,103 DOGWOOD DR NW,112,Collier Heights,I,33.78261,-84.49348,
LARCENY-FROM VEHICLE,151501564,05/30/2015,132 MARTIN L KING JR DR SW,512,Downtown,M,33.75189,-84.39203,
LARCENY-FROM VEHICLE,151501692,05/30/2015,2325 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81866,-84.34906,
LARCENY-FROM VEHICLE,151500556,05/30/2015,675 METROPOLITAN PKWY SW,301,Adair Park,V,33.73657,-84.40824,
LARCENY-FROM VEHICLE,151501093,05/30/2015,300 WALKER ST SW,507,Castleberry Hill,M,33.7463,-84.40334,
LARCENY-FROM VEHICLE,151500560,05/30/2015,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017,
LARCENY-FROM VEHICLE,151500564,05/30/2015,2314 PEACHTREE RD NW,205,,C,33.81699,-84.38981,
LARCENY-FROM VEHICLE,151500985,05/30/2015,747 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76654,-84.36303,
LARCENY-FROM VEHICLE,151501045,05/30/2015,170 NORTHSIDE DR SW,507,Castleberry Hill,M,33.7499,-84.40371,
LARCENY-FROM VEHICLE,151501067,05/30/2015,1402 N HIGHLAND AVE NE,213,Morningside/Lenox Park,F,33.79282,-84.35257,
LARCENY-FROM VEHICLE,151500084,05/30/2015,90 PEACHTREE PL NE,503,Midtown,E,33.781,-84.38452,
LARCENY-FROM VEHICLE,151501284,05/30/2015,505 WHITEHALL ST SW,303,Mechanicsville,V,33.7438,-84.40436,
LARCENY-FROM VEHICLE,151501311,05/30/2015,195 FAIRBURN RD NW,111,Adamsville,H,33.76126,-84.50433,
LARCENY-FROM VEHICLE,151501361,05/30/2015,2459 BELLVIEW AVE NW,109,Center Hill,J,33.77728,-84.46792,
LARCENY-FROM VEHICLE,151501742,05/30/2015,360 DECATUR ST SE,604,Sweet Auburn,M,33.75017,-84.37725,
LARCENY-FROM VEHICLE,151502450,05/30/2015,371 10TH ST NE,503,Midtown,E,33.78132,-84.375,
LARCENY-FROM VEHICLE,151502500,05/30/2015,220 RENAISSANCE PKWY NE,603,Old Fourth Ward,M,33.76932,-84.38024,
LARCENY-FROM VEHICLE,151502750,05/30/2015,117 WESLEY AVE,609,Edgewood,O,33.75672,-84.33719,
LARCENY-FROM VEHICLE,151502158,05/30/2015,3 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.75459,-84.41766,
LARCENY-FROM VEHICLE,151502098,05/30/2015,226 JOSEPHINE ST NE,608,Candler Park,N,33.76117,-84.34827,
LARCENY-FROM VEHICLE,151502787,05/30/2015,2975 HEADLAND DR SW,411,Greenbriar,R,33.69168,-84.4872,
LARCENY-FROM VEHICLE,151502947,05/30/2015,275 SPRING ST SW,507,Castleberry Hill,M,33.74717,-84.3984,
LARCENY-FROM VEHICLE,151503021,05/30/2015,400 W PEACHTREE ST NW,504,Downtown,M,33.76614,-84.3876,
LARCENY-NON VEHICLE,151501756,05/30/2015,1280 CAROLINE ST NE,609,Edgewood,O,33.75957,-84.34602,
LARCENY-NON VEHICLE,151501141,05/30/2015,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,151501599,05/30/2015,101 HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75558,-84.46807,
LARCENY-NON VEHICLE,151502800,05/30/2015,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,151502323,05/30/2015,375 18TH ST NW,501,Atlantic Station,E,33.79163,-84.40099,
LARCENY-NON VEHICLE,151502307,05/30/2015,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
BURGLARY-RESIDENCE,151500854,05/30/2015,389 ALTOONA PL SW,404,Westview,T,33.74454,-84.43537,
BURGLARY-RESIDENCE,151502631,05/30/2015,1521 OLYMPIAN WAY SW,404,Westview,T,33.73564,-84.43738,
BURGLARY-NONRES,151503159,05/30/2015,1625 MARTIN L KING JR DR NW @APS F L STANTON ES,104,Mozley Park,K,33.75344,-84.44213,
LARCENY-NON VEHICLE,151502146,05/30/2015,880 THURMOND ST NW,102,Vine City,L,33.76025,-84.41631,
LARCENY-NON VEHICLE,151501854,05/30/2015,1275 CAROLINE ST NE,609,Edgewood,O,33.75674,-84.34619,
BURGLARY-RESIDENCE,151501760,05/30/2015,355 NORTH AVE NE,603,Old Fourth Ward,M,33.77111,-84.37571,
BURGLARY-NONRES,151502822,05/30/2015,2357 CAREY DR SE;,310,Lakewood,Z,33.68947,-84.37023,
BURGLARY-NONRES,151500438,05/30/2015,972 DONNELLY AVE SW,402,Oakland City,S,33.72834,-84.4198,
BURGLARY-RESIDENCE,151500875,05/30/2015,1807 CHARLESTON AVE SE,307,Lakewood Heights,Y,33.70475,-84.37584,
BURGLARY-RESIDENCE,151503130,05/30/2015,2202 PEACHTREE PARK DR NE,207,,E,33.81358,-84.38955,
BURGLARY-RESIDENCE,151502903,05/30/2015,214 PINE ST NW,504,Downtown,M,33.76773,-84.3938,
BURGLARY-RESIDENCE,151502356,05/30/2015,179 TROY ST NW,105,Hunter Hills,K,33.76091,-84.4254,
BURGLARY-RESIDENCE,151503019,05/30/2015,1005 BALDWIN ST SW,104,Ashview Heights,T,33.74647,-84.42057,
BURGLARY-RESIDENCE,151501270,05/30/2015,1932 OANA ST SW,306,Sylvan Hills,X,33.70181,-84.41279,
AGG ASSAULT,151501439,05/30/2015,4045 WISTERIA LN SW,407,Wisteria Gardens,H,33.75944,-84.50949,
AGG ASSAULT,151500823,05/30/2015,1713 WILLMA DR NW,110,West Highlands,G,33.7921,-84.44721,
AGG ASSAULT,151503122,05/30/2015,428 HAMILTON E HOLMES DR NW,112,Collier Heights,I,33.76757,-84.47094,
AGG ASSAULT,151500742,05/30/2015,2498 PERRY BLVD NW,110,Scotts Crossing,G,33.80484,-84.4703,
AGG ASSAULT,151502184,05/30/2015,1425 KENILWORTH DR SW,410,Adams Park,R,33.70646,-84.45738,
ROBBERY-COMMERCIAL,151500624,05/30/2015,215 FORSYTH ST SW,512,Downtown,M,33.74892,-84.3968,
ROBBERY-PEDESTRIAN,151502398,05/30/2015,14 MARIETTA ST,511,Downtown,M,33.75757,-84.39487,
ROBBERY-PEDESTRIAN,151502917,05/30/2015,286 FLETCHER ST SW,302,Pittsburgh,V,33.72557,-84.39743,
ROBBERY-PEDESTRIAN,151502989,05/30/2015,2172 BROWNS MILL RD SE,310,Lakewood,Z,33.6945,-84.37372,
ROBBERY-COMMERCIAL,151501276,05/30/2015,876 RALPH D ABERNATHY BLVD,401,West End,T,33.73788,-84.41643,
ROBBERY-PEDESTRIAN,151493055,05/29/2015,79 NEWCASTLE ST SW,104,Ashview Heights,T,33.75261,-84.41892,
ROBBERY-PEDESTRIAN,151492333,05/29/2015,102 OLLIE ST NW,105,Washington Park,K,33.75799,-84.42287,
ROBBERY-COMMERCIAL,151491096,05/29/2015,486 PONCE DE LEON AVE NE,506,Midtown,E,33.77379,-84.37122,
ROBBERY-PEDESTRIAN,151490518,05/29/2015,500 MCDANIEL ST SW,303,Mechanicsville,V,33.74121,-84.4021,
ROBBERY-PEDESTRIAN,151490443,05/29/2015,480 TUFTON TRL SE,312,Glenrose Heights,Z,33.66543,-84.38433,
ROBBERY-PEDESTRIAN,151491455,05/29/2015,370 NORTHSIDE DR NW,103,English Avenue,L,33.76527,-84.40498,
ROBBERY-PEDESTRIAN,151491440,05/29/2015,605 SPENCER ST NW,102,Vine City,L,33.76015,-84.40742,
ROBBERY-PEDESTRIAN,151492200,05/29/2015,112 COURTLAND ST ,308,Thomasville Heights,Z,33.70558,-84.3596,
AGG ASSAULT,151492792,05/29/2015,2 JOSEPH E LOWERY BLVD NW,105,Washington Park,K,33.75491,-84.41773,
AGG ASSAULT,151491020,05/29/2015,1101 WHITE OAK AVE SW,402,Oakland City,S,33.72625,-84.42366,
AGG ASSAULT,151490914,05/29/2015,805 N EVELYN PL NW,110,Grove Park,J,33.77727,-84.44595,
AGG ASSAULT,151491596,05/29/2015,2970 PEACHTREE RD NW ,206,Peachtree Heights West,B,33.83631,-84.38305,
AGG ASSAULT,151493180,05/29/2015,2 JOSEPH E LOWERY BLVD NW,105,Washington Park,K,33.75491,-84.41773,
AGG ASSAULT,151492536,05/29/2015,1870 MYRTLE DR SW,410,Campbellton Road,R,33.7043,-84.45487,
AGG ASSAULT,151490215,05/29/2015,1617 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76385,-84.44072,
AGG ASSAULT,151490482,05/29/2015,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,
BURGLARY-RESIDENCE,151492149,05/29/2015,1660 DETROIT AVE NW,107,Grove Park,J,33.76554,-84.44587,
BURGLARY-RESIDENCE,151491420,05/29/2015,403 MAYNARD TER SE,612,East Atlanta,W,33.74276,-84.33512,
BURGLARY-RESIDENCE,151491924,05/29/2015,200 RENAISSANCE PKWY NE,603,Old Fourth Ward,M,33.76896,-84.38069,
BURGLARY-RESIDENCE,151491709,05/29/2015,220 26TH ST NW,207,Brookwood,E,33.80312,-84.4011,
BURGLARY-RESIDENCE,151490604,05/29/2015,1991 CASCADE RD SW,409,Cascade Avenue/Road,S,33.72178,-84.45303,
BURGLARY-RESIDENCE,151493165,05/29/2015,2985 FAIRBURN RD SW,414,Ben Hill,P,33.67293,-84.51455,
BURGLARY-RESIDENCE,151492673,05/29/2015,691 14TH ST,501,Home Park,E,33.78603,-84.40967,
BURGLARY-RESIDENCE,151493246,05/29/2015,1958 HOLLYWOOD RD NW,203,Riverside,D,33.80908,-84.47235,
BURGLARY-RESIDENCE,151490144,05/29/2015,1717 CENTRA VILLA DR SW,409,Adams Park,R,33.70928,-84.45571,
BURGLARY-NONRES,151492895,05/29/2015,862 VIRGIL ST NE,602,Inman Park,N,33.75922,-84.3596,
BURGLARY-NONRES,151492789,05/29/2015,1795 SHEPHERD CIR SW,410,Pomona Park,R,33.70622,-84.45181,
BURGLARY-NONRES,151491286,05/29/2015,3800 NORTHSIDE DR NW,202,Kingswood,A,33.85896,-84.40468,
BURGLARY-NONRES,151490844,05/29/2015,1955 CAMPBELLTON RD SW,408,Venetian Hills,S,33.70864,-84.45303,
BURGLARY-RESIDENCE,151490989,05/29/2015,959 CATO ST NW,110,Grove Park,J,33.78202,-84.45558,
BURGLARY-RESIDENCE,151491123,05/29/2015,165 MARION PL NE,609,Edgewood,O,33.75795,-84.34501,
BURGLARY-RESIDENCE,151490476,05/29/2015,566 UNIVERSITY AVE SW,302,Pittsburgh,V,33.72207,-84.40617,
LARCENY-NON VEHICLE,151491930,05/29/2015,72 PEACHTREE ST SW,511,Downtown,M,33.75251,-84.3901,
LARCENY-NON VEHICLE,151491908,05/29/2015,136 11TH ST NE,503,Midtown,E,33.78311,-84.38258,
BURGLARY-RESIDENCE,151491758,05/29/2015,3378 GREENBRIAR PKWY SW,413,,P,33.68387,-84.50204,
BURGLARY-RESIDENCE,151491531,05/29/2015,801 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76362,-84.41362,
BURGLARY-RESIDENCE,151492731,05/29/2015,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059,
BURGLARY-NONRES,151491002,05/29/2015,1809 SHEPHERD CIR SW,410,Pomona Park,R,33.70567,-84.45191,
LARCENY-NON VEHICLE,151491860,05/29/2015,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813,
LARCENY-NON VEHICLE,151491355,05/29/2015,3393 PEACHTREE STREET NE,210,Lenox,B,33.84676,-84.36212,
