UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,150903015,03/31/2015,101 HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75558,-84.46807,
ROBBERY-PEDESTRIAN,150903577,03/31/2015,1234 MCLENDON AVE NE,608,Candler Park,N,33.76518,-84.34716,
ROBBERY-PEDESTRIAN,150902208,03/31/2015,225 HAMILTON E HOLMES DR NW @APS DOUGLASS HS,108,Center Hill,J,33.76115,-84.4682,
AGG ASSAULT,150902458,03/31/2015,816 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73805,-84.41449,
AGG ASSAULT,150903563,03/31/2015,245 OAK DR SE,312,Glenrose Heights,Z,33.66828,-84.3854,
AGG ASSAULT,150901819,03/31/2015,1694 OAK KNOLL CIR SE,307,Lakewood Heights,Y,33.7097,-84.37688,
AGG ASSAULT,150903561,03/31/2015,1977 KIMBERLY RD SW,412,Ben Hill Terrace,P,33.70028,-84.52345,
AGG ASSAULT,150900016,03/31/2015,3000 CONTINENTAL COLONY PKWY SW @CONTINENTAL COLONY,411,Greenbriar,R,33.68376,-84.49151,
AGG ASSAULT,150901659,03/31/2015,2980 DELMAR LN NW,111,,I,33.75517,-84.48481,
BURGLARY-RESIDENCE,150901769,03/31/2015,390 STOVALL ST SE,606,Ormewood Park,W,33.7436,-84.35429,
BURGLARY-RESIDENCE,150901570,03/31/2015,2630 OAKDALE ST NW,203,Riverside,D,33.80868,-84.47376,
BURGLARY-RESIDENCE,150901066,03/31/2015,765 LIBERTY COMMONS DR NW,102,Vine City,L,33.75603,-84.41505,
BURGLARY-RESIDENCE,150902151,03/31/2015,1965 SAINT JOHNS PL SW,306,Sylvan Hills,X,33.69999,-84.40617,
BURGLARY-RESIDENCE,150902292,03/31/2015,1656 NORTH AVE NW,107,Grove Park,J,33.7678,-84.44195,
BURGLARY-RESIDENCE,150903332,03/31/2015,2746 VINEYARDS DR SE,312,Rosedale Heights,Z,33.67969,-84.36906,
BURGLARY-RESIDENCE,150903257,03/31/2015,568 WOODLAWN AVE NW,107,Grove Park,J,33.77042,-84.43628,
BURGLARY-RESIDENCE,150902562,03/31/2015,433 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76128,-84.37323,
BURGLARY-RESIDENCE,150903217,03/31/2015,1848 CUMMINGS DR SW,408,Venetian Hills,S,33.71696,-84.44825,
BURGLARY-RESIDENCE,150893066,03/31/2015,590 MCAFEE ST,504,Downtown,M,33.76821,-84.39465,
BURGLARY-NONRES,150900622,03/31/2015,1625 MARTIN L KING JR DR NW @APS F L STANTON ES,104,Mozley Park,K,33.75344,-84.44213,
BURGLARY-RESIDENCE,150902100,03/31/2015,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
LARCENY-NON VEHICLE,150902306,03/31/2015,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
LARCENY-NON VEHICLE,150901523,03/31/2015,2690 METROPOLITAN PKWY SW,309,Perkerson,X,33.68169,-84.40737,
LARCENY-NON VEHICLE,150902750,03/31/2015,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,
LARCENY-NON VEHICLE,150902976,03/31/2015,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,150902794,03/31/2015,1801 HOWELL MILL RD,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,150902445,03/31/2015,2110 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70596,-84.45841,
LARCENY-FROM VEHICLE,150903080,03/31/2015,1981 JOSEPH E BOONE BLVD NW,108,Grove Park,J,33.76486,-84.45174,
LARCENY-FROM VEHICLE,150903376,03/31/2015,501 FAIRBURN RD SW @SOUTHWEST COMM HOSP,407,Fairburn Mays,H,33.74022,-84.51032,
LARCENY-FROM VEHICLE,150903363,03/31/2015,1710 DEFOOR AVE,204,Underwood Hills,D,33.8014,-84.42002,
LARCENY-FROM VEHICLE,150903020,03/31/2015,1063 EUCLID AVE NE,602,Inman Park,N,33.76279,-84.35205,
LARCENY-FROM VEHICLE,150902983,03/31/2015,597 TENNELLE ST SE,606,Cabbagetown,N,33.7507,-84.36782,
LARCENY-FROM VEHICLE,150902051,03/31/2015,3015 JONESBORO RD SE,312,Orchard Knob,Z,33.67229,-84.37254,
LARCENY-FROM VEHICLE,150902105,03/31/2015,100 EDGEWOOD AVE,510,Downtown,M,33.75478,-84.38541,
LARCENY-FROM VEHICLE,150901778,03/31/2015,2940 3RD AVE SW,311,Hammond Park,X,33.67559,-84.40682,
