UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,160911793,03/31/2016,2768 GRAND AVE SW ,311,Hammond Park,X,33.67929,-84.40015,
ROBBERY-PEDESTRIAN,160912492,03/31/2016,101 HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75558,-84.46807,
ROBBERY-COMMERCIAL,160912017,03/31/2016,1583 HOWELL MILL RD NW,207,Berkeley Park,D,33.79813,-84.41572,
ROBBERY-PEDESTRIAN,160912988,03/31/2016,1870 MYRTLE DR SW,410,Campbellton Road,R,33.7043,-84.45487,
AGG ASSAULT,160913528,03/31/2016,2603 OLDKNOW DR NW,109,Center Hill,J,33.77191,-84.47219,
AGG ASSAULT,160912925,03/31/2016,405 FAIRBURN RD,407,Wildwood (NPU-H),H,33.74522,-84.51155,
BURGLARY-RESIDENCE,160912162,03/31/2016,1735 S ALVARADO TER SW,404,Cascade Avenue/Road,S,33.72998,-84.44469,
BURGLARY-RESIDENCE,160912390,03/31/2016,177 LAWTON ST SW,104,Ashview Heights,T,33.74978,-84.42336,
BURGLARY-RESIDENCE,160912062,03/31/2016,323 DARGAN PL SW,104,West End,T,33.74625,-84.42445,
BURGLARY-RESIDENCE,160912897,03/31/2016,3150 REEVES CIR NW ,111,,I,33.75454,-84.49008,
BURGLARY-RESIDENCE,160911910,03/31/2016,1120 ANGELO CT NE,209,Brookhaven,B,33.88177,-84.35059,
BURGLARY-RESIDENCE,160911932,03/31/2016,252 HILLSIDE DR NW,202,Chastain Park,A,33.86963,-84.39563,
BURGLARY-RESIDENCE,160911503,03/31/2016,2034 ARLINGTON CIR NW,107,Grove Park,J,33.77071,-84.45372,
BURGLARY-RESIDENCE,160913182,03/31/2016,2973 COLLIER DR NW,112,Collier Heights,I,33.76339,-84.48454,
BURGLARY-RESIDENCE,160913457,03/31/2016,2155 MAIN ST NW,203,Riverside,D,33.8148,-84.4737,
BURGLARY-RESIDENCE,160910962,03/31/2016,1690 W LAKE CT NW,105,West Lake,J,33.7592,-84.44327,
BURGLARY-NONRES,160910789,03/31/2016,1100 PEACHTREE ST NE,503,Midtown,E,33.78492,-84.38362,
BURGLARY-NONRES,160910985,03/31/2016,265 PEACHTREE CENTER AVE NE @Multiple,509,Downtown,M,33.76158,-84.38496,
BURGLARY-NONRES,160911445,03/31/2016,1093 ARLINGTON AVE SW,402,Oakland City,S,33.72378,-84.42359,
BURGLARY-NONRES,160911209,03/31/2016,84 ROBIN HOOD RD NE,502,Sherwood Forest,E,33.79819,-84.38485,
