UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,182120100,07/31/2018,2762 3RD AVE SW,311,Hammond Park,X,33.6767,-84.4033,
ROBBERY-PEDESTRIAN,182120142,07/31/2018,1028 MAYSON TURNER,105,Hunter Hills,K,33.76343,-84.42769,
ROBBERY-PEDESTRIAN,182120214,07/31/2018,3843 JONESBORO RD SE,313,South River Gardens,Z,33.64933,-84.36635,
AGG ASSAULT,182121714,07/31/2018,797 PRYOR ST SW,303,Mechanicsville,V,33.73294,-84.39408,
BURGLARY-RESIDENCE,182121056,07/31/2018,1618 AVON AVE SW,408,Venetian Hills,S,33.72216,-84.4408,
BURGLARY-RESIDENCE,182121127,07/31/2018,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968,
BURGLARY-RESIDENCE,182122028,07/31/2018,1839 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70429,-84.38178,
BURGLARY-RESIDENCE,182121015,07/31/2018,1475 MECASLIN ST NW,207,Loring Heights,E,33.79527,-84.3997,
BURGLARY-RESIDENCE,182121937,07/31/2018,2453 CORONET WAY NW,201,,C,33.8209,-84.44958,
BURGLARY-RESIDENCE,182120430,07/31/2018,20 VANIRA AVE SE,304,Peoplestown,V,33.72951,-84.38726,
BURGLARY-NONRES,182121102,07/31/2018,1506 HOWELL MILL RD NW,207,Berkeley Park,D,33.79593,-84.41609,
BURGLARY-NONRES,182121921,07/31/2018,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82543,-84.36706,
BURGLARY-RESIDENCE,182121664,07/31/2018,1155 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.7636,-84.4257,
LARCENY-NON VEHICLE,182121012,07/31/2018,2367 PEACHTREE RD NE,211,Peachtree Hills,B,33.81915,-84.38851,
LARCENY-NON VEHICLE,182121801,07/31/2018,264 19TH ST NW,501,Atlantic Station,E,33.79321,-84.39692,
LARCENY-NON VEHICLE,182122029,07/31/2018,1241 MORELAND AVE SE @SUNSHINE PLAZA SC,607,Woodland Hills,W,33.72055,-84.35045,
LARCENY-NON VEHICLE,182120421,07/31/2018,639 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82329,-84.36696,
LARCENY-NON VEHICLE,182121540,07/31/2018,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,182122212,07/31/2018,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-FROM VEHICLE,182122260,07/31/2018,3368 PEACHTREE RD NE,208,North Buckhead,B,33.84713,-84.36802,
LARCENY-FROM VEHICLE,182122285,07/31/2018,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,182122103,07/31/2018,134 MARTIN L KING JR DR SW,512,Downtown,M,33.75205,-84.3923,
LARCENY-FROM VEHICLE,182122243,07/31/2018,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-FROM VEHICLE,182120552,07/31/2018,585 MCDANIEL ST SW,303,Mechanicsville,V,33.73896,-84.40206,
LARCENY-FROM VEHICLE,182122418,07/31/2018,450 CAPITOL AVE SE @CARTER HALL,304,Summerhill,V,33.74229,-84.38686,
LARCENY-FROM VEHICLE,182120673,07/31/2018,400 PHARR RD NE,206,Buckhead Village,B,33.8371,-84.3747,
LARCENY-FROM VEHICLE,182122390,07/31/2018,615 PEACHTREE ST NE @ATLANTA EYE CLINIC,505,Midtown,E,33.77138,-84.38487,
LARCENY-FROM VEHICLE,182120706,07/31/2018,731 BLAKE AVE SE,612,East Atlanta,W,33.73432,-84.33892,
LARCENY-FROM VEHICLE,182122158,07/31/2018,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051,
LARCENY-FROM VEHICLE,182120785,07/31/2018,3580 CAMPBELLTON RD SW,413,,P,33.6899,-84.50584,
LARCENY-FROM VEHICLE,182122307,07/31/2018,70 W PACES FERRY RD NW,206,Peachtree Heights West,B,33.83991,-84.38182,
LARCENY-FROM VEHICLE,182122319,07/31/2018,1407 METROPOLITAN PKWY SW,301,Capitol View,X,33.71646,-84.40817,
LARCENY-FROM VEHICLE,182122160,07/31/2018,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
LARCENY-FROM VEHICLE,182122215,07/31/2018,1208 VIRGINIA AVE NE,601,Virginia Highland,F,33.7797,-84.34733,
LARCENY-FROM VEHICLE,182121613,07/31/2018,634 WHITEHALL ST SW,303,Adair Park,V,33.74179,-84.40844,
LARCENY-FROM VEHICLE,182121634,07/31/2018,450 Capitol AVE,304,Summerhill,V,33.74229,-84.38686,
LARCENY-FROM VEHICLE,182121068,07/31/2018,535 LEE ST SW,401,West End,T,33.74042,-84.41435,
LARCENY-FROM VEHICLE,182121487,07/31/2018,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.8201,-84.36481,
LARCENY-FROM VEHICLE,182121923,07/31/2018,44 KROG ST NE,602,Inman Park,N,33.75542,-84.36482,
LARCENY-FROM VEHICLE,182121858,07/31/2018,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81235,-84.36578,
LARCENY-FROM VEHICLE,182120042,07/31/2018,786 JUNIPER ST NE,505,Midtown,E,33.77587,-84.38308,
