UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,180901206,03/31/2018,2111 FAULKER RD NE,212,Lindridge/Martin Manor,F,33.81214,-84.35761,
HOMICIDE,180892506,03/31/2018,934 MAYSON TURNER RD,105,Washington Park,K,33.75815,-84.41873,
ROBBERY-PEDESTRIAN,180901281,03/31/2018,253 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.76162,-84.41725,
ROBBERY-PEDESTRIAN,180901178,03/31/2018,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623,
ROBBERY-COMMERCIAL,180901454,03/31/2018,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156,
AGG ASSAULT,180900843,03/31/2018,3047 MIDDLETON RD NW,111,,I,33.75293,-84.48962,
AGG ASSAULT,180901404,03/31/2018,3438 DALE LN SW,412,Meadowbrook Forest,P,33.69387,-84.50124,
AGG ASSAULT,180901509,03/31/2018,3170 GREENBRIAR PKWY SW,411,Greenbriar,R,33.6861,-84.49202,
AGG ASSAULT,180902071,03/31/2018,50 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67086,-84.38939,
AGG ASSAULT,180900960,03/31/2018,3006 DELMAR LN NW,111,,I,33.75524,-84.48543,
AGG ASSAULT,180900534,03/31/2018,113 RICHARDSON ST SE,304,Summerhill,V,33.74068,-84.38395,
AGG ASSAULT,180901397,03/31/2018,2600 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75317,-84.47247,
AGG ASSAULT,180900618,03/31/2018,728 GARY RD NW,109,Center Hill,J,33.77502,-84.46133,
BURGLARY-RESIDENCE,180900332,03/31/2018,890 MCWILLIAMS RD SE,308,Leila Valley,Z,33.68896,-84.36066,
BURGLARY-RESIDENCE,180900157,03/31/2018,820 W MARIETTA ST NW,103,English Avenue,L,33.78045,-84.41554,
BURGLARY-RESIDENCE,180902208,03/31/2018,390 STOVALL ST SE,606,Ormewood Park,W,33.7436,-84.35429,
BURGLARY-NONRES,180900676,03/31/2018,1745 PEACHTREE ST NE,207,Brookwood Hills,E,33.8018,-84.39187,
