UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-COMMERCIAL,182730071,09/30/2018,2489 JONESBORO RD SE,310,Browns Mill Park,Z,33.68601,-84.36487,
AGG ASSAULT,182730426,09/30/2018,228 GARNETT ST SW,512,Downtown,M,33.74947,-84.39629,
AGG ASSAULT,182730612,09/30/2018,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
AGG ASSAULT,182730950,09/30/2018,97 STRATFORD DR NW,111,,I,33.75787,-84.48826,
AGG ASSAULT,182731136,09/30/2018,2592 ELLIOTT ST NW,109,Carey Park,G,33.78169,-84.47312,
AGG ASSAULT,182731267,09/30/2018,1324 LOCKWOOD DR SW,403,Venetian Hills,S,33.71921,-84.43851,
AGG ASSAULT,182731650,09/30/2018,2687 BURTON RD NW,111,Westhaven,I,33.7561,-84.47548,
AGG ASSAULT,182730208,09/30/2018,405 FAIRBURN RD SW,407,Wildwood (NPU-H),H,33.74367,-84.50959,
AGG ASSAULT,182730002,09/30/2018,1955 MORELAND AVE SE,308,,,33.70062,-84.34949,
AGG ASSAULT,182731378,09/30/2018,25 DANIEL AVE NE,611,East Lake,O,33.7522,-84.29834,
BURGLARY-RESIDENCE,182731230,09/30/2018,930 SPRING ST NW,503,Midtown,E,33.77989,-84.38898,
BURGLARY-RESIDENCE,182730769,09/30/2018,2231 PENELOPE ST NW,108,Dixie Hills,J,33.75635,-84.45691,
BURGLARY-RESIDENCE,182731997,09/30/2018,154 CANDLER RD SE,611,East Lake,O,33.74831,-84.29197,
BURGLARY-RESIDENCE,182731440,09/30/2018,433 ARGUS CIR NW,111,Adamsville,H,33.7651,-84.50098,
BURGLARY-NONRES,182730853,09/30/2018,401 HAMILTON E HOLMES DR NW,109,Center Hill,J,33.76633,-84.46976,
BURGLARY-NONRES,182730602,09/30/2018,2429 MARTIN LUTHER KING JR DR SW,108,Florida Heights,I,33.75246,-84.46669,
BURGLARY-NONRES,182730710,09/30/2018,3783 CAMPBELLTON RD SW,412,Kings Forest,P,33.69113,-84.51274,
LARCENY-NON VEHICLE,182731408,09/30/2018,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,
LARCENY-NON VEHICLE,182730866,09/30/2018,2237 CASCADE ROAD SW,406,Cascade Avenue/Road,S,33.72282,-84.46129,
LARCENY-NON VEHICLE,182731712,09/30/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,182731410,09/30/2018,25 PEACHTREE ST SE,510,Downtown,M,33.75445,-84.38954,
LARCENY-NON VEHICLE,182731595,09/30/2018,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-NON VEHICLE,182731659,09/30/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,182731322,09/30/2018,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779,
LARCENY-FROM VEHICLE,182730740,09/30/2018,2184 PENELOPE ST NW,108,Penelope Neighbors,J,33.75491,-84.45737,
LARCENY-FROM VEHICLE,182730792,09/30/2018,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835,
LARCENY-FROM VEHICLE,182731046,09/30/2018,535 LEE ST SW,401,West End,T,33.74042,-84.41435,
LARCENY-FROM VEHICLE,182731048,09/30/2018,90 6TH ST,505,Midtown,E,33.77746,-84.38462,
LARCENY-FROM VEHICLE,182731094,09/30/2018,215 NORTH AVE NE @SAVANNAH MIDTOWN,603,Old Fourth Ward,M,33.7706,-84.38034,
LARCENY-FROM VEHICLE,182731124,09/30/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,182731134,09/30/2018,249 PETERS ST,507,Castleberry Hill,M,33.74789,-84.40161,
LARCENY-FROM VEHICLE,182731202,09/30/2018,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-FROM VEHICLE,182730721,09/30/2018,1131 REEDE CIRCLE NE,213,Morningside/Lenox Park,F,33.79407,-84.35019,
LARCENY-FROM VEHICLE,182730308,09/30/2018,862 METROPOLITAN PKWY SW,302,Pittsburgh,V,33.73147,-84.40797,
LARCENY-FROM VEHICLE,182730360,09/30/2018,762 METROPOLITAN PKWY SW,302,Pittsburgh,V,33.73424,-84.40779,
LARCENY-FROM VEHICLE,182730421,09/30/2018,1271 MARIETTA BLVD NW,203,Blandtown,D,33.78949,-84.42819,
LARCENY-FROM VEHICLE,182730496,09/30/2018,925 BOWEN ST NW,207,Berkeley Park,D,33.79722,-84.41797,
LARCENY-FROM VEHICLE,182730650,09/30/2018,198 INMAN LN NE,602,Inman Park,N,33.7594,-84.36222,
LARCENY-FROM VEHICLE,182731225,09/30/2018,317 MELL DR NE,608,Candler Park,N,33.76292,-84.33688,
LARCENY-FROM VEHICLE,182731958,09/30/2018,455 14TH ST NW,501,Home Park,E,33.78629,-84.40208,
LARCENY-FROM VEHICLE,182731390,09/30/2018,519 MEMORIAL DR SE,605,Grant Park,W,33.74615,-84.37083,
LARCENY-FROM VEHICLE,182731706,09/30/2018,144 MORELAND AVE NE,606,Reynoldstown,N,33.75698,-84.34929,
LARCENY-FROM VEHICLE,182731736,09/30/2018,10TH ST NE / MONROE DR NE,502,Midtown,E,33.78174,-84.36869,
LARCENY-FROM VEHICLE,182731308,09/30/2018,1501 HOSEA L WILLIAMS,609,Kirkwood,O,33.75341,-84.33862,
LARCENY-FROM VEHICLE,182732042,09/30/2018,1091 VELTRE CIR SW,406,Audobon Forest West,I,33.72517,-84.48022,
LARCENY-FROM VEHICLE,182731857,09/30/2018,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849,
LARCENY-FROM VEHICLE,182731810,09/30/2018,42 ABERCROMBIE PL NW,505,Midtown,E,33.77795,-84.38857,
LARCENY-FROM VEHICLE,182731419,09/30/2018,15 WALL ST,511,Downtown,M,33.75328,-84.38948,
LARCENY-NON VEHICLE,182731300,09/30/2018,371 10TH ST NE,503,Midtown,E,33.78132,-84.37507,
LARCENY-NON VEHICLE,182730973,09/30/2018,1424 W PACES FERRY RD NW ,201,Paces,A,33.84628,-84.4343,
LARCENY-NON VEHICLE,182730631,09/30/2018,892 NEAL ST NW,103,English Avenue,L,33.76637,-84.41673,
LARCENY-NON VEHICLE,182731922,09/30/2018,3368 PEACHTREE RD NE,208,North Buckhead,B,33.84713,-84.36802,
LARCENY-NON VEHICLE,182731892,09/30/2018,3324 PEACHTREE RD NE,208,North Buckhead,B,33.84595,-84.36852,
LARCENY-NON VEHICLE,182731507,09/30/2018,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
AUTO THEFT,182731235,09/30/2018,568 14TH ST NW,501,Home Park,E,33.78592,-84.40587,
AUTO THEFT,182730805,09/30/2018,164 CRUMLEY ST SE,304,Summerhill,V,33.73959,-84.38231,
AUTO THEFT,182730505,09/30/2018,955 MARIETTA ST NW,504,Marietta Street Artery,E,33.77862,-84.40913,
AUTO THEFT,182730387,09/30/2018,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265,
AUTO THEFT,182731968,09/30/2018,25 WALTON ST NW,508,Downtown,M,33.75538,-84.38957,
AUTO THEFT,182731623,09/30/2018,1611 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70791,-84.38091,
AUTO THEFT,182731412,09/30/2018,333 NELSON ST SW,507,Castleberry Hill,M,33.75158,-84.39883,
AUTO THEFT,182721291,09/29/2018,JESSE HILL JR DR NE / JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75716,-84.38024,
AUTO THEFT,182721355,09/29/2018,634 WHITEHALL ST SW,303,Adair Park,V,33.74179,-84.40844,
AUTO THEFT,182722406,09/29/2018,2524 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75285,-84.47033,
AUTO THEFT,182720382,09/29/2018,1722 CAMPBELLTON RD SW ,408,,R,33.71107,-84.44411,
AUTO THEFT,182720961,09/29/2018,1717 CENTRA VILLA DRIVE SW,409,Adams Park,R,33.70928,-84.45571,
AUTO THEFT,182721042,09/29/2018,100 PEYTON PL SW,405,Harland Terrace,I,33.75381,-84.47425,
AUTO THEFT,182721084,09/29/2018,881 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77872,-84.35286,
AUTO THEFT,182721246,09/29/2018,262 ARTHUR LANGFORD JR PL SW,307,Joyland,Y,33.71402,-84.39747,
AUTO THEFT,182721680,09/29/2018,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051,
LARCENY-NON VEHICLE,182721129,09/29/2018,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
LARCENY-NON VEHICLE,182721771,09/29/2018,265 COURTLAND ST NE,509,Downtown,M,33.76157,-84.38405,
LARCENY-NON VEHICLE,182721439,09/29/2018,464 WINDSOR ST SW,303,Mechanicsville,V,33.74215,-84.3981,
LARCENY-NON VEHICLE,182720861,09/29/2018,2325 SWALLOW CIR SE,310,Swallow Circle/Baywood,Z,33.69512,-84.38776,
LARCENY-FROM VEHICLE,182722059,09/29/2018,441 16TH ST NW @IKEA,501,Atlantic Station,E,33.78874,-84.40468,
LARCENY-NON VEHICLE,182722357,09/29/2018,3481 LAKESIDE DR NE,210,Buckhead Heights,B,33.84899,-84.3574,
LARCENY-NON VEHICLE,182721609,09/29/2018,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
LARCENY-NON VEHICLE,182721407,09/29/2018,590 W PEACHTREE ST NW @RENAISSANCE HOTEL,509,Downtown,M,33.77023,-84.38815,
LARCENY-FROM VEHICLE,182721276,09/29/2018,1273 PONTI MEWS NW,203,Blandtown,D,33.79245,-84.4286,
LARCENY-FROM VEHICLE,182720853,09/29/2018,968 MEMORIAL DR SE,606,Reynoldstown,N,33.74676,-84.35595,
LARCENY-FROM VEHICLE,182720964,09/29/2018,165 COURTLAND ST NE @SHERATON ATLANTA,510,Downtown,M,33.75895,-84.3834,
LARCENY-FROM VEHICLE,182721075,09/29/2018,2325 MARIETTA BLVD NW,201,,C,33.82065,-84.45274,
LARCENY-FROM VEHICLE,182721130,09/29/2018,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-FROM VEHICLE,182720537,09/29/2018,1240 W PEACHTREE ST NW,502,Midtown,E,33.78874,-84.38857,
LARCENY-FROM VEHICLE,182721347,09/29/2018,490 WHITEHALL ST SW,507,Castleberry Hill,M,33.74348,-84.40341,
LARCENY-FROM VEHICLE,182721376,09/29/2018,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-FROM VEHICLE,182720636,09/29/2018,1634 PONCE DE LEON AVE NE,608,Druid Hills,N,33.77417,-84.333,
LARCENY-FROM VEHICLE,182720557,09/29/2018,265 SCIPLE TER NW,102,Vine City,L,33.76193,-84.4149,
LARCENY-FROM VEHICLE,182720225,09/29/2018,1824 DEFOOR AVE NW,204,Underwood Hills,D,33.80485,-84.4239,
LARCENY-FROM VEHICLE,182720430,09/29/2018,891 ROSEDALE RD NE,601,Virginia Highland,F,33.77882,-84.34807,
LARCENY-FROM VEHICLE,182720483,09/29/2018,2280 CHESHIRE BRIDGE RD NE ,212,Lindridge/Martin Manor,F,33.81718,-84.3521,
LARCENY-FROM VEHICLE,182721480,09/29/2018,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-FROM VEHICLE,182721597,09/29/2018,930 SPRING ST NW,503,Midtown,E,33.7801,-84.38942,
LARCENY-FROM VEHICLE,182721912,09/29/2018,409 BISHOP ST NW,207,Loring Heights,E,33.794,-84.40135,
LARCENY-FROM VEHICLE,182722074,09/29/2018,40 PEACHTREE VALLEY RD NE,207,,E,33.81096,-84.39145,
LARCENY-FROM VEHICLE,182722075,09/29/2018,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77331,-84.40403,
LARCENY-FROM VEHICLE,182722157,09/29/2018,230 10TH ST NE,502,Midtown,E,33.78187,-84.37981,
LARCENY-FROM VEHICLE,182722304,09/29/2018,31 BAKER ST NE,509,Downtown,M,33.76214,-84.38625,
LARCENY-FROM VEHICLE,182721738,09/29/2018,1784 PEACHTREE ST NW,207,Ardmore,E,33.80334,-84.39351,
LARCENY-FROM VEHICLE,182721741,09/29/2018,3393 PEACHTREE RD NE @LENOX SQUARE,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,182721788,09/29/2018,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77914,-84.41116,
LARCENY-FROM VEHICLE,182721898,09/29/2018,2415 FAIRBURN RD SW @WINTERS PROFESSIONA,413,,P,33.68909,-84.51182,
LARCENY-FROM VEHICLE,182721553,09/29/2018,284 HUNNICUTT ST NW,504,Downtown,M,33.76644,-84.39552,
LARCENY-FROM VEHICLE,182722343,09/29/2018,3340 PEACHTREE RD NE,208,North Buckhead,B,33.84743,-84.37089,
LARCENY-FROM VEHICLE,182722424,09/29/2018,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974,
LARCENY-NON VEHICLE,182721457,09/29/2018,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.85209,-84.3645,
LARCENY-NON VEHICLE,182720074,09/29/2018,635 LINDBERGH DR NE,211,Lindbergh/Morosgo,B,33.8213,-84.36689,
LARCENY-NON VEHICLE,182720300,09/29/2018,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465,
LARCENY-NON VEHICLE,182721081,09/29/2018,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751,
LARCENY-NON VEHICLE,182720956,09/29/2018,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,182720439,09/29/2018,850 NORTHSIDE DR NW,504,Marietta Street Artery,E,33.77807,-84.40773,
LARCENY-NON VEHICLE,182721673,09/29/2018,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,182721645,09/29/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,182430761,09/29/2018,556 NORTHSIDE DR,302,Pittsburgh,V,33.74007,-84.40778,
LARCENY-NON VEHICLE,182721616,09/29/2018,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,182721932,09/29/2018,343 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.74569,-84.41786,
LARCENY-NON VEHICLE,182722351,09/29/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,182722330,09/29/2018,2989 CAMPBELLTON RD SW,409,Southwest,R,33.69655,-84.48597,
LARCENY-NON VEHICLE,182721290,09/29/2018,950 W PEACHTREE ST NW,503,Midtown,E,33.78014,-84.38747,
LARCENY-NON VEHICLE,182722226,09/29/2018,850 NORTHSIDE DR NW,504,Marietta Street Artery,E,33.77807,-84.40773,
LARCENY-NON VEHICLE,182722108,09/29/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
BURGLARY-RESIDENCE,182720613,09/29/2018,1764 DEFOOR AVE NW,204,Underwood Hills,D,33.80355,-84.42156,
BURGLARY-RESIDENCE,182721790,09/29/2018,82 HAYGOOD AVE SE,304,Peoplestown,V,33.72661,-84.38537,
BURGLARY-NONRES,182720910,09/29/2018,1831 DELOWE DR SW,410,Campbellton Road,R,33.70511,-84.4574,
BURGLARY-RESIDENCE,182721238,09/29/2018,3804 MARTIN L KING JR DR SW,114,Old Gordon,H,33.76797,-84.51322,
BURGLARY-RESIDENCE,182722495,09/29/2018,4011 ROSWELL RD NE,209,North Buckhead,B,33.86439,-84.38052,
BURGLARY-RESIDENCE,182720856,09/29/2018,1115 SELWIN AVE SW,403,Oakland City,S,33.72456,-84.42638,
BURGLARY-RESIDENCE,182721219,09/29/2018,3443 KINGSBORO RD NE,210,Buckhead Heights,B,33.84984,-84.35795,
BURGLARY-RESIDENCE,182721450,09/29/2018,390 17TH ST NW,501,Atlantic Station,E,33.7902,-84.4003,
AGG ASSAULT,182722280,09/29/2018,761 SIDNEY MARCUS BLVD NE @QUICK TRIP - SIDNEY,211,Lindbergh/Morosgo,B,33.82545,-84.36218,
AGG ASSAULT,182720593,09/29/2018,1981 MARTIN L KING JR DR NW,108,,I,33.75014,-84.45237,
AGG ASSAULT,182720667,09/29/2018,22 MELDON AVE ,307,South Atlanta,Y,33.71033,-84.3813,
AGG ASSAULT,182722453,09/29/2018,226 PEACHTREE ST SW,512,Downtown,M,33.74896,-84.39471,
AGG ASSAULT,182722433,09/29/2018,161 W LAKE AVE NW,105,West Lake,J,33.75876,-84.44373,
AGG ASSAULT,182721442,09/29/2018,3001 LINKS DR SE,611,The Villages at East Lake,O,33.74463,-84.31162,
AGG ASSAULT,182720698,09/29/2018,633 PARKWAY DR NE,603,Old Fourth Ward,M,33.77189,-84.3725,
ROBBERY-PEDESTRIAN,182722163,09/29/2018,1195 WOODLAND AVE SE,213,Lindridge/Martin Manor,F,33.81404,-84.34892,
ROBBERY-PEDESTRIAN,182720577,09/29/2018,672 SHELTON AVE SW,301,Pittsburgh,V,33.73432,-84.40783,
ROBBERY-PEDESTRIAN,182710424,09/28/2018,376 UNIVERSITY AVE SW,302,Pittsburgh,V,33.72203,-84.40018,
ROBBERY-PEDESTRIAN,182710710,09/28/2018,1425 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76385,-84.43455,
AGG ASSAULT,182711799,09/28/2018,3113 CAMPBELLTON RD SW,409,Southwest,R,33.69261,-84.49098,
ROBBERY-PEDESTRIAN,182712410,09/28/2018,208 RAWSON ST SW,303,Mechanicsville,V,33.74444,-84.39432,
ROBBERY-PEDESTRIAN,182710093,09/28/2018,1155 COLEMAN ST SW,302,Pittsburgh,V,33.72343,-84.40414,
AGG ASSAULT,182710001,09/28/2018,350 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70509,-84.35714,
AGG ASSAULT,182711625,09/28/2018,1781 CAHOON ST SW,306,Sylvan Hills,X,33.70648,-84.4111,
AGG ASSAULT,182711424,09/28/2018,1080 PEACHTREE ST NE,503,Midtown,E,33.78409,-84.38353,
AGG ASSAULT,182710656,09/28/2018,3099 PANTHER TRL SW @APS THERRELL HS,409,Southwest,R,33.69931,-84.48914,
AGG ASSAULT,182710195,09/28/2018,1260 GLENWOOD AVE SE,612,East Atlanta,W,33.74024,-84.34645,
AGG ASSAULT,182710119,09/28/2018,1453 LOCKWOOD DR SW,403,Venetian Hills,S,33.71565,-84.43904,
AGG ASSAULT,182711982,09/28/2018,1400 LEE ST SW @Multiple,403,Oakland City,S,33.71597,-84.42565,
AGG ASSAULT,182712306,09/28/2018,847 COMMONWEALTH AVE SE,605,Grant Park,W,33.72985,-84.36253,
BURGLARY-RESIDENCE,182711162,09/28/2018,7 PEYTON PL SW,405,Harland Terrace,I,33.75396,-84.4767,
BURGLARY-RESIDENCE,182710883,09/28/2018,1253 LYNWAY LN SW,406,Cascade Heights,I,33.72131,-84.48683,
BURGLARY-RESIDENCE,182711085,09/28/2018,1768 WILLIS MILL ROAD SW,409,Adams Park,R,33.70805,-84.46954,
BURGLARY-NONRES,182711823,09/28/2018,354 SUSY GRIFFIN RD SE,312,Orchard Knob,Z,33.67343,-84.37832,
BURGLARY-RESIDENCE,182711099,09/28/2018,763 CUSTER AVE SE,607,Benteen Park,W,33.71685,-84.36295,
BURGLARY-RESIDENCE,182711512,09/28/2018,1740 LANGSTON AVE,306,Sylvan Hills,X,33.7075,-84.4216,
BURGLARY-RESIDENCE,182712091,09/28/2018,1090 HOLLYWOOD RD NW,109,Almond Park,G,33.78459,-84.46085,
BURGLARY-RESIDENCE,182712066,09/28/2018,361 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70623,-84.37672,
LARCENY-NON VEHICLE,182711712,09/28/2018,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,182711622,09/28/2018,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,182711676,09/28/2018,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,182711014,09/28/2018,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77064,-84.38179,
LARCENY-NON VEHICLE,182711015,09/28/2018,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,182712071,09/28/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,182712068,09/28/2018,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,182710405,09/28/2018,100 LAKEWOOD WAY SW,307,Lakewood Heights,Y,33.69921,-84.39286,
LARCENY-FROM VEHICLE,182710802,09/28/2018,71 13TH ST NE,503,Midtown,E,33.78535,-84.38516,
LARCENY-FROM VEHICLE,182710530,09/28/2018,1688 LISBON DR SW,306,Sylvan Hills,X,33.70866,-84.41255,
LARCENY-FROM VEHICLE,182712346,09/28/2018,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-FROM VEHICLE,182711797,09/28/2018,1583 WESTHAVEN DRIVE SW,404,Cascade Avenue/Road,S,33.73274,-84.43973,
LARCENY-FROM VEHICLE,182710096,09/28/2018,221 PEACHTREE CENTER AVE  NE,508,Downtown,M,33.76099,-84.38756,
