UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,182430342,08/31/2018,540 HUMPHRIES ST SW,303,Mechanicsville,V,33.7399,-84.40488,
ROBBERY-PEDESTRIAN,182430330,08/31/2018,SKIPPER DR NW / JONES RD NW,112,Center Hill,J,33.77736,-84.46346,
ROBBERY-PEDESTRIAN,182432036,08/31/2018,1332  LEE ST,403,Oakland City,S,33.71821,-84.4252,
ROBBERY-COMMERCIAL,182431163,08/31/2018,336 JOSEPH E LOWERY BLVD NW,106,Bankhead,K,33.76383,-84.41787,
ROBBERY-PEDESTRIAN,182431995,08/31/2018,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
AGG ASSAULT,182431617,08/31/2018,3440 BOULDER PARK DR SW,407,Mays,H,33.75004,-84.50063,
AGG ASSAULT,182432453,08/31/2018,1760 TIGER FLOWERS DR NW,105,West Lake,J,33.75943,-84.4448,
AGG ASSAULT,182432187,08/31/2018,3287 RENAULT RD SE,312,Orchard Knob,Z,33.66543,-84.37844,
BURGLARY-RESIDENCE,182431604,08/31/2018,1085 SIMS ST SW,302,Pittsburgh,V,33.72509,-84.40337,
BURGLARY-NONRES,182431087,08/31/2018,2505 FORREST PARK RD SE,308,Leila Valley,Z,33.68608,-84.36054,
BURGLARY-NONRES,182430734,08/31/2018,2497 FORREST PARK RD SE,308,Leila Valley,Z,33.68555,-84.36034,
BURGLARY-RESIDENCE,182430335,08/31/2018,2265 PERRY BLVD NW,110,Scotts Crossing,G,33.80595,-84.46416,
BURGLARY-NONRES,182431420,08/31/2018,1085 LINDBERGH DR NE @VARSITY JR,212,Lindridge/Martin Manor,F,33.81842,-84.35253,
LARCENY-NON VEHICLE,182431590,08/31/2018,1461 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71369,-84.35008,
LARCENY-NON VEHICLE,182432224,08/31/2018,1723 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70678,-84.38031,
LARCENY-NON VEHICLE,182432272,08/31/2018,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,182431601,08/31/2018,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,182432070,08/31/2018,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017,
LARCENY-FROM VEHICLE,182432311,08/31/2018,931 MONROE DR NE @TRADER JOES - MONROE,506,Midtown,E,33.77909,-84.36717,
LARCENY-FROM VEHICLE,182431862,08/31/2018,400 W PEACHTREE ST NW,504,Downtown,M,33.76614,-84.3876,
LARCENY-FROM VEHICLE,182432116,08/31/2018,1765 MEMORIAL DR SE,610,Kirkwood,O,33.74706,-84.32915,
LARCENY-FROM VEHICLE,182431538,08/31/2018,602 MCAFEE ST NW,504,Downtown,M,33.76838,-84.39474,
LARCENY-FROM VEHICLE,182432210,08/31/2018,870 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77833,-84.35308,
LARCENY-FROM VEHICLE,182431315,08/31/2018,2135 PIEDMONT RD NE,211,Lindridge/Martin Manor,F,33.81517,-84.36569,
LARCENY-FROM VEHICLE,182431169,08/31/2018,460 COLLIER RD NW @TANYARD CREEK,205,Collier Hills,C,33.81008,-84.40307,
LARCENY-FROM VEHICLE,182431148,08/31/2018,568 CHAPPELL RD NW,107,Grove Park,J,33.77075,-84.43407,
LARCENY-FROM VEHICLE,182430857,08/31/2018,1303 LUCILE AVE SW,401,West End,T,33.74252,-84.4304,
LARCENY-FROM VEHICLE,182431274,08/31/2018,2960 CASTLEWOOD DR NW,205,Castlewood,C,33.83535,-84.40778,
LARCENY-FROM VEHICLE,182430606,08/31/2018,3537 MARTIN L KING JR DR NW,111,Adamsville,H,33.75819,-84.50327,
LARCENY-FROM VEHICLE,182430453,08/31/2018,1237 CAHABA DRIVE SW,408,Venetian Hills,S,33.72145,-84.44867,
LARCENY-FROM VEHICLE,182430252,08/31/2018,110 FITZGERALD ST SE,604,Sweet Auburn,M,33.75285,-84.37265,
LARCENY-FROM VEHICLE,182431419,08/31/2018,1920 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80733,-84.41284,
LARCENY-FROM VEHICLE,182430941,08/31/2018,695 NORTH AVE NE @MASQUERADE CLUB,603,Old Fourth Ward,M,33.77073,-84.3645,
LARCENY-FROM VEHICLE,182430574,08/31/2018,90 W WIEUCA RD NE,209,East Chastain Park,B,33.87775,-84.38453,
LARCENY-FROM VEHICLE,182430428,08/31/2018,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425,
LARCENY-NON VEHICLE,182432177,08/31/2018,261 19TH ST NW,501,Atlantic Station,E,33.79371,-84.39677,
LARCENY-NON VEHICLE,182431853,08/31/2018,831 FLAT SHOALS WAY SE,612,East Atlanta,W,33.73143,-84.33162,
LARCENY-NON VEHICLE,182430910,08/31/2018,268 WESTMINSTER DR NE,502,Midtown,E,33.79392,-84.371,
LARCENY-NON VEHICLE,182431262,08/31/2018,592 WINDSOR ST SW,303,Mechanicsville,V,33.7391,-84.39799,
LARCENY-NON VEHICLE,182431487,08/31/2018,451 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70756,-84.37263,
LARCENY-NON VEHICLE,182431804,08/31/2018,1951 LEBANON DR NE,212,Piedmont Heights,F,33.80779,-84.37084,
LARCENY-NON VEHICLE,182432280,08/31/2018,3030 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68066,-84.49371,
LARCENY-NON VEHICLE,182430641,08/31/2018,2306 HOSEA L WILLIAMS DR NE,611,Kirkwood,O,33.75153,-84.31186,
AUTO THEFT,182431755,08/31/2018,1040 HUFF RD NW,203,Blandtown,D,33.78868,-84.42207,
AUTO THEFT,182431866,08/31/2018,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177,
AUTO THEFT,182431288,08/31/2018,46 WALLS ST,511,Downtown,M,33.75312,-84.38876,
