UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,181511180,05/31/2018,377 WINDSOR ST SW ,303,Mechanicsville,V,33.74172,-84.39836,
ROBBERY-PEDESTRIAN,181511106,05/31/2018,850 OAK ST SW,401,West End,T,33.74057,-84.4168,
ROBBERY-PEDESTRIAN,181510158,05/31/2018,860 GLENWOOD AVE SE,605,Grant Park,W,33.74032,-84.35965,
ROBBERY-COMMERCIAL,181510400,05/31/2018,2371 GLENWOOD AVE SE,611,East Lake,O,33.73966,-84.30934,
ROBBERY-PEDESTRIAN,181511635,05/31/2018,20 VANIRA AVE SE,304,Peoplestown,V,33.72971,-84.38722,
ROBBERY-RESIDENCE,181510494,05/31/2018,809 MAGNOLIA WAY NW,102,Vine City,L,33.75823,-84.41411,
ROBBERY-PEDESTRIAN,181512363,05/31/2018,97 10TH ST NW,503,Midtown,E,33.78159,-84.38894,
ROBBERY-PEDESTRIAN,181510017,05/31/2018,318 WESTCHESTER BLVD NW,107,Grove Park,J,33.76449,-84.45195,
AGG ASSAULT,181511684,05/31/2018,1049 KATHERWOOD DR SW,306,Sylvan Hills,X,33.71035,-84.42272,
AGG ASSAULT,181511779,05/31/2018,486 BOULEVARD NE @BEDFORD PINE APTS,603,Old Fourth Ward,M,33.7676,-84.37226,
AGG ASSAULT,181512243,05/31/2018,899 JOSEPH E LOWERY BLVD SW,401,West End,T,33.7307,-84.41782,
AGG ASSAULT,181510988,05/31/2018,625 CEDAR AVE NW,109,Center Hill,J,33.77215,-84.46527,
AGG ASSAULT,181510553,05/31/2018,730 PIEDMONT AVE NE,505,Midtown,E,33.77446,-84.38202,
BURGLARY-RESIDENCE,181511935,05/31/2018,55 MAPLE ST NW,102,Vine City,L,33.75569,-84.40528,
BURGLARY-RESIDENCE,181511209,05/31/2018,1013 PEEPLES ST SW,402,Oakland City,S,33.72751,-84.4228,
BURGLARY-RESIDENCE,181511221,05/31/2018,2421 BAKER RD NW,109,Center Hill,J,33.76973,-84.46675,
BURGLARY-RESIDENCE,181512426,05/31/2018,1018 HUTCHENS RD SE,313,South River Gardens,Z,33.66611,-84.35596,
BURGLARY-NONRES,181510248,05/31/2018,878 NORWOOD RD SE,308,Norwood Manor,Z,33.69718,-84.36085,
BURGLARY-NONRES,181511765,05/31/2018,196 PEACHTREE ST SW,512,Downtown,M,33.74908,-84.39419,
BURGLARY-NONRES,181510750,05/31/2018,684 JOHN WESLEY DOBBS AVE NE @BELTLINE BUSINESS,604,Old Fourth Ward,M,33.7598,-84.36443,
BURGLARY-RESIDENCE,181511065,05/31/2018,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315,
LARCENY-NON VEHICLE,181511557,05/31/2018,730 PEACHTREE ST,505,Midtown,E,33.77448,-84.38554,
LARCENY-NON VEHICLE,181511323,05/31/2018,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,181511407,05/31/2018,2405 FAIRBURN RD SW @BEN HILL PARK,413,,P,33.6889,-84.51291,
LARCENY-NON VEHICLE,181511944,05/31/2018,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996,
LARCENY-NON VEHICLE,181511668,05/31/2018,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,181510757,05/31/2018,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,181510177,05/31/2018,1860 MEMORIAL DR SE,610,Kirkwood,O,33.74774,-84.32665,
LARCENY-FROM VEHICLE,181512460,05/31/2018,424 ROCKWELL ST SE,302,Pittsburgh,V,33.73185,-84.40183,
LARCENY-FROM VEHICLE,181511402,05/31/2018,44 KROG ST NE,602,Inman Park,N,33.75542,-84.36482,
LARCENY-FROM VEHICLE,181511933,05/31/2018,8TH ST NE / PIEDMONT AVE NE,505,Midtown,E,33.77953,-84.38109,
LARCENY-FROM VEHICLE,181511936,05/31/2018,2020 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.81022,-84.41347,
LARCENY-FROM VEHICLE,181512097,05/31/2018,715 PEACHTREE ST NE,505,Midtown,E,33.774,-84.38412,
LARCENY-FROM VEHICLE,181512144,05/31/2018,3177 PEACHTREE RD NE,206,Buckhead Village,B,33.841,-84.37551,
LARCENY-FROM VEHICLE,181512419,05/31/2018,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-FROM VEHICLE,181511197,05/31/2018,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482,
LARCENY-FROM VEHICLE,181510271,05/31/2018,3177 PEACHTREE DR NE,211,Peachtree Park,B,33.84168,-84.36263,
LARCENY-FROM VEHICLE,181510335,05/31/2018,1855 GODDARD ST SE,308,Thomasville Heights,Z,33.70236,-84.35682,
LARCENY-FROM VEHICLE,181510382,05/31/2018,943 BILLINGS AVE SE,308,Thomasville Heights,Z,33.69995,-84.3586,
LARCENY-FROM VEHICLE,181510450,05/31/2018,676 ELKMONT DR NE,601,Virginia Highland,F,33.78665,-84.36514,
LARCENY-FROM VEHICLE,181510462,05/31/2018,853 ADAIR AVE NE,601,Virginia Highland,F,33.77975,-84.35944,
LARCENY-FROM VEHICLE,181511312,05/31/2018,1587 HOWELL MILL RD NW,207,Berkeley Park,D,33.79835,-84.41575,
LARCENY-FROM VEHICLE,181510534,05/31/2018,973 LUTHER ST SE,308,Thomasville Heights,Z,33.70081,-84.35756,
LARCENY-FROM VEHICLE,181512282,05/31/2018,2908 1ST AVE SW,311,Hammond Park,X,33.67532,-84.40007,
LARCENY-FROM VEHICLE,181510581,05/31/2018,1799 THOMASVILLE DR SE,308,Thomasville Heights,Z,33.7026,-84.35742,
LARCENY-FROM VEHICLE,181510621,05/31/2018,106 BAKER ST NE,509,Downtown,M,33.76246,-84.38386,
LARCENY-FROM VEHICLE,181510653,05/31/2018,3703 PEACHTREE RD NE,210,Ridgedale Park,B,33.85505,-84.35283,
LARCENY-FROM VEHICLE,181510691,05/31/2018,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,181510939,05/31/2018,2695 LENOX RD NE,210,Pine Hills,B,33.82766,-84.3543,
LARCENY-FROM VEHICLE,181510520,05/31/2018,423 GEORGIA AVE SE,605,Grant Park,W,33.73633,-84.37402,
LARCENY-FROM VEHICLE,181510086,05/31/2018,3566 MARTIN L KING JR DR SW,407,Adamsville,H,33.75869,-84.50476,
LARCENY-FROM VEHICLE,181510133,05/31/2018,655 CLEVELAND AVE SW,309,Perkerson,X,33.6824,-84.41029,
LARCENY-FROM VEHICLE,181510024,05/31/2018,580 14TH ST NW,501,Home Park,E,33.78596,-84.40621,
LARCENY-FROM VEHICLE,181510410,05/31/2018,470 THOMASVILLE BLVD ,308,Thomasville Heights,Z,33.70599,-84.35963,
LARCENY-FROM VEHICLE,181510984,05/31/2018,3535 PEACHTREE RD,209,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,181511685,05/31/2018,3393 PEACHTREE ROAD,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,181512379,05/31/2018,2887 GRAND AVE SW,311,Hammond Park,X,33.67718,-84.40226,
LARCENY-NON VEHICLE,181511015,05/31/2018,3280 PEACHTREE RD NE,208,North Buckhead,B,33.84443,-84.3711,
LARCENY-NON VEHICLE,181420629,05/31/2018,1579 MONROE DR,213,Piedmont Heights,F,33.79819,-84.36974,
LARCENY-NON VEHICLE,181510258,05/31/2018,3391 PEACHTREE RD NE @WESTIN HOTEL,210,Lenox,B,33.84886,-84.36517,
LARCENY-NON VEHICLE,181518055,05/31/2018,CONCOURSE D @11700 SPINE RD,703,,,33.64065,-84.42932,
LARCENY-NON VEHICLE,181512131,05/31/2018,3055 AZLEE PL NW,112,Collier Heights,I,33.78194,-84.48784,
LARCENY-NON VEHICLE,181511307,05/31/2018,675 METROPOLITAN PKWY SW,301,Adair Park,V,33.73653,-84.41018,
LARCENY-NON VEHICLE,181511024,05/31/2018,902 GASTON ST SW,402,Oakland City,S,33.73061,-84.43625,
AUTO THEFT,181502308,05/31/2018,3330 MARTIN L KING JR DR SW,407,Adamsville,H,33.75392,-84.49736,
AUTO THEFT,181512172,05/31/2018,976 OAKLAND DR SW ,402,Oakland City,S,33.72827,-84.42686,
AUTO THEFT,181511919,05/31/2018,1720 FOREST LAKES AVE SE,611,The Villages at East Lake,O,33.7451,-84.31185,
AUTO THEFT,181511990,05/31/2018,460 JEFFERSON CHASE CIR SE,312,Glenrose Heights,Z,33.66679,-84.38262,
AUTO THEFT,181510189,05/31/2018,65 JOSEPH E LOWERY BLVD NW @Multiple,102,Vine City,L,33.75634,-84.41742,
AUTO THEFT,181511019,05/31/2018,1498 EASON ST NW,105,Hunter Hills,K,33.75733,-84.43657,
AUTO THEFT,181510541,05/31/2018,602 REED ST SE,304,Summerhill,V,33.73827,-84.38538,
AUTO THEFT,181500297,05/30/2018,600 BRONNER BROS WAY SW,302,Pittsburgh,V,33.73692,-84.40671,
AUTO THEFT,181500924,05/30/2018,2748 OLDKNOW DR NW,112,Collier Heights,I,33.7715,-84.4776,
AUTO THEFT,181502190,05/30/2018,1856 PIEDMONT AVE NE,212,Piedmont Heights,F,33.80678,-84.36669,
AUTO THEFT,181501646,05/30/2018,159 ARMOUR DR NE,212,Oakland City,S,33.71745,-84.42752,
