UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,193340301,11/30/2019,189 MILLS ST NW,504,Downtown,M,33.76541,-84.39358,
ROBBERY-PEDESTRIAN,193342309,11/30/2019,3601 MARTIN L KING JR DR NW,111,Adamsville,H,33.76011,-84.50557,
ROBBERY-COMMERCIAL,193341187,11/30/2019,1459 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71443,-84.35009,
ROBBERY-COMMERCIAL,193342015,11/30/2019,906 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73794,-84.41735,
ROBBERY-COMMERCIAL,193341322,11/30/2019,1350 JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76333,-84.43206,
ROBBERY-RESIDENCE,193342346,11/30/2019,3656 CROFT PL NW,114,Carroll Heights,H,33.77509,-84.50723,
AGG ASSAULT,193340336,11/30/2019,345 EDGEWOOD AVE SE,604,Sweet Auburn,M,33.75427,-84.37626,
AGG ASSAULT,193340997,11/30/2019,925 CANTERBURY RD NE,210,Midtown,E,33.78742,-84.38333,
AGG ASSAULT,193341986,11/30/2019,104 DAHLIA AVE NW,108,Dixie Hills,J,33.75576,-84.46246,
AGG ASSAULT,193341466,11/30/2019,3000 CONTINENTAL COLONY PKWY SW,402,Oakland City,S,33.72559,-84.42586,
AGG ASSAULT,193340509,11/30/2019,2950 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75362,-84.48477,
AGG ASSAULT,193341240,11/30/2019,3901 CAMPBELLTON RD SW,,Kings Forest,P,33.69231,-84.51621,
AGG ASSAULT,193341121,11/30/2019,3544 FORREST PARK RD SE,313,South River Gardens,Z,33.65699,-84.35514,
AGG ASSAULT,193340344,11/30/2019,3223 CAINS HILL PL NW,206,South Tuxedo Park,B,33.84251,-84.38044,
AGG ASSAULT,193340844,11/30/2019,1468 LUCILE AVE SW,404,Westview,T,33.7424,-84.43577,
BURGLARY-RESIDENCE,193342209,11/30/2019,1240 W PEACHTREE ST NW,502,Midtown,E,33.788,-84.3879,
BURGLARY-RESIDENCE,193341323,11/30/2019,213 FAIRBURN RD NW,111,Adamsville,H,33.76136,-84.50424,
BURGLARY-RESIDENCE,193340969,11/30/2019,782 PEACHTREE ST NE,505,Midtown,E,33.77593,-84.38466,
BURGLARY-RESIDENCE,193340895,11/30/2019,179 TROY ST NW,105,Hunter Hills,K,33.76091,-84.4254,
BURGLARY-RESIDENCE,193340705,11/30/2019,344 JOSEPH E LOWERY BLVD NW,106,Bankhead,K,33.76404,-84.41778,
BURGLARY-NONRES,193340648,11/30/2019,880 GLENWOOD AVE SE,606,Grant Park,W,33.74058,-84.35903,
BURGLARY-NONRES,193340551,11/30/2019,156 FORSYTH ST SW ,512,Downtown,M,33.7502,-84.3953,
LARCENY-NON VEHICLE,193348011,11/30/2019,6234 SPINE RD,707,,,33.64072,-84.44435,
LARCENY-NON VEHICLE,193341267,11/30/2019,74 NORTHSIDE DR SW @GWCC CHEVRON,507,Castleberry Hill,M,33.75267,-84.40252,
LARCENY-NON VEHICLE,193341250,11/30/2019,1 PARK PL SE,510,Downtown,M,33.75438,-84.38849,
LARCENY-NON VEHICLE,193341711,11/30/2019,2034 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.69873,-84.40798,
LARCENY-NON VEHICLE,193341351,11/30/2019,230 18TH ST NW,501,Atlantic Station,E,33.7923,-84.39552,
LARCENY-NON VEHICLE,193341936,11/30/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,193341405,11/30/2019,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,
