UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,180312381,01/31/2018,1695 MARIETTA BLVD NW,203,Hills Park,D,33.80092,-84.43451,
ROBBERY-PEDESTRIAN,180310247,01/31/2018,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,
ROBBERY-PEDESTRIAN,180310249,01/31/2018,1305 OAKLAND DR SW @OAKLAND CITY PARK,403,Oakland City,S,33.71896,-84.42892,
ROBBERY-PEDESTRIAN,180312606,01/31/2018,520 FLAT SHOALS AVE SE,612,East Atlanta,W,33.73951,-84.34459,
AGG ASSAULT,180310884,01/31/2018,515 FULTON ST SW,303,Mechanicsville,V,33.741,-84.40447,
AGG ASSAULT,180312351,01/31/2018,1080 PEACHTREE ST NE,503,Midtown,E,33.78398,-84.38339,
BURGLARY-RESIDENCE,180312480,01/31/2018,4 WHATLEY ST SE,307,Lakewood Heights,Y,33.70709,-84.37923,
BURGLARY-RESIDENCE,180312584,01/31/2018,3760 BRANCH DR SW,407,Fairburn Road/Wisteria Lane,H,33.7493,-84.51144,
BURGLARY-RESIDENCE,180312633,01/31/2018,4065 SOUTHWOOD CIR SW,412,Ben Hill Terrace,P,33.69549,-84.52088,
BURGLARY-RESIDENCE,180311512,01/31/2018,960 E PACES FERRY RD NE,210,Buckhead Heights,B,33.84691,-84.35618,
BURGLARY-RESIDENCE,180311925,01/31/2018,517 8TH ST NE,506,Midtown,E,33.77928,-84.37015,
BURGLARY-RESIDENCE,180312077,01/31/2018,747 MATILDA PL NW,110,Grove Park,J,33.77529,-84.44276,
BURGLARY-RESIDENCE,180312134,01/31/2018,807 BONNEVILLE TER NW,114,Carroll Heights,H,33.77778,-84.50452,
BURGLARY-NONRES,180310798,01/31/2018,1634 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70965,-84.37962,
BURGLARY-NONRES,180310712,01/31/2018,3235 PACES FERRY PL NW,206,South Tuxedo Park,B,33.84316,-84.38168,
BURGLARY-RESIDENCE,180312266,01/31/2018,2868 ENGLE RD NW,112,Collier Heights,I,33.76959,-84.48106,
BURGLARY-RESIDENCE,180311585,01/31/2018,1483 WESTWOOD AVENUE SW,404,Westview,T,33.73832,-84.43619,
BURGLARY-RESIDENCE,180310817,01/31/2018,2151 BELVEDERE AVE SW,409,Adams Park,R,33.72092,-84.45879,
LARCENY-NON VEHICLE,180311154,01/31/2018,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY-NON VEHICLE,180311661,01/31/2018,850 OAK ST SW @WESTEND MALL,401,West End,T,33.74053,-84.41671,
LARCENY-NON VEHICLE,180312336,01/31/2018,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,180312206,01/31/2018,500 PEACHTREE ST NE,208,Downtown,M,33.76878,-84.38535,
LARCENY-FROM VEHICLE,180311725,01/31/2018,171 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68156,-84.39458,
LARCENY-FROM VEHICLE,180311996,01/31/2018,2200 CAMPBELLTON RD SW,410,Campbellton Road,R,33.7053,-84.46047,
LARCENY-FROM VEHICLE,180312414,01/31/2018,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,180312534,01/31/2018,957 VIRGINIA AVE,601,Virginia Highland,F,33.78198,-84.35605,
LARCENY-FROM VEHICLE,180318054,01/31/2018,2200 RENTAL CAR CENTER PKWY,707,,,33.63751,-84.44824,
LARCENY-FROM VEHICLE,180310925,01/31/2018,1055 PIEDMONT AVE NE,502,Midtown,E,33.78346,-84.37931,
LARCENY-FROM VEHICLE,180310061,01/31/2018,691 PENN AVE NE,505,Midtown,E,33.77338,-84.37856,
LARCENY-FROM VEHICLE,180310146,01/31/2018,543 STOKESWOOD AVE SE,612,East Atlanta,W,33.73949,-84.34501,
LARCENY-FROM VEHICLE,180310161,01/31/2018,437 MORELAND AVE NE,608,Candler Park,N,33.76632,-84.34892,
LARCENY-FROM VEHICLE,180310488,01/31/2018,976 GILBERT ST SE,607,Ormewood Park,W,33.72787,-84.35055,
LARCENY-FROM VEHICLE,180310584,01/31/2018,2470 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82236,-84.35173,
LARCENY-FROM VEHICLE,180310728,01/31/2018,515 JOHN WESLEY DOBBS AVE NE,604,Sweet Auburn,M,33.75912,-84.3726,
LARCENY-FROM VEHICLE,180312529,01/31/2018,880 GLENWOOD AVE SE,606,Grant Park,W,33.73991,-84.35917,
LARCENY-FROM VEHICLE,180310810,01/31/2018,395 CENTRAL PARK PL NE,603,Old Fourth Ward,M,33.76536,-84.3777,
LARCENY-FROM VEHICLE,180311511,01/31/2018,2798 PEEK RD NW,112,Collier Heights,I,33.77743,-84.47815,
LARCENY-NON VEHICLE,180311416,01/31/2018,1086 MONROE DR NE,601,Virginia Highland,F,33.78439,-84.36815,
LARCENY-NON VEHICLE,180310552,01/31/2018,3535 NORTHSIDE PKWY NW,202,Randall Mill,A,33.85087,-84.42902,
LARCENY-NON VEHICLE,180311017,01/31/2018,3378 GREENBRIAR PKWY SW,413,,P,33.68299,-84.50129,
LARCENY-NON VEHICLE,180310875,01/31/2018,465 MEMORIAL DR SE,605,Grant Park,W,33.74651,-84.37221,
LARCENY-NON VEHICLE,180281387,01/31/2018,555 MCDANIEL ST,303,Mechanicsville,V,33.7404,-84.4026,
LARCENY-NON VEHICLE,180310903,01/31/2018,1229 MILTON TER SE,305,Chosewood Park,Y,33.72124,-84.38177,
LARCENY-NON VEHICLE,180312113,01/31/2018,941 ORMEWOOD AVE SE,607,Ormewood Park,W,33.73415,-84.35682,
LARCENY-NON VEHICLE,180311877,01/31/2018,924 STONEWALL DR SE,308,Leila Valley,Z,33.69138,-84.35883,
LARCENY-NON VEHICLE,180311451,01/31/2018,2974 BENJAMIN E MAYS DR SW,406,Cascade Heights,I,33.73154,-84.4847,
LARCENY-NON VEHICLE,180311299,01/31/2018,565 MAIN ST NE,211,Lindbergh/Morosgo,B,33.8224,-84.36851,
AUTO THEFT,180310123,01/31/2018,264 HUNNICUTT ST NW,504,Downtown,M,33.76655,-84.39554,
AUTO THEFT,180311290,01/31/2018,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67339,-84.37144,
AUTO THEFT,180300641,01/30/2018,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403,
AUTO THEFT,180301305,01/30/2018,1936 DETROIT AVE NW,107,Grove Park,J,33.76657,-84.45019,
AUTO THEFT,180301767,01/30/2018,924 N GRAND AVE NW,109,Almond Park,G,33.78026,-84.46252,
AUTO THEFT,180300240,01/30/2018,2320 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81816,-84.35211,
AUTO THEFT,180300186,01/30/2018,741 CHURCH ST NW,109,Center Hill,J,33.7748,-84.46755,
AUTO THEFT,180300919,01/30/2018,1783 JOHNSON RD NW,110,Rockdale,G,33.78547,-84.44593,
AUTO THEFT,180301009,01/30/2018,525 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.76889,-84.36668,
AUTO THEFT,180302456,01/30/2018,2745 OLD HAPEVILLE RD SW ,311,Glenrose Heights,Z,33.68009,-84.3942,
AUTO THEFT,180302347,01/30/2018,607 AMAL DR SW,307,Amal Heights,Y,33.70837,-84.39843,
AUTO THEFT,180302294,01/30/2018,2980 JONESBORO RD,313,South River Gardens,Z,33.67386,-84.37063,
LARCENY-NON VEHICLE,180301317,01/30/2018,485  LORIDANS DR NE,209,North Buckhead,B,33.87212,-84.37147,
LARCENY-NON VEHICLE,180301295,01/30/2018,LEGACY DR SW / SELLS AVE SW,104,Harris Chiles,T,33.74541,-84.41926,
LARCENY-NON VEHICLE,180301097,01/30/2018,857 MCDANIEL ST SW,302,Pittsburgh,V,33.73154,-84.40193,
LARCENY-NON VEHICLE,180301535,01/30/2018,2970 MIDDLETON RD NW,111,,I,33.75276,-84.48826,
LARCENY-NON VEHICLE,180302668,01/30/2018,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,180302021,01/30/2018,1760 ROGERS AVE SW,404,Westview,T,33.73711,-84.4453,
LARCENY-NON VEHICLE,180301773,01/30/2018,3535 PEACHTREE RD NE,210,Lenox,B,33.85272,-84.36021,
LARCENY-NON VEHICLE,180301518,01/30/2018,1677 RICHMOND AVE SE,307,Lakewood Heights,Y,33.70311,-84.37663,
LARCENY-NON VEHICLE,180302802,01/30/2018,2392 LOWE ST NW,203,Riverside,D,33.81036,-84.46648,
LARCENY-FROM VEHICLE,180300933,01/30/2018,1903 PIEDMONT CIR NE,212,Piedmont Heights,F,33.80876,-84.3662,
LARCENY-FROM VEHICLE,180301025,01/30/2018,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-FROM VEHICLE,180301249,01/30/2018,2548 PARKSIDE DR NE,206,Peachtree Heights East,B,33.82484,-84.38561,
LARCENY-FROM VEHICLE,180302525,01/30/2018,201 PETERS ST SW,507,Castleberry Hill,M,33.74915,-84.40015,
LARCENY-FROM VEHICLE,180302707,01/30/2018,680 PONCE DE LEON AVE NE,506,Midtown,E,33.77406,-84.36528,
LARCENY-FROM VEHICLE,180302790,01/30/2018,3340 Peachtree Rd,208,Buckhead Village,B,33.8391,-84.37811,
LARCENY-FROM VEHICLE,180302792,01/30/2018,73 SPRUCE ST NE,602,Inman Park,N,33.75606,-84.36114,
LARCENY-FROM VEHICLE,180302838,01/30/2018,450 STONEWALL ST SW,507,Castleberry Hill,M,33.74942,-84.40228,
LARCENY-FROM VEHICLE,180300374,01/30/2018,1118 COLQUITT AVE NE,602,Inman Park,N,33.76503,-84.35052,
LARCENY-FROM VEHICLE,180300399,01/30/2018,180 SPRING ST SW,512,Downtown,M,33.74996,-84.3974,
LARCENY-FROM VEHICLE,180300617,01/30/2018,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623,
LARCENY-FROM VEHICLE,180302695,01/30/2018,7 KINGS CIR NE,211,Peachtree Hills,B,33.81859,-84.38121,
LARCENY-FROM VEHICLE,180300710,01/30/2018,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161,
