UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,201191443,04/30/2020,145 MURRAY HILL AVE NE,610,Kirkwood,O,33.7565,-84.31554,
LARCENY,201201046,04/30/2020,22 14TH ST NW,502,Midtown,E,33.78675,-84.38677,
LARCENY,201201407,04/30/2020,1100 FULTON INDUSTRIAL BLVD NW,,Bankhead/Bolton,H,33.78714,-84.50984,
LARCENY,201210079,04/30/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465,
AGG ASSAULT,201210089,04/30/2020,3180 PEACHTREE RD NE,208,Buckhead Forest,B,33.84183,-84.3759,
AUTO THEFT,201210375,04/30/2020,125 GLENROSE CIR SW,312,Glenrose Heights,Z,33.67087,-84.39269,
AUTO THEFT,201210415,04/30/2020,2121 BAKER RD NW,109,Grove Park,J,33.77044,-84.45724,
BURGLARY,201210439,04/30/2020,501 BURROUGHS ST SE,305,Chosewood Park,Y,33.71733,-84.37148,
AUTO THEFT,201210456,04/30/2020,174 ADAIR AVE SE,307,Lakewood Heights,Y,33.70651,-84.38243,
LARCENY,201210531,04/30/2020,1659 MONROE DR NE,613,Piedmont Heights,F,33.79986,-84.37099,
LARCENY,201210534,04/30/2020,930 SELLS AVE SW,104,Harris Chiles,T,33.74532,-84.41842,
LARCENY,201210593,04/30/2020,1691 EZRA CHURCH DR NW,105,West Lake,J,33.762,-84.4424,
ROBBERY,201210616,04/30/2020,500 MORGAN ST NE,603,Old Fourth Ward,M,33.76907,-84.37084,
LARCENY,201210627,04/30/2020,1627 HASTY PL NW,107,Grove Park,J,33.76935,-84.44115,
LARCENY,201210732,04/30/2020,127 CENTRAL AVE SW,511,Downtown,M,33.75136,-84.38955,
AUTO THEFT,201210738,04/30/2020,800 MARIETTA ST NW,504,Marietta Street Artery,E,33.77381,-84.40575,
BURGLARY,201210810,04/30/2020,257 TRINITY AVE SW,512,Downtown,M,33.75081,-84.39631,
LARCENY,201210821,04/30/2020,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996,
AUTO THEFT,201210831,04/30/2020,3050 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75177,-84.4857,
AGG ASSAULT,201210871,04/30/2020,2098 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70645,-84.45715,
LARCENY,201210939,04/30/2020,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY,201211020,04/30/2020,575 FOUNDRY,102,Vine City,L,33.75933,-84.40609,
BURGLARY,201211061,04/30/2020,104 CANDLELIGHT LN SW,407,Baker Hills,H,33.75717,-84.52014,
LARCENY,201211079,04/30/2020,699 WILSON RD NW,205,Springlake,C,33.81586,-84.411,
LARCENY,201211080,04/30/2020,2489 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82226,-84.35055,
