UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,193042402,10/31/2019,241 FORSYTH ST SW @MAGIC CITY,512,Downtown,M,33.74827,-84.39732,
ROBBERY-RESIDENCE,193041412,10/31/2019,2084 VERBENA ST NW,108,Penelope Neighbors,J,33.75431,-84.45512,
AGG ASSAULT,193042237,10/31/2019,500 ENGLEWOOD AVE SE,305,Chosewood Park,Y,33.72246,-84.37176,
AGG ASSAULT,193042394,10/31/2019,3154 CUSHMAN CIR SW,406,,I,33.74897,-84.49139,
AGG ASSAULT,193041143,10/31/2019,1277 JASPER ST SW,104,Mozley Park,K,33.75271,-84.42929,
BURGLARY-RESIDENCE,193041985,10/31/2019,2946 OLDKNOW DR NW,112,Collier Heights,I,33.77156,-84.48414,
BURGLARY-RESIDENCE,193041862,10/31/2019,370 PEACHTREE HILLS AVE NE,211,Peachtree Hills,B,33.81841,-84.37477,
BURGLARY-RESIDENCE,193041523,10/31/2019,2800 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75431,-84.4793,
BURGLARY-NONRES,193040402,10/31/2019,2740 GREENBRIAR PKWY SW @GREENBRIAR VILLAGE,411,Greenbriar,R,33.68887,-84.48877,
BURGLARY-NONRES,193040904,10/31/2019,309 N HIGHLAND AVE NE,602,Inman Park,N,33.76299,-84.35777,
BURGLARY-RESIDENCE,193040397,10/31/2019,1516 MURPHY AVE SW,306,Sylvan Hills,X,33.71358,-84.42561,
BURGLARY-RESIDENCE,193042255,10/31/2019,336 EUGENIA ST SW UNIT B ATLANTA GA 30312,303,Mechanicsville,V,33.74293,-84.39896,
LARCENY-NON VEHICLE,193041482,10/31/2019,2457 MARTIN L KING JR DR NW @HIGHTOWER PLAZA,111,Harland Terrace,I,33.7523,-84.46786,
LARCENY-NON VEHICLE,193041040,10/31/2019,1820 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.80548,-84.47103,
LARCENY-NON VEHICLE,193041239,10/31/2019,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77299,-84.36504,
LARCENY-NON VEHICLE,193041277,10/31/2019,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-NON VEHICLE,193041320,10/31/2019,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208,
LARCENY-NON VEHICLE,193040696,10/31/2019,3440 PEACHTREE RD NE,208,North Buckhead,B,33.85166,-84.36235,
LARCENY-NON VEHICLE,193041469,10/31/2019,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77296,-84.36504,
