UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
LARCENY,201360676,5/15/2020,689 LEXINGTON AVE SW,301,Adair Park,V,33.72363,-84.41019
AGG ASSAULT,201360704,5/15/2020,360 PHARR RD NE,206,Buckhead Village,B,33.83752,-84.37574
LARCENY,201360806,5/15/2020,166 PEACHTREE HILLS AVE NE,211,Peachtree Hills,B,33.81805,-84.38225
AGG ASSAULT,201360834,5/15/2020,2276 SUTTON ST SE,611,Kirkwood,O,33.74841,-84.31289
HOMICIDE,201360862,5/15/2020,330 PRYOR ST SW,303,Mechanicsville,V,33.74523,-84.39435
LARCENY,201360871,5/15/2020,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
LARCENY,201360897,5/15/2020,635 RANKIN ST NE,603,Old Fourth Ward,M,33.7671,-84.36662
BURGLARY,201360913,5/15/2020,151 14TH ST NW,501,Home Park,E,33.7873,-84.39241
LARCENY,201360944,5/15/2020,2203 BROWNS MILL RD SE,310,Lakewood,Z,33.69349,-84.37415
AGG ASSAULT,201360962,5/15/2020,820 W MARIETTA ST NW,506,English Avenue,L,33.78089,-84.41622
AUTO THEFT,201361009,5/15/2020,815 MAGNOLIA WAY NW,102,Vine City,L,33.75823,-84.41418
LARCENY,201361164,5/15/2020,3157 STONEGATE DR SW,411,Greenbriar,R,33.67089,-84.49454
AGG ASSAULT,201361188,5/15/2020,2456 MARTIN L KING JR DR SW,405,Adamsville,H,33.76208,-84.5076
LARCENY,201361196,5/15/2020,726 PENN AVE NE,505,Midtown,E,33.77445,-84.37917
LARCENY,201361240,5/15/2020,508 GREENWOOD AVE NE,614,Midtown,E,33.77731,-84.37061
BURGLARY,201361371,5/15/2020,954 FAIR ST SW,104,Ashview Heights,T,33.74887,-84.41883
LARCENY,201361390,5/15/2020,1937 MEADOR AVE SE,307,Lakewood Heights,Y,33.70133,-84.38054
AGG ASSAULT,201361412,5/15/2020,3657 MARTIN L KING JR DR NW,111,Adamsville,H,33.76208,-84.5076
LARCENY,201361487,5/15/2020,87 WALTON ST NW @VEW WALTON,508,Downtown,M,33.75689,-84.39112
LARCENY,201361547,5/15/2020,3048 MIDDLETON RD NW,111,,I,33.75289,-84.48935
LARCENY,201361571,5/15/2020,950 W PEACHTREE ST NW @PUBLIX - W PEACHTREE,503,Midtown,E,33.78014,-84.38747
LARCENY,201361579,5/15/2020,807 CASCADE AVE SW,404,Cascade Avenue/Road,S,33.73323,-84.43795
AGG ASSAULT,201361584,5/15/2020,906 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73794,-84.41735
AGG ASSAULT,201361593,5/15/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254
AUTO THEFT,201361607,5/15/2020,2111 CAMPBELLTON RD SW,409,,R,33.70643,-84.45745
LARCENY,201361665,5/15/2020,765 JONES AVE NW,506,English Avenue,L,33.76444,-84.41247
LARCENY,201361673,5/15/2020,98 POLAR ROCK RD SW,310,Polar Rock,Z,33.69596,-84.39186
LARCENY,201361674,5/15/2020,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276
AGG ASSAULT,201361680,5/15/2020,396 RAWSON ST SW,303,Mechanicsville,V,33.74304,-84.40074
LARCENY,201361692,5/15/2020,2900 PEACHTREE RD NW @PUBLIX - PEACHTREE,206,Peachtree Heights West,B,33.83399,-84.3841
LARCENY,201361708,5/15/2020,2610 METROPOLITAN PKWY SW,309,Perkerson,X,33.68333,-84.40734
AGG ASSAULT,201361729,5/15/2020,136 VINE ST NW,102,Vine City,L,33.75831,-84.40799
AGG ASSAULT,201361894,5/15/2020,1456 COPELAND AVE SW,402,West End,T,33.73579,-84.43528
AGG ASSAULT,201361992,5/15/2020,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968
AUTO THEFT,201362010,5/15/2020,2060 PEACHTREE RD NW,207,,E,33.81115,-84.39289
LARCENY,201362020,5/15/2020,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77299,-84.36504
AGG ASSAULT,201362035,5/15/2020,MORELAND AVE SE / I-20 EB EXPY SE,606,Ormewood Park,W,33.74534,-84.34923
LARCENY,201350112,5/14/2020,232 FORSYTH ST SW @GREYHOUND BUS DEPOT,512,Downtown,M,33.74852,-84.39636
BURGLARY,201350125,5/14/2020,133 LUCKIE ST NW ,508,Downtown,M,33.75864,-84.39062
LARCENY,201350183,5/14/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465
LARCENY,201350202,5/14/2020,516 MAGNOLIA ST NW,102,Vine City,L,33.75794,-84.40449
LARCENY,201350350,5/14/2020,241 FORSYTH ST SW @MAGIC CITY,512,Downtown,M,33.74827,-84.39732
LARCENY,201350361,5/14/2020,970 SPRING ST NW,503,Midtown,E,33.78123,-84.38946
LARCENY,201350376,5/14/2020,120 PIEDMONT AVE NE,510,Downtown,M,33.75776,-84.38252
LARCENY,201350422,5/14/2020,3147 LOVELL DR SW,409,Southwest,R,33.70525,-84.49226
BURGLARY,201350453,5/14/2020,794 JUNIPER ST NE,505,Midtown,E,33.7762,-84.38319
AGG ASSAULT,201350523,5/14/2020,844 JETT ST NW,506,English Avenue,L,33.76722,-84.415
LARCENY,201350548,5/14/2020,1057 RIDGE AVE SW,304,Peoplestown,V,33.72588,-84.3919
LARCENY,201350630,5/14/2020,60 PASCHAL BLVD NW,102,Vine City,L,33.75783,-84.41419
LARCENY,201350674,5/14/2020,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77067,-84.38023
LARCENY,201350724,5/14/2020,2788 DEFOORS FERRY RD NW,201,,C,33.82114,-84.44713
LARCENY,201350738,5/14/2020,1450 LA FRANCE ST NE,609,Edgewood,O,33.76066,-84.34017
LARCENY,201350754,5/14/2020,1490 S GORDON ST SW,404,Westview,T,33.73911,-84.43668
LARCENY,201350894,5/14/2020,953 MARTIN L KING JR DR NW,105,Washington Park,K,33.75494,-84.41879
LARCENY,201351002,5/14/2020,395 JAMES P BRAWLEY DR NW,506,English Avenue,L,33.76542,-84.41229
LARCENY,201351003,5/14/2020,2114 CHILDRESS DR SW,409,Southwest,R,33.69789,-84.48595
LARCENY,201351075,5/14/2020,3703 PEACHTREE RD NE,210,Ridgedale Park,B,33.85505,-84.35283
LARCENY,201351098,5/14/2020,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
AGG ASSAULT,201351117,5/14/2020,1993 BENT CREEK WAY SW,410,Campbellton Road,R,33.70084,-84.46568
LARCENY,201351172,5/14/2020,62 HARWELL RD NW,111,,I,33.7538,-84.493
AGG ASSAULT,201351205,5/14/2020,387 CLEVELAND AVE SW,309,Perkerson,X,33.6816,-84.40215
LARCENY,201351219,5/14/2020,264 PETERS ST SW,507,Castleberry Hill,M,33.7472,-84.40141
LARCENY,201351295,5/14/2020,2758 VINEYARDS DR,312,Rosedale Heights,Z,33.67973,-84.3698
LARCENY,201351700,5/14/2020,405 10TH ST NE,502,Midtown,E,33.78178,-84.37406
AGG ASSAULT,201351833,5/14/2020,717 LEE ST SW,401,West End,T,33.73516,-84.41421
AUTO THEFT,201351844,5/14/2020,1521 PEACHTREE ST NE,502,Midtown,E,33.79607,-84.38745
AGG ASSAULT,201331761,5/13/2020,146 SUNSET AVE NW,102,Vine City,L,33.75867,-84.41034
ROBBERY,201340041,5/13/2020,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425
LARCENY,201340056,5/13/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465
AGG ASSAULT,201340111,5/13/2020,1114 OAK KNOLL TER SE,307,Lakewood Heights,Y,33.70825,-84.37645
ROBBERY,201340119,5/13/2020,2331 PEACHTREE RD NE,211,Peachtree Hills,B,33.81831,-84.38853
AGG ASSAULT,201340202,5/13/2020,193 MOURY AVE SW,305,The Villages at Carver,Y,33.71549,-84.39197
AGG ASSAULT,201340274,5/13/2020,1483 ARTHUR LANGFORD JR PL SW,307,Joyland,Y,33.71097,-84.39789
LARCENY,201340329,5/13/2020,1051 FERN AVE SE,304,Peoplestown,V,33.72594,-84.38529
LARCENY,201340352,5/13/2020, 3181 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.78619,-84.49113
LARCENY,201340482,5/13/2020,1031 STATE ST NW,501,Home Park,E,33.78272,-84.39892
AGG ASSAULT,201340510,5/13/2020,2328 CAMPBELLTON RD SW ,410,Campbellton Road,R,33.70419,-84.46339
BURGLARY,201340514,5/13/2020,2489 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82226,-84.35055
AUTO THEFT,201340518,5/13/2020,745 FOUNTAINHEAD LANE,211,Lindbergh/Morosgo,B,33.81907,-84.36415
LARCENY,201340542,5/13/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465
BURGLARY,201340561,5/13/2020,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403
LARCENY,201340570,5/13/2020,1860 MEMORIAL DR SE,610,Kirkwood,O,33.74774,-84.32665
LARCENY,201340594,5/13/2020,1124 WESTVIEW DR SW,104,West End,T,33.74702,-84.42406
LARCENY,201340610,5/13/2020,718 LAVERNE DR NW,112,Collier Heights,I,33.77465,-84.48814
ROBBERY,201340682,5/13/2020,I-75-85 SB EXPY SW / UNIVERSITY AVE SW,302,Pittsburgh,V,33.72213,-84.395
LARCENY,201340707,5/13/2020,1184 SPRING ST NW,502,Midtown,E,33.78697,-84.38959
LARCENY,201340734,5/13/2020,811 WOODBOURNE DR SW,306,Sylvan Hills,X,33.7098,-84.4153
LARCENY,201340856,5/13/2020,595 NORTH AVE ,506,English Avenue,L,33.77013,-84.40695
LARCENY,201340977,5/13/2020,982 MEMORIAL DR SE,606,Reynoldstown,N,33.74677,-84.35517
LARCENY,201340985,5/13/2020,215 FORSYTH ST SW,512,Downtown,M,33.74892,-84.3968
LARCENY,201341006,5/13/2020,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521
BURGLARY,201341057,5/13/2020,1500 BEECHER ST SW,402,Oakland City,S,33.73318,-84.4367
LARCENY,201341114,5/13/2020,3251 PINESTREAM RD NW,202,West Paces Ferry/Northside,A,33.8439,-84.42212
AUTO THEFT,201341154,5/13/2020,326 NELSON ST SW,507,Castleberry Hill,M,33.75149,-84.39839
ROBBERY,201341289,5/13/2020,874 MITCHELL ST SW,101,Atlanta University Center,T,33.75329,-84.41621
LARCENY,201341313,5/13/2020,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805
AUTO THEFT,201341404,5/13/2020,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532
ROBBERY,201341461,5/13/2020,751 FAIRBURN RD SW,407,Fairburn Mays,H,33.73454,-84.51059
AUTO THEFT,201341580,5/13/2020,792 LAKE AVE NE,602,Inman Park,N,33.75863,-84.36194
AUTO THEFT,201341669,5/13/2020,370 NORTHSIDE DR NW,506,English Avenue,L,33.76507,-84.4042
LARCENY,201341800,5/13/2020,800 GLENWOOD AVE SE,605,Grant Park,W,33.74234,-84.36002
AUTO THEFT,201342022,5/13/2020,634 WHITEHALL ST SW,303,Adair Park,V,33.74179,-84.40844
AGG ASSAULT,201330098,5/12/2020,1634 MAY AVE SE,612,East Atlanta,W,33.73913,-84.33425
BURGLARY,201330129,5/12/2020,133 LUCKIE ST NW @BONA ALLEN,508,Downtown,M,33.75864,-84.39062
LARCENY,201330163,5/12/2020,380 DOLLAR MILL CT SW,407,Ridgecrest Forest,H,33.74383,-84.52518
LARCENY,201330195,5/12/2020,940 S RIVER INDUSTRIAL BLVD SE,308,Rebel Valley Forest,Z,33.6837,-84.35975
LARCENY,201330370,5/12/2020,1956 OANA ST SW,306,Sylvan Hills,X,33.70118,-84.41287
AGG ASSAULT,201330385,5/12/2020,2000 CHICAGO AVE NW,107,Grove Park,J,33.7649,-84.45248
LARCENY,201330391,5/12/2020,905 BRIARCLIFF RD NE,608,Druid Hills,N,33.77906,-84.34515
LARCENY,201330394,5/12/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561
LARCENY,201330398,5/12/2020,830 WILLOUGHBY WAY NE @HISTORIC 4TH WARD PK,603,Old Fourth Ward,M,33.76585,-84.35999
LARCENY,201330493,5/12/2020,1812 GLENVIEW DR SW,412,Heritage Valley,P,33.70597,-84.49938
BURGLARY,201330497,5/12/2020,1005 CHATTAHOOCHEE AVE NW,204,Underwood Hills,D,33.80083,-84.42084
LARCENY,201330577,5/12/2020,211  PRYOR ST SW,512,Downtown,M,33.74896,-84.39302
LARCENY,201330675,5/12/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY,201330697,5/12/2020,287 STERLING ST SE,307,Lakewood Heights,Y,33.70155,-84.37952
BURGLARY,201330710,5/12/2020,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403
LARCENY,201330730,5/12/2020,421 POMONA CIR SW,309,Perkerson,X,33.68733,-84.404
AGG ASSAULT,201330802,5/12/2020,2640 MARTIN LUTHER KING JR. DRIVE SW,405,Harland Terrace,I,33.75381,-84.47425
LARCENY,201330817,5/12/2020,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
LARCENY,201330860,5/12/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561
LARCENY,201330879,5/12/2020,439 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76101,-84.37345
BURGLARY,201330883,5/12/2020,3390 FAIRBURN RD SW,414,Ben Hill,P,33.6639,-84.52377
LARCENY,201330885,5/12/2020,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079
AUTO THEFT,201330907,5/12/2020,3676 BOLFAIR DR NW,114,Carroll Heights,H,33.77867,-84.50813
AUTO THEFT,201330970,5/12/2020,629 GLENWOOD AVE SE,605,Grant Park,W,33.74243,-84.36708
BURGLARY,201330988,5/12/2020,207 SOUTH AVE SE,304,Summerhill,V,33.73226,-84.38154
LARCENY,201331000,5/12/2020,646 WILLARD AVE SW,404,Westview,T,33.7376,-84.43828
AUTO THEFT,201331067,5/12/2020,687 LILLIAN AVE SW,301,Adair Park,V,33.73132,-84.41033
LARCENY,201331076,5/12/2020,4003 STOVALL TER NE,209,North Buckhead,B,33.86422,-84.36041
LARCENY,201331163,5/12/2020,1220 GUN CLUB RD NW,110,Almond Park,G,33.78752,-84.45789
LARCENY,201331168,5/12/2020,1776 PEACHTREE ST NW,207,Brookwood,E,33.80284,-84.39407
LARCENY,201331196,5/12/2020,683 HILL ST SE,605,Grant Park,W,33.73596,-84.37867
LARCENY,201331209,5/12/2020,133 LUCKIE ST NW @BONA ALLEN,508,Downtown,M,33.75864,-84.39062
ROBBERY,201331249,5/12/2020,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
AGG ASSAULT,201331306,5/12/2020,1888 EVANS DR SW,306,Sylvan Hills,X,33.70276,-84.42143
AUTO THEFT,201331326,5/12/2020,1981 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76486,-84.45174
LARCENY,201331383,5/12/2020,1005 MORELAND AVE SE,607,Ormewood Park,W,33.72706,-84.3497
LARCENY,201331392,5/12/2020,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482
LARCENY,201331393,5/12/2020,301 MEMORIAL DR SE,605,Grant Park,W,33.74675,-84.37766
LARCENY,201331428,5/12/2020,1658 RANDEE ST NW,113,Bolton Hills,G,33.80011,-84.48536
AUTO THEFT,201331435,5/12/2020,1542 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.7433,-84.438
LARCENY,201331474,5/12/2020,1140 DONALD LEE HOLLOWELL PKWY NW @MADDOX PARK,106,Bankhead,K,33.76906,-84.42425
AGG ASSAULT,201331535,5/12/2020,47 CLEVELAND AVE SW @CLEVELAND AVENUE BRA,310,Browns Mill Park,Z,33.68119,-84.3906
ROBBERY,201331569,5/12/2020,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82543,-84.36706
BURGLARY,201331586,5/12/2020,1888 EMERY ST NW,205,Wildwood (NPU-C),C,33.80701,-84.41444
AGG ASSAULT,201331633,5/12/2020,3494 FORREST PARK RD SE,313,South River Gardens,Z,33.6584,-84.3552
AUTO THEFT,201331798,5/12/2020,66B CHESTER AVE SE,606,Reynoldstown,N,33.75204,-84.35898
LARCENY,201321970,5/12/2020,2404 MACON DR SW,310,Browns Mill Park,Z,33.68884,-84.3901
AUTO THEFT,201290874,5/12/2020,866 866 MURPHY AVE,301,Adair Park,V,33.73255,-84.41239
LARCENY,201300669,5/11/2020,415 ARMOUR DR NE,212,,F,33.81267,-84.37412
ROBBERY,201321979,5/11/2020,1160 WEST AVE SW,302,Pittsburgh,V,33.72318,-84.39568
AUTO THEFT,201320070,5/11/2020,656 PRYOR ST SW,303,Mechanicsville,V,33.73699,-84.39438
LARCENY,201320122,5/11/2020,652 ATWOOD ST SW,402,West End,T,33.73739,-84.4291
LARCENY,201320264,5/11/2020,350 LELAND TER NE,610,Kirkwood,O,33.76342,-84.31375
LARCENY,201320274,5/11/2020,1016 REDBUD LN SW,406,Green Acres Valley,I,33.72826,-84.50082
LARCENY,201320350,5/11/2020,3609 GINNIS RD SW,407,Fairburn Mays,H,33.73177,-84.51022
AGG ASSAULT,201320362,5/11/2020,241 CHAPPELL RD NW,105,Hunter Hills,K,33.76169,-84.4332
LARCENY,201320463,5/11/2020,1892 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80673,-84.41316
LARCENY,201320481,5/11/2020,2090 MARIETTA BLVD NW,103,Bolton,D,33.81229,-84.43996
LARCENY,201320509,5/11/2020,25 PEACHTREE ST SE,510,Downtown,M,33.75445,-84.38954
AUTO THEFT,201320561,5/11/2020,2437 BELLVIEW AVE NW,109,Center Hill,J,33.77756,-84.46709
LARCENY,201320690,5/11/2020,1940 MURPHY AVE SW,306,Sylvan Hills,X,33.70192,-84.42732
LARCENY,201320692,5/11/2020,2781 GLENWOOD AVE SE,611,East Lake,O,33.73938,-84.29618
LARCENY,201320784,5/11/2020,2045 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.7774,-84.45214
ROBBERY,201320854,5/11/2020,1003 MCDANIEL ST SW,302,Pittsburgh,V,33.72757,-84.40192
LARCENY,201320868,5/11/2020,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
AUTO THEFT,201320950,5/11/2020,356 BOULEVARD NE,603,Old Fourth Ward,M,33.76421,-84.37206
BURGLARY,201320953,5/11/2020,1475 LA FRANCE ST NE,609,Edgewood,O,33.76047,-84.33899
AGG ASSAULT,201320986,5/11/2020,422 ATWOOD ST SW,401,West End,T,33.74339,-84.4287
LARCENY,201321039,5/11/2020,389 GLENN ST SW,303,Mechanicsville,V,33.73822,-84.40091
AUTO THEFT,201321118,5/11/2020,AGNES JONES PL SW / WESTVIEW DR SW,104,Ashview Heights,T,33.74798,-84.42137
BURGLARY,201321186,5/11/2020,729 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73511,-84.41797
LARCENY,201321215,5/11/2020,205 BLACKLAND RD NW,202,Tuxedo Park,A,33.85967,-84.39423
AUTO THEFT,201321283,5/11/2020,80 JESSE HILL JR DR SE @GRADY,510,Downtown,M,33.75168,-84.38198
LARCENY,201321310,5/11/2020,693 PEACHTREE ST NE,505,Midtown,E,33.77347,-84.38449
BURGLARY,201321323,5/11/2020,875 HANK AARON DR SW,304,Peoplestown,V,33.73065,-84.38805
LARCENY,201321396,5/11/2020,204 WESLEY AVE NE,609,Edgewood,O,33.75908,-84.33753
LARCENY,201321404,5/11/2020,2637 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68294,-84.39417
LARCENY,201321639,5/11/2020,8TH ST NE / CHARLES ALLEN DR NE,614,Midtown,E,33.77967,-84.37302
AUTO THEFT,201321670,5/11/2020,1455 LYNFORD DR SW,403,Oakland City,S,33.72359,-84.43566
AGG ASSAULT,201321720,5/11/2020,3379 PEACHTREE RD NE,210,Lenox,B,33.8481,-84.36582
BURGLARY,201321787,5/11/2020,286 WILSON MILL RD SW @KINDEZI SCHOOL WEST,407,Wisteria Gardens,H,33.7547,-84.51365
AGG ASSAULT,201321912,5/11/2020,100 LAKEWOOD WAY SW,307,Lakewood Heights,Y,33.69921,-84.39286
LARCENY,201321913,5/11/2020,464 BISHOP ST NW,207,Loring Heights,E,33.79249,-84.4032
LARCENY,201310101,5/10/2020,530 FLAT SHOALS AVE SE,612,East Atlanta,W,33.73992,-84.34489
AUTO THEFT,201310211,5/10/2020,981 OAK ST SW,401,West End,T,33.74094,-84.41983
AGG ASSAULT,201310228,5/10/2020,WADLEY ST NW / VERBENA ST NW,108,Dixie Hills,J,33.75506,-84.45811
AUTO THEFT,201310475,5/10/2020,1444 LANVALE DR SW,403,Oakland City,S,33.72404,-84.43522
LARCENY,201310519,5/10/2020,2748 RIDGEMORE RD NW,201,Ridgewood Heights,C,33.82984,-84.44555
LARCENY,201310596,5/10/2020,2615 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7762,-84.47236
AGG ASSAULT,201310607,5/10/2020,1647 NEKOMA ST NW,107,Grove Park,J,33.76703,-84.44157
ROBBERY,201310625,5/10/2020,213 FAIRBURN RD NW @FAIRBURN GORDON APT,111,Adamsville,H,33.76132,-84.50395
AUTO THEFT,201310686,5/10/2020,163 WESTMINSTER DR NE,502,Ansley Park,E,33.79241,-84.37587
LARCENY,201310768,5/10/2020,112 COURTLAND ST NE,510,Downtown,M,33.75756,-84.38434
AUTO THEFT,201310794,5/10/2020,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80077,-84.40869
AGG ASSAULT,201310804,5/10/2020,795 LEE ST SW,401,West End,T,33.73327,-84.41455
AGG ASSAULT,201310832,5/10/2020,987 ASHBY GRV SW,104,Ashview Heights,T,33.75009,-84.41985
AUTO THEFT,201310838,5/10/2020,2975 HEADLAND DR ,411,Southwest,R,33.69258,-84.49059
AUTO THEFT,201310861,5/10/2020,1418 WESLEY WALK NW,201,Margaret Mitchell,A,33.83668,-84.4309
LARCENY,201310880,5/10/2020,3107 PINE HEIGHTS DR NE,210,Pine Hills,B,33.82983,-84.35806
LARCENY,201310909,5/10/2020,501 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75394,-84.371
AGG ASSAULT,201310994,5/10/2020,3601 MARTIN L KING JR DR NW,111,Adamsville,H,33.75961,-84.50546
LARCENY,201311291,5/10/2020,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
LARCENY,201311377,5/10/2020,307 HASCALL RD NW,207,Loring Heights,E,33.79743,-84.39795
AGG ASSAULT,201311486,5/10/2020,947 HANK AARON DR SW,304,Peoplestown,V,33.72873,-84.38831
LARCENY,201311514,5/10/2020,595 PIEDMONT AVE NE @PUBLIX - PIEDMONT,603,Old Fourth Ward,M,33.77067,-84.38023
AUTO THEFT,201311578,5/10/2020,3040 HEADLAND DR SW,411,Greenbriar,R,33.68948,-84.48818
BURGLARY,201311619,5/10/2020,1927 DETROIT AVE NW,107,Grove Park,J,33.76724,-84.44994
AUTO THEFT,201311644,5/10/2020,120 PIEDMONT AVE NE,510,Downtown,M,33.75776,-84.38252
LARCENY,201311655,5/10/2020,1345 PIEDMONT AVE NE @ATLANTA BOTANICAL GA,502,,E,33.78578,-84.37429
BURGLARY,201311657,5/10/2020,427 BOLTON RD NW,114,Fairburn Heights,H,33.76606,-84.50924
LARCENY,201311661,5/10/2020,1095 PEACHTREE ST NE,503,Midtown,E,33.78448,-84.38292
AUTO THEFT,201311761,5/10/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341
LARCENY,201311787,5/10/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465
AUTO THEFT,201300785,5/9/2020,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76183,-84.36026
LARCENY,201300817,5/9/2020,64 CANDLER RD SE,611,East Lake,O,33.75026,-84.29201
LARCENY,201300822,5/9/2020,1450 LAFRANCE ST NE ,609,Kirkwood,O,33.75086,-84.32133
LARCENY,201300835,5/9/2020,232 FARRINGTON AVE SE,304,Peoplestown,V,33.72699,-84.38032
LARCENY,201300838,5/9/2020,956 MYRTLE ST NE,503,Midtown,E,33.78076,-84.37976
LARCENY,201300848,5/9/2020,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996
BURGLARY,201300866,5/9/2020,970 SIDNEY MARCUS BLVD NE,210,Pine Hills,B,33.82459,-84.35715
LARCENY,201300886,5/9/2020,3701 JONESBORO RD SE,313,Blair Villa/Poole Creek,Z,33.65415,-84.36806
AGG ASSAULT,201300949,5/9/2020,414 CHAPPELL RD NW,107,Grove Park,J,33.76647,-84.43266
LARCENY,201300955,5/9/2020,2160 CHINABERRY WAY SW,411,Greenbriar,R,33.69623,-84.47846
AUTO THEFT,201300970,5/9/2020,775 BONNIE BRAE AVE SW,301,Adair Park,V,33.73041,-84.41316
LARCENY,201300992,5/9/2020,1455 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79579,-84.42575
LARCENY,201301034,5/9/2020,2525 PIEDMONT ROAD,211,Lindbergh/Morosgo,B,33.824,-84.36521
AGG ASSAULT,201301055,5/9/2020,1134 MERRILL AVE SW,402,Oakland City,S,33.72838,-84.42495
ROBBERY,201301442,5/9/2020,411 LUCKIE ST NW,504,Downtown,M,33.76549,-84.39587
LARCENY,201301499,5/9/2020,351 MARIETTA ST NW,508,Downtown,M,33.76263,-84.39675
AGG ASSAULT,201301606,5/9/2020,3155 HICKMAN DR NW @ALLEN TEMPLE APTS,111,,I,33.75518,-84.49022
AGG ASSAULT,201301791,5/9/2020,211 HUNNICUTT ST NW,504,Downtown,M,33.76672,-84.39403
LARCENY,201301876,5/9/2020,1824 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.80931,-84.36303
LARCENY,201302004,5/9/2020,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974
LARCENY,201302105,5/9/2020,CYPRESS ST NE / 3RD ST NE,505,Midtown,E,33.77375,-84.38622
AUTO THEFT,201302132,5/9/2020,608 14TH ST NW,501,Home Park,E,33.78578,-84.40707
LARCENY,201302225,5/9/2020,410 14TH ST NW,501,Home Park,E,33.78589,-84.40047
LARCENY,201302247,5/9/2020,2222 SPINK ST NW,103,Riverside,D,33.81708,-84.4737
AGG ASSAULT,201302250,5/9/2020,484 MORGAN ST NE,603,Old Fourth Ward,M,33.76898,-84.3708
AUTO THEFT,201302297,5/9/2020,3390 FAIRBURN RD SW,414,Ben Hill,P,33.6639,-84.52377
AGG ASSAULT,201302312,5/9/2020,43 FORSYTH ST NW,508,Downtown,M,33.75327,-84.39326
AGG ASSAULT,201300005,5/9/2020,2234 LANG DR SW,310,Polar Rock,Z,33.69492,-84.39109
LARCENY,201300370,5/9/2020,132 THIRKELD AVE SE,305,South Atlanta,Y,33.71507,-84.38392
LARCENY,201300518,5/9/2020,172 MELLRICH AVE NE ATL,610,Kirkwood,O,33.75086,-84.32133
LARCENY,201300616,5/9/2020,22 14TH ST NW,503,Midtown,E,33.78658,-84.38835
AUTO THEFT,201300627,5/9/2020,1638 WOODLAND AVE SE,607,Custer/McDonough/Guice,W,33.70954,-84.35227
AGG ASSAULT,201300634,5/9/2020,1391 COLLIER RD NW,204,Underwood Hills,D,33.80989,-84.43402
